#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:06:43 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02315920 ALAPAHA RIVER AT GA 125/32 NEAR IRWINVILLE, GA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02315920	1	1949-05-23 16:27:00	EST	Yes	AEF	USGS		19.9		0.00		GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		19.9	87.0	42.5	0.470	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02315920	2	1949-06-08		Yes	GTC	USGS		44.3		0.00		FAIR	0.00		CLER	MEAS	1	Unspecified	WADE	QUNSP		44.3	105	73.2	0.610	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02315920	3	1949-10-18 10:30:00	EST	Yes	GTC	USGS		4.57		0.00		FAIR			CLER	MEAS	1	Unspecified	WADE	QUNSP		4.57	48.0	24.7	0.180	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02315920	4	1954-07-13		Yes	WHN	USGS		0.000		0.00		UNSP				UNSP	1	Unspecified	UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02315920	5	1954-08-23		Yes	WHN	USGS		0.000		0.00		UNSP				UNSP	1	Unspecified	UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02315920	6	1956-10-15 10:00:00	EST	Yes	DDD	USGS		1.50		0.00		GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		1.50	5.80	1.75	0.860	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02315920	7	2006-09-18 13:17:00	EDT	Yes	ACD	USGS		0.000				UNSP				UNSP	1	Unspecified	UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02315920	8	2008-11-03 15:05:00	EST	Yes	GBD	USGS		0.000				UNSP				UNSP	1		UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02315920	9	2009-12-17 08:26:30	EST	Yes	JJG/GBD	USGS	9.38	7050	 1.0		-6.2	FAIR	0.00	0.68	SUBM	UNSP	1		BRDS	QADCP	VADCP	7050	491	3300	2.14	FIRM	SAND	EVEN	STDY	EVEN	UNSP	DNST	5.00
USGS	02315920	10	2010-02-08 13:29:30	EST	Yes	jjg/gbd	USGS	5.62	2280	 1.0		2.7	GOOD	-0.01	0.75	SUBM	UNSP	1		BRDS	QSCMM	VPAA	2280	435	1580	1.44	FIRM	SAND	EVEN	STDY	EVEN	UNSP	ATGA	0.00
USGS	02315920	11	2010-03-29 11:43:30	EDT	Yes	JJG/GBD	USGS	2.95	250	 1.0		-6.4	FAIR	0.00	0.88	CLER	UNSP	1		WADE	QSCMM	VPAA	250	270	343	0.73	FIRM	SAND	EVEN	STDY	EVEN	UNSP	ATGA	0.00
USGS	02315920	12	2010-06-01 11:37:30	EDT	Yes	jjg/gbd	USGS	2.88	256	 1.0		6.2	FAIR	0.01	0.75	CLER	MEAS	1		WADE	QSCMM	VPAA	254	258	287	0.89	FIRM	SAND	EVEN	STDY	EVEN	UNSP	ATGA	0.00
USGS	02315920	13	2010-08-09 09:00:30	EDT	Yes	gbd/jjg	USGS	0.94	0.000	 1.0			GOOD		0.02	CLER	UNSP	1		OTHR	Q-EST	V-EST	0.000				FIRM	SAND	EVEN	UNSP	UNSP	UNSP	UNSP	
USGS	02315920	14	2010-10-12 08:30:30	EDT	Yes	GBD/JJG	USGS	0.92	0.000	 1.0			GOOD	0.00	0.02	CLER	UNSP	1		OTHR	Q-EST		0.000				FIRM	SAND	EVEN	UNSP	UNSP	UNSP	ATGA	0.00
USGS	02315920	15	2010-11-17 08:39:30	EST	Yes	GBD	USGS	1.26	0.068	 1.0		4.6	FAIR	0.00	0.02	LGDB	UNSP	1		WADE	QSCMM	VPYG	0.068	3.00	0.45	0.15	FIRM	SAND	EVEN	STDY	UNEV	UNFM	DNST	10.00
USGS	02315920	16	2011-01-11 10:45:00	EST	Yes	gbd/jjg	USGS	1.79	6.18	 1.0		-3.3	FAIR	0.00	0.50	CLER	UNSP	1		WADE	QSCMM	VPYG	6.18	81.0	24.7	0.25	SOFT	SAND	UNEV	STDY	UNEV	UNFM	UNSP	
