#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:06:46 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02317000 ALAPAHA RIVER AT MAYDAY, GA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02317000	1	1928-05-01		Yes	PEH	USGS	29.12	14900		0.00		UNSP	-0.07	2.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		14900	688	5360	2.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02317000	2	1928-05-29		Yes	PEH	USGS	10.42	1040		0.00		UNSP	0.00	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1040	96.0	526	1.98	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02317000	3	1928-08-18		Yes	PEH/ACP	USGS	25.65	8720		0.00		UNSP	0.00	1.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		8720	165	2130	3.98	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02317000	4	1928-09-26		Yes	PPL	USGS	21.66	5330		0.00		UNSP	0.00	0.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		5330	130	1510	3.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02317000	5	1928-11-11		Yes	WRK	USGS	8.56	460.0		0.00		UNSP	0.00	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		460.0	52.0	335	1.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02317000	6	1929-02-18		Yes	RPS	USGS	17.68	3780		0.00		UNSP	0.01	1.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3780	101	1060	3.57	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02317000	7	1929-02-18		Yes	RPS	USGS	17.69	3640		0.00		UNSP	0.00	1.30	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3640	145	1530	2.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02317000	8	1929-05-27		Yes	MMG	USGS	7.70	370.0		0.00		UNSP	-0.01	2.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		370.0	98.0	392	0.940	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02317000	9	1929-05-27		Yes	MMG	USGS	7.69	358.0		0.00		UNSP	0.00	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		358.0	42.0	238	1.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
