#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:06:57 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03010500 Allegheny River at Eldred, PA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03010500	1	1939-06-29		Yes	RCC	USGS	2.22	85.6				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	85.6	109	134	0.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03010500	2	1939-07-12		Yes	RCC	USGS	2.06	68.9				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	68.9	106	119	0.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03010500	3	1939-08-09		Yes	PBW	USGS	2.76	164				Good	0.02	1.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	164	114	195	0.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03010500	4	1939-09-14		Yes	RWL	USGS	1.76	45.4				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	45.4	107	96.1	0.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03010500	5	1939-10-06		Yes	PBW	USGS	2.29	87.2				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	87.2	111	147	0.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03010500	6	1939-11-09		Yes	RWL	USGS	6.68	1260				Good	-0.01	1.00		MEAS	1	Imported Channel 1	UNSP	other		1260				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03010500	7	1939-11-09		Yes	RWL	USGS	6.66	1270				Good	-0.01	1.00		MEAS	1	Imported Channel 1	UNSP	other		1270				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03010500	8	1939-11-18		Yes	RWL	USGS	5.96	1050				Good	-0.04	1.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		1050				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03010500	9	1939-12-12		Yes	RCC	USGS	6.41	1180				Good	-0.04	1.10	Clear	MEAS	1	Imported Channel 1	UNSP	other		1180				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03010500	10	1940-01-06		Yes	SER	USGS	4.41	348				Fair	-0.04	0.60	IceCover	UNSP	1	Imported Channel 1	UNSP	other		348				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03010500	11	1940-02-04		Yes	RC	USGS	3.55	197				Fair	0.00	0.60	IceCover	MEAS	1	Imported Channel 1	UNSP	other		197				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03010500	12	1940-03-10		Yes	RJS/RCC	USGS	5.63	484				Fair	-0.02	0.80	IceCover	MEAS	1	Imported Channel 1	UNSP	other		484				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03010500	13	1940-03-30		Yes	RL	USGS	10.06	2980				Good	0.18	1.30		MEAS	1	Imported Channel 1	UNSP	other		2980				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03010500	14	1940-03-31		Yes	RL	USGS	12.00	3850				Good	0.11	1.30		MEAS	1	Imported Channel 1	UNSP	other		3850				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03010500	15	1940-04-01		Yes	RL	USGS	16.28	9160				Fair	0.14	1.50		MEAS	1	Imported Channel 1	UNSP	other		9160				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
