#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:07:59 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09359500 ANIMAS RIVER AT TALL TIMBER RESORT ABOVE TACOMA,CO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09359500	129	2006-07-31 12:30:00	MDT	Yes	MAG/DWG	USGS	3.84	392.0	   5	0.00	-3.9	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		392.0	96.0	144	2.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09359500	130	2006-08-02 10:30:00	MDT	Yes	MAG/BRG	USGS	4.14	561.0	   5	0.00	2.7	GOOD	-0.02	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		561.0	110	186	3.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09359500	131	2006-10-06 23:45:00	MDT	No																													
USGS	09359500	131A	2006-10-06 23:45:00	MDT	Yes	dwg	USGS	9.06	7460	  11	0.00	0.0	FAIR				OTHR	1		UNSP			6960				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09359500	132	2006-11-29 13:00:00	MST	Yes	DWG	USGS	3.28	227.0	  11	0.00	6.0	FAIR	-0.01	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		227.0	98.0	116	1.96	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09359500	133	2006-11-29 14:00:00	MST	Yes	DWG	USGS	3.26	215.0	  11	0.00	4.6	FAIR	-0.01	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		215.0	88.0	106	2.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09359500	134	2007-04-03 10:45:00	MDT	Yes	DWG	USGS	3.44	274.0	  11	0.00	-4.6	FAIR	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		274.0	88.0	113	2.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09359500	135	2007-04-03 11:45:00	MDT	Yes	DWG	USGS	3.44	294.0	  11	0.00	2.4	FAIR	0.02	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		294.0	96.0	129	2.27	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09359500	136	2007-07-26 10:00:00	MDT	Yes	DWG	USGS	3.76	470.0	  11	0.00	1.7	FAIR	-0.03	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		470.0	98.0	154	3.05	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
