#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:08:21 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07094500 ARKANSAS RIVER AT PARKDALE, CO.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07094500	207	1979-06-15		Yes	WFP	USGS	6.44	4130	 8.0	-0.090		FAIR	0.02	1.32		MEAS	1	Unspecified	UNSP			4130				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07094500	219	1980-06-11		Yes	WAR/REN	USGS	7.36	5310	 4.0	0.00	-1.00	GOOD	0.04	2.60		MEAS	1	Unspecified	UNSP			5310				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07094500	220	1980-06-12		Yes	KNN	USGS	8.03	5800	 4.0	0.00		GOOD	-0.03	1.25		MEAS	1	Unspecified	UNSP			5800				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07094500	221	1980-06-16		Yes	TCC	USGS	6.90	4990	 4.0	0.00		FAIR	-0.07	2.37		MEAS	1	Unspecified	UNSP			4990				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07094500	253	1983-06-20		Yes	TCC	USGS	7.32	5640	 9.0	0.470		GOOD	-0.06	2.50		MEAS	1	Unspecified	UNSP			5640				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07094500	254	1983-06-27		Yes	TCC	USGS	7.68	6190	 9.0	0.890		GOOD	-0.09	2.20		MEAS	1	Unspecified	UNSP			6190				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07094500	262	1984-05-24		Yes	TCC	USGS	6.58	4710	 9.0	0.090		GOOD	0.04	1.25	HVDB	MEAS	1	Unspecified	UNSP			4710				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07094500	264	1984-06-18		Yes	TCC	USGS	6.36	4090	 9.0	-0.210		GOOD	0.00	1.70		MEAS	1	Unspecified	UNSP			4090				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07094500	267	1984-11-05		Yes	TCC	USGS	3.40	699.0	 9.0	0.100		FAIR	-0.01	1.10	CLER	MEAS	1	Unspecified	WADE	QUNSP		699.0	120	248	2.82	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
