#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:08:24 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07099200 ARKANSAS RIVER NEAR PORTLAND, CO.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07099200	173	2009-08-11 17:45:00	MDT	Yes	RWS	USGS		639				UNSP			UNSP	UNSP	1		WADE	QSCMM	VPAA	639				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099200	174	2009-08-25 15:35:00	MDT	Yes	RWS	USGS		269				UNSP			UNSP	UNSP	1		WADE	QSCMM	VPAA	269				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099200	175	2009-09-02 18:00:00	MDT	Yes	RWS	USGS		227				UNSP			UNSP	UNSP	1		WADE	QSCMM	VPAA	227				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099200	176	2009-09-23 15:45:00	MDT	Yes	RWS	USGS		421				UNSP			UNSP	UNSP	1		WADE	QSCMM	VPAA	421				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099200	177	2009-11-03 16:35:00	MST	Yes	RWS	USGS		546				UNSP			UNSP	UNSP	1		WADE	QSCMM	VPAA	546				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099200	178	2009-12-01 14:30:00	MST	Yes	RWS	USGS		586				UNSP			UNSP	UNSP	1		WADE	QSCMM	VPAA	586				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099200	179	2010-04-09 12:26:30	MDT	Yes	KDB	USGS		390				GOOD			CLER	MEAS	1	Arkansas River	WADE	QSCMM	VADV	390	112	192	2.03	FIRM	GRVL	EVEN	STDY	EVEN	UNSP	DNST	300
USGS	07099200	180	2010-04-22 14:37:30	MDT	Yes	RWS	USGS		711	   9			UNSP		0.58	UNSP	UNSP	1		WADE		VPAA	711				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099200	181	2010-07-07 10:33:30	MDT	Yes	RWS	USGS		702	   9			UNSP		0.85	UNSP	UNSP	1		WADE		VPAA	702				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099200	182	2010-07-20 16:51:30	MDT	Yes	RWS	USGS		625	   9			UNSP		0.75	UNSP	UNSP	1		WADE		VPAA	625				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099200	183	2010-08-19 13:59:00	MDT	Yes	DLB	USGS		488	   9			GOOD				MEAS	1	1	WADE	QSCMM	VADV	488	115	220	2.21	FIRM	GRVL	EVEN	STDY	EVEN	UNSP	DNST	150
USGS	07099200	184	2010-08-25 17:52:00	MDT	Yes	RWS	USGS		462	   9			UNSP		0.73	UNSP	UNSP	1		WADE		VPAA	462				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099200	185	2010-09-15		Yes	RWS	USGS		229	   9			UNSP			UNSP	UNSP	1		UNSP			229				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099200	186	2010-10-07		Yes	RWS	USGS		289	   9			UNSP			UNSP	UNSP	1		UNSP			289				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099200	187	2010-11-09 09:25:00	MST	Yes	RWS	USGS	4.70	454				UNSP				UNSP	1		WADE	QSCMM	VPAA	454				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099200	188	2010-11-22 14:20:00	MST	Yes	RWS	USGS	4.64	416				UNSP				UNSP	1		WADE	QSCMM	VPAA	416				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099200	189	2011-04-13 14:20:00	MDT	Yes	DLB/PMT	USGS		178				GOOD			CLER	MEAS	1	Arkansas River	WADE	QSCMM	VADV	178	111	146	1.22	FIRM	BLDR	EVEN	STDY	UNEV	STND	DNST	300
USGS	07099200	190	2011-08-17 13:27:30	MDT	Yes	PMT	USGS		579				GOOD		1.58	CLER	UNSP	1		WADE	QSCMM	VADV	579	118	254	2.28	FIRM	GRVL	EVEN	STDY	UNEV	STND	DNST	300.00
USGS	07099200	191	2011-09-21 12:13:30	MDT	Yes	PMT	USGS		321				GOOD		0.75	CLER	UNSP	1		WADE	QSCMM	VADV	321	116	196	1.63	FIRM	GRVL	EVEN	STDY	UNEV	STND	DNST	300.00
USGS	07099200	192	2013-04-15 12:45:30	MDT	Yes	KDB	USGS		152				POOR			CLER	MEAS	1	07099200	WADE	QSCMM	VADV	152	108	138	1.10	FIRM	CBLS	UNEV	STDY	UNEV	STND	DNST	5000.00
USGS	07099200	193	2013-07-18 10:39:00	MDT	Yes	KDB	USGS		512				FAIR			CLER	MEAS	1	07099200	WADE	QSCMM	VADV	512	114	227	2.26	FIRM	CBLS	UNEV	STDY	UNEV	STND	DNST	5000.00
USGS	07099200	194	2013-08-13 11:31:30	MDT	Yes	KDB	USGS		563				FAIR			CLER	MEAS	1	07099200	WADE	QSCMM	VADV	563	116	235	2.40	FIRM	CBLS	UNEV	STDY	EVEN	STND	UNSP	
USGS	07099200	195	2013-09-18 12:24:00	MDT	Yes	PMT	USGS		808				GOOD			CLER	MEAS	1	NEAR PORTLAND	WADE	QSCMM	VADV	808	116	282	2.86	FIRM	CBLS	UNEV	STDY	EVEN	STND	UNSP	
USGS	07099200	196	2014-04-09 12:07:00	MDT	Yes	KDB	USGS		596				FAIR			CLER	MEAS	1	07099200	WADE	QSCMM	VADV	596	117	248	2.40	FIRM	CBLS	UNEV	STDY	UNEV	STND	UNSP	
USGS	07099200	197	2014-08-19 13:02:00	MDT	Yes	kdb	USGS		522				FAIR			CLER	MEAS	1	07099200	WADE	QSCMM	VPAA	522	112	205	2.54	FIRM	CBLS	UNEV	STDY	UNEV	STND	ATGA	0.00
USGS	07099200	198	2014-09-23 11:18:30	MDT	Yes	KDB/AKD	USGS		488				FAIR			CLER	MEAS	1	07099200	WADE	QSCMM	VADV	488	112	205	2.38	FIRM	CBLS	UNEV	STDY	UNEV	STND	ATGA	0.00
USGS	07099200	199	2015-04-10 11:59:00	MDT	Yes	kdb/nas	USGS		341				FAIR			CLER	MEAS	1	07099200	WADE	QSCMM	VADV	341	111	172	1.99	FIRM	CBLS	UNEV	STDY	UNEV	STND	UNSP	
USGS	07099200	200	2015-09-15 11:28:00	MDT	Yes	AKH/JJP	USGS		278				FAIR				MEAS	1	07099200	WADE	QSCMM	VADV	278	98.0	173	1.60	FIRM	CBLS	UNEV	STDY	UNEV	STND	DNST	35.00
USGS	07099200	201	2016-04-14 13:19:00	MDT	Yes	kdb	USGS		366				FAIR			CLER	MEAS	1	07099200	WADE	QSCMM	VADV	366	112	155	2.35	FIRM	CBLS	UNEV	STDY	UNEV	STND	DNST	100.00
USGS	07099200	202	2016-08-17 13:03:30	MDT	Yes	kdb	USGS		764				FAIR			CLER	MEAS	1	07099200	WADE	QSCMM	VADV	764	136	241	3.17	FIRM	CBLS	UNEV	STDY	UNSP	STND	UNSP	
USGS	07099200	203	2016-09-27 12:55:00	MDT	Yes	kdb	USGS		293				POOR			CLER	MEAS	1	07099200	WADE	QSCMM	VADV	293	114	150	1.95	FIRM	CBLS	UNEV	STDY	UNEV	STND	UNSP	
