#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:08:27 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07099973 ARKANSAS RIVER TRIBUTARY ABOVE HWY 227 AT PUEBLO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07099973	1	2004-10-28 08:50:00	MDT	Yes	WJW	USGS	2.94	67.8	 1.0	0.00		FAIR	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		67.8	31.0	51.2	1.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099973	2	2004-11-04 10:50:00	MST	Yes	WJW	USGS	2.59	40.2	 1.0	0.00		GOOD	0.00	0.30	CLER	MEAS	1	Unspecified	WADE	QUNSP		40.2	25.0	28.6	1.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099973	3	2004-11-12 11:25:00	MST	Yes	WJW	USGS	1.98	10.7	 1.0	0.00		FAIR	0.00	0.30	LGDB	MEAS	1	Unspecified	WADE	QUNSP		10.7	20.7	12.5	0.850	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099973	4	2004-11-15 10:55:00	MST	Yes	WJW	USGS	1.55	2.05	 1.0	0.00		POOR	0.00	0.30	CLER	MEAS	1	Unspecified	WADE	QUNSP		2.05	12.2	5.90	0.350	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099973	5	2004-12-29 12:25:00	MST	Yes	WJW	USGS	2.49	36.2	 1.0	0.040		GOOD	0.00	0.30	CLER	MEAS	1	Unspecified	WADE	QUNSP		36.2	25.0	26.6	1.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099973	6	2005-03-10 10:15:00	MST	Yes	RJO/WJW	USGS	2.34	0.590	 1.0	-1.06		POOR	0.00	0.40	SUBM	MEAS	1	Unspecified	WADE	QUNSP		0.590	7.10	1.46	0.400	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099973	7	2005-03-17 15:50:00	MST	Yes	WFP	USGS	2.44	31.3	 1.0	0.020	-2.00	FAIR	0.01	0.60	LGDB	MEAS	1	Unspecified	WADE	QUNSP		31.3	28.0	26.8	1.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099973	8	2005-03-24 12:05:00	MST	Yes	RJO	USGS	2.49	35.0	 1.0	0.020		POOR	0.00	0.30	MDDB	MEAS	1	Unspecified	WADE	QUNSP		35.0	30.0	36.0	0.970	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099973	9	2005-05-13 11:20:00	MDT	Yes	RJO	USGS	2.34	22.9	 1.0	-0.050		FAIR	0.00	0.40	LGDB	MEAS	1	Unspecified	WADE	QUNSP		22.9	30.0	32.2	0.710	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099973	10	2005-06-09 15:50:00	MDT	Yes	RJO/JPR	USGS	2.44	29.7	 1.0	-0.030	2.00	FAIR	0.00	0.40	LGDB	MEAS	1	Unspecified	WADE	QUNSP		29.7	28.0	32.4	0.920	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099973	11	2005-06-28 10:10:00	MDT	Yes	WJW/RJO	USGS	2.56	36.6	 1.0	-0.030	3.00	GOOD	0.00	0.20	LGDB	MEAS	1	Unspecified	UNSP	QADCP	VADCP	36.6	28.0	34.0	1.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099973	12	2005-07-18 09:05:00	MDT	Yes	RJO	USGS	2.86	60.4	 1.0	0.00		FAIR	0.00	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		60.4	29.0	44.7	1.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099973	13	2005-11-04 12:00:00	MST	Yes	RJO	USGS	2.62	39.4	 1.0	-0.030	-2.00	POOR	0.00	0.40	LGDB	MEAS	1	Unspecified	WADE	QUNSP		39.4	30.0	43.0	0.920	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099973	14	2006-01-13 11:20:00	MST	Yes	RJO	USGS	2.52	28.7	 1.0	-0.120		POOR	0.00	0.40	LGDB	MEAS	1	Unspecified	WADE	QUNSP		28.7	30.0	35.9	0.800	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099973	15	2006-02-14 14:20:00	MST	Yes	WJW/WFP	USGS	2.53	35.0	 1.0	-0.030	2.00	GOOD	0.00	0.19	LGDB	MEAS	1	Unspecified	UNSP	QADCP	VADCP	35.0	25.9	29.7	1.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07099973	16	2006-03-01 14:50:00	MST	Yes	RJO/WJW	USGS	2.67	42.9	 1.0	-0.030	-1.00	FAIR	-0.01	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		42.9	30.0	41.8	1.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
