#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:08:28 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07109500 ARKANSAS RIVER NEAR AVONDALE, CO.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07109500	173	1973-07-20		Yes	HAU	USGS	6.35	6520	 6.0	0.490		POOR	0.00	0.50	HVDB	MEAS	1	Unspecified	CWAY	QUNSP		6520	210	1230	5.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	264A	1978-07-30		Yes	JAR/RET	USGS	8.93	15400		0.00		UNSP				MEAS	1	Unspecified	UNSP			15400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	283A	1979-06-19		Yes	MDK/ME	USGS	4.42	3460	 8.0	0.320	1.00	GOOD	0.10	1.60	LGDB	MEAS	1	Unspecified	UNSP			3460				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	298	1980-04-25		Yes	STG	USGS	4.27	3180	 9.0	0.250		GOOD	-0.04	1.50		MEAS	1	Unspecified	UNSP			3180				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	299	1980-05-01		Yes	STG/MDK	USGS	5.66	5880	 9.0	0.220		GOOD	-0.14	1.42		MEAS	1	Unspecified	UNSP			5880				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	300	1980-05-08		Yes	WFP	USGS	6.18	6780	 9.0	0.090		GOOD	0.26	1.75		MEAS	1	Unspecified	UNSP			6780				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	301	1980-05-30		Yes	STG/MDK	USGS	4.15	3340	 9.0	0.480		GOOD	0.04	1.67		MEAS	1	Unspecified	UNSP			3340				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	302	1980-06-12		Yes	STG	USGS	5.36	6710	 9.0	0.00		GOOD	0.01	1.17		MEAS	1	Unspecified	UNSP			6710				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	303	1980-06-14		Yes	RDS/WFP	USGS	5.52	5480	 9.0	0.220	-1.00	GOOD	0.04	1.28		MEAS	1	Unspecified	UNSP			5480				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	304	1980-06-16		Yes	STG	USGS	5.46	5570	 9.0	0.230	3.00	GOOD	0.00	1.25		MEAS	1	Unspecified	UNSP			5570				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	308	1980-08-15		Yes	STG/POA	USGS	5.18	5190	 9.0	0.420		GOOD	-0.39	3.08		MEAS	1	Unspecified	UNSP			5190				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	353	1982-06-03		Yes	STG	USGS	4.67	4330	10.0	0.00	-2.00	FAIR	0.04	0.30		MEAS	1	Unspecified	UNSP			4330				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	358	1982-06-30		Yes	STG/ME	USGS	3.82	3070	10.0	0.00	-1.00	GOOD	0.00	2.20		MEAS	1	Unspecified	UNSP			3070				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	361	1982-07-28		Yes	STG/TCC	USGS	4.61	4340	10.0	0.00		GOOD	-0.13	1.50		MEAS	1	Unspecified	UNSP			4340				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	362	1982-07-29		Yes	TCC	USGS	6.68	8880	10.0	0.00	3.00	FAIR	0.36	2.50		MEAS	1	Unspecified	UNSP			8880				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	366	1982-08-21		Yes	STG	USGS	6.78	8860	10.0	0.00	-1.00	GOOD	-0.25	1.20		MEAS	1	Unspecified	UNSP			8860				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	380	1983-06-06		Yes	STG/RN	USGS	3.65	3270	10.0	0.270	1.00	FAIR	-0.03	1.40		MEAS	1	Unspecified	UNSP			3270				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	382	1983-06-13		Yes	STA/TE	USGS	4.24	4390	10.0	0.400		GOOD				MEAS	1	Unspecified	UNSP			4390				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	383	1983-06-23		Yes	MDK	USGS	4.49	5110	10.0	0.570		UNSP				MEAS	1	Unspecified	UNSP			5110				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	385	1983-06-28		Yes	STG	USGS	4.85	6210	10.0	0.780		GOOD				MEAS	1	Unspecified	UNSP			6210				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	386	1983-07-08		Yes	STG	USGS	4.65	6060	10.0	0.910		GOOD	0.00	1.30		MEAS	1	Unspecified	UNSP			6060				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	401	1984-04-13		Yes	STG	USGS	4.62	5430	10.0	0.620		GOOD	-0.03	1.20		MEAS	1	Unspecified	UNSP			5430				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	404	1984-05-04		Yes	STG	USGS	4.72	5620	10.0	0.620		GOOD	0.02	1.50		MEAS	1	Unspecified	UNSP			5620				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	408	1984-05-25		Yes	STG	USGS	4.54	5350	10.0	0.650		FAIR	0.15	1.60		MEAS	1	Unspecified	UNSP			5350				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	409	1984-06-05		Yes	STA/TE	USGS	4.11	4710	10.0	0.730		FAIR	0.00	1.30		MEAS	1	Unspecified	UNSP			4710				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	412	1984-06-28		Yes	MDK/JRS	USGS	3.99	4330	10.0	0.620		GOOD	-0.02	1.50		MEAS	1	Unspecified	UNSP			4330				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	413	1984-07-03		Yes	STG/MDK	USGS	4.15	4880	10.0	0.780		GOOD	-0.05	1.30		MEAS	1	Unspecified	UNSP			4880				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	420	1984-08-20		Yes	MDK	USGS	4.67	5500	10.0	0.600		GOOD	0.13	1.80		MEAS	1	Unspecified	UNSP			5500				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	421	1984-08-22		Yes	STG	USGS	5.66	7560	10.0	0.600	-1.00	GOOD				MEAS	1	Unspecified	UNSP			7560				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	425	1984-10-10		Yes	CO	USGS	2.16	1550	10.0	0.470	-1.00	UNSP				MEAS	1	Unspecified	WADE	QUNSP		1550			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	426	1984-10-17		Yes	STG	USGS	2.10	1640	10.0	0.550	3.00	FAIR	0.07	1.25		MEAS	1	Unspecified	CRAN	QUNSP		1640	168	480	3.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	427	1984-10-30		Yes	CO	USGS	2.35	1805	10.0	0.550	-4.00	UNSP				MEAS	1	Unspecified	CRAN	QUNSP		1805			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	428	1984-11-14		Yes	STG	USGS	1.89	1370	10.0	0.550	-1.00	FAIR	0.00	1.75		MEAS	1	Unspecified	CRAN	QUNSP		1370	155	431	3.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	429	1984-11-20		Yes	CO	USGS	0.79	506.0	10.0	0.490	1.00	UNSP				MEAS	1	Unspecified	WADE	QUNSP		506.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	430	1984-12-10		Yes	STG	USGS	0.57	388.0	10.0	0.490		GOOD	0.00	0.75		MEAS	1	Unspecified	WADE	QUNSP		388.0	150	154	2.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	431	1985-01-07		Yes	STG	USGS	1.23	822.0	10.0	0.550	4.00	GOOD	0.00	0.70		MEAS	1	Unspecified	WADE	QUNSP		822.0	186	282	2.91	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	432	1985-02-19		Yes	STG	USGS	1.72	1170	10.0	0.550	-3.00	GOOD	0.00	0.83		MEAS	1	Unspecified	WADE	QUNSP		1170	197	370	3.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	433	1985-03-18		Yes	STG	USGS	1.49	961.0	10.0	0.550	-3.00	GOOD	0.01	0.75		MEAS	1	Unspecified	WADE	QUNSP		961.0	190	316	3.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	434	1985-04-24		Yes	STG	USGS	1.90	1380	10.0	0.550	-1.00	FAIR	-0.01	1.25		MEAS	1	Unspecified	WADE	QUNSP		1380	169	439	3.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07109500	435	1985-05-02		Yes	STG	USGS	3.17	2900	10.0	0.500	1.00	GOOD	0.01	1.50		MEAS	1	Unspecified	CRAN	QUNSP		2900	174	649	4.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
