#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:08:35 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07130500 ARKANSAS RIVER BELOW JOHN MARTIN RESERVOIR, CO.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07130500	191	1984-10-04		Yes	WFP	USGS	2.34	379.0	 3.0	-0.050		GOOD	0.00	0.90	CLER	MEAS	1	Unspecified	CWAY	QUNSP		379.0	85.0	290	1.31	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07130500	192	1984-11-14		Yes	WFP	USGS	1.01	8.40	 3.0	-0.150		POOR	0.00	0.40	MDDB	MEAS	1	Unspecified	WADE	QUNSP		8.40	70.5	94.1	0.090	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07130500	193	1984-12-19		Yes	WFP	USGS	0.74	1.02	 3.0			POOR	0.01	0.20	SICE	MEAS	1	Unspecified	WADE	QUNSP		1.02	21.0	1.85	0.550	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07130500	194	1985-01-17		Yes	WFP	USGS	0.74	1.38	 3.0			POOR			CICE	MEAS	1	Unspecified	WADE	QUNSP		1.38	21.4	2.40	0.580	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07130500	195	1985-02-13		Yes	WFP	USGS	0.76	3.36	 3.0			FAIR	0.00	0.60	CICE	MEAS	1	Unspecified	WADE	QUNSP		3.36	30.8	10.0	0.340	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07130500	196	1985-03-20		Yes	WFP	USGS	1.46	74.1	 3.0	-0.070		FAIR	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		74.1	77.5	159	0.470	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07130500	197	1985-04-17		Yes	WFP	USGS	4.23	1280	 3.0	0.00		GOOD	0.00	1.20	SUBM	MEAS	1	Unspecified	CWAY	QUNSP		1280	87.0	500	2.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07130500	198	1985-05-14		Yes	WFP	USGS	1.96	215.0	 3.0	-0.100	2.00	GOOD	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		215.0	82.5	230	0.930	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07130500	199	1985-05-15		Yes	WFP	USGS	1.96	211.0	 3.0	-0.100		GOOD	0.00	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		211.0	83.0	230	0.920	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07130500	200	1985-05-28		Yes	WFP/RDS	USGS	6.69	2880	 3.0	0.00		FAIR	0.00	1.20	SUBM	MEAS	1	Unspecified	CRAN	QUNSP		2880	139	933	3.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07130500	201	1985-05-30		Yes	WFP/RDS	USGS	5.89	2240	 3.0	0.00		GOOD	-0.02	0.90	SUBM	MEAS	1	Unspecified	CRAN	QUNSP		2240	134	743	3.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07130500	202	1985-06-06		Yes	WFP	USGS	3.80	1050	 3.0	0.00	-1.00	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1050	87.5	509	2.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07130500	203	1985-06-28		Yes	WFP	USGS	2.84	620.0	 3.0	0.00	-1.00	GOOD	0.00	1.10		MEAS	1	Unspecified	CWAY	QUNSP		620.0	87.5	412	1.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
