#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:08:43 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07138070 ARKANSAS R AT DEERFIELD, KS
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07138070	1	1998-08-05 13:55:00	CDT	Yes	CAD	USGS	10.23	882.0	 1.0			FAIR	-0.02	1.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		882.0	252	408	2.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07138070	2	1998-09-02 09:00:00	CDT	Yes	DAH/CAD	USGS	7.67	187.0	 1.0			GOOD	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		187.0	66.0	92.2	2.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07138070	3	1998-10-06 15:40:00	CDT	Yes	CAD	USGS	8.21	252.0	 1.0			FAIR	0.00	0.67	CLER	MEAS	1	Unspecified	WADE	QUNSP		252.0	61.5	113	2.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07138070	4	1998-12-02 13:30:00	CST	Yes	CGS	USGS	7.99	215.0	 1.0			GOOD	-0.01	0.66	CLER	MEAS	1	Unspecified	WADE	QUNSP		215.0	61.5	107	2.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07138070	5	1999-01-14 14:30:00	CST	Yes	CAD/CGS	USGS	7.84	91.0	 1.0			POOR	0.01	0.42	CICE	MEAS	1	Unspecified	ICE	QSCMM		91.0	48.0	59.4	1.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07138070	6	1999-02-17 13:30:00	CST	Yes	CGS	USGS	7.92	215.0	 1.0			GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		215.0	62.0	104	2.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07138070	7	1999-04-01 14:00:00	CST	Yes	CGS	USGS	7.98	218.0	 1.0			GOOD	0.00	0.83	CLER	MEAS	1	Unspecified	WADE	QUNSP		218.0	61.0	108	2.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07138070	8	1999-05-12 14:00:00	CDT	Yes	CAD/LG	USGS	11.68	2160	 1.0			FAIR	0.00	1.70	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		2160	558	1550	1.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07138070	9	1999-05-26 11:50:00	CDT	Yes	CAD/PEM	USGS	12.10	2640	 1.0			FAIR	0.00	1.92	MDDB	MEAS	1	Unspecified	CRAN	QUNSP		2640	560	1740	1.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07138070	10	1999-07-16 08:10:00	CDT	Yes	CGS	USGS	7.76	215.0	 1.0			FAIR	0.00	0.67	CLER	MEAS	1	Unspecified	WADE	QUNSP		215.0	62.0	100	2.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07138070	11	1999-08-19 09:00:00	CDT	Yes	CAD	USGS	10.85	1820	 1.0			FAIR	-0.01	1.25	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1820	513	1100	1.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07138070	12	1999-09-01 10:30:00	CDT	Yes	CGS	USGS	7.91	286.0	 1.0			GOOD	0.01	0.83	CLER	MEAS	1	Unspecified	WADE	QUNSP		286.0	63.0	118	2.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07138070	13	1999-11-03 10:10:00	CST	Yes	CGS	USGS	7.82	283.0	 2.0			FAIR	0.01	0.83	CLER	MEAS	1	Unspecified	WADE	QUNSP		283.0	63.0	119	2.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07138070	14	1999-12-16 14:20:00	CST	Yes	CGS	USGS	7.64	273.0	 2.0			FAIR	0.02	0.58	CLER	MEAS	1	Unspecified	WADE	QUNSP		273.0	63.3	113	2.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07138070	15	2000-01-26 11:50:00	CST	Yes	CGS	USGS	6.22	46.7	 2.0			UNSP	0.00	0.58	CLER	MEAS	1	Unspecified	WADE	QUNSP		46.7	33.4	27.4	1.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07138070	16	2000-03-08 10:00:00	CST	Yes	CAD/LSH	USGS	8.12	377.0	 2.0			FAIR	-0.02	1.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		377.0	75.0	137	2.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07138070	17	2000-05-08 15:50:00	CDT	Yes	CAD	USGS	7.85	284.0	 2.0			GOOD	-0.01	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		284.0	66.0	128	2.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
