#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:08:45 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07139500 ARKANSAS R AT DODGE CITY, KS
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07139500	29	1946-10-08		Yes	SPI/PAL	USGS	5.29	769.0				UNSP	-0.06	1.00		UNSP	1	Unspecified	UNSP			769.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	31	1946-11-15		Yes	PAL	USGS	4.63	521.0				UNSP	0.00	1.00		UNSP	1	Unspecified	UNSP			521.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	39	1947-03-19		Yes	PAL	USGS	4.57	526.0				UNSP	0.00	1.00		UNSP	1	Unspecified	UNSP			526.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	44	1947-05-29		Yes	PAL	USGS	6.18	1620				UNSP	0.09	1.00		UNSP	1	Unspecified	UNSP			1620				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	46	1947-06-24		Yes	PAL	USGS	5.07	874.0				UNSP	0.08	1.00		UNSP	1	Unspecified	UNSP			874.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	47	1947-07-01		Yes	PAL	USGS	7.24	3280				UNSP	-0.02	2.00		UNSP	1	Unspecified	UNSP			3280				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	48	1947-07-17		Yes	PAL	USGS	6.66	2350				UNSP	-0.05	2.00		UNSP	1	Unspecified	UNSP			2350				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	62	1948-03-19		Yes	FER	USGS	4.64	564.0				UNSP	-0.02	2.00		UNSP	1	Unspecified	UNSP			564.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	91	1949-06-06		Yes	MAR/JEH	USGS	9.34	5190				UNSP	0.31	2.00		UNSP	1	Unspecified	UNSP			5190				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	93	1949-06-07		Yes	KLA/STA	USGS	9.08	7000				UNSP	0.04	1.00		UNSP	1	Unspecified	UNSP			7000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	92	1949-06-07		Yes	MAR/JEH	USGS	9.90	6670				UNSP	0.01	1.70		UNSP	1	Unspecified	UNSP			6670				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	94	1949-06-08		Yes	KLA/STA	USGS	12.03	15500				UNSP	0.37	2.00		UNSP	1	Unspecified	UNSP			15500				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	94A	1949-06-09		Yes	US	USGS	8.96	6730				UNSP	-0.16	1.00		UNSP	1	Unspecified	UNSP			6730				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	94B	1949-06-10		Yes	US	USGS	7.26	4120				UNSP	-0.02	1.00		UNSP	1	Unspecified	UNSP			4120				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	94C	1949-06-10		Yes	US	USGS	7.18	3870				UNSP	0.00	1.00		UNSP	1	Unspecified	UNSP			3870				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	94D	1949-06-11		Yes	US	USGS	7.04	3640				UNSP	-0.01	1.00		UNSP	1	Unspecified	UNSP			3640				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	131	1951-05-17		Yes	CON/PUC	USGS	8.67	7880				UNSP	0.02	1.00		UNSP	1	Unspecified	CRAN	QUNSP		7880	357	2000	3.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	133	1951-05-18		Yes	CON/PUC	USGS	10.76	16200				UNSP	0.01	1.00		UNSP	1	Unspecified	CRAN	QUNSP		16200	371	3260	4.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	132	1951-05-18		Yes	CON/PUC	USGS	11.50	19300				UNSP	-0.09	2.40		UNSP	1	Unspecified	CRAN	QUNSP		19300	593	3770	5.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	134	1951-06-13		Yes	LEN	USGS	5.23	1190				UNSP	0.04	1.00		UNSP	1	Unspecified	CRAN	QUNSP		1190	316	568	2.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	135	1951-07-17		Yes	VIN/COR	USGS	4.54	586.0				UNSP	-0.02	1.00		UNSP	1	Unspecified	WADE	QUNSP		586.0	144	240	2.44	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07139500	211	1955-05-22		Yes	DMC/LAB	USGS	8.35	4170				GOOD	-0.13	1.40		UNSP	1	Unspecified	UNSP			4170				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
