#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:08:52 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07143330 ARKANSAS R NR HUTCHINSON, KS
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07143330	1	1959-09-28		Yes	LLJ/RDT	USGS	8.46	4690				UNSP	-0.05	1.33		MEAS	1	Unspecified	UNSP			4690				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07143330	8	1960-03-27		Yes	LAB	USGS	10.38	9370				UNSP	-0.05	1.75		MEAS	1	Unspecified	UNSP			9370				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07143330	91	1965-06-05		Yes	DS	USGS	9.14	6050				UNSP	-0.03	1.17		MEAS	1	Unspecified	UNSP			6050				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07143330	92	1965-06-15		Yes	DSE/CF	USGS	10.23	8470				UNSP	-0.02	1.17		MEAS	1	Unspecified	UNSP			8470				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07143330	93	1965-06-25		Yes	DSE/COG	USGS	10.04	7890				UNSP	0.03	1.08		MEAS	1	Unspecified	UNSP			7890				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07143330	94	1965-06-26		Yes	COG	USGS	11.18	12300				UNSP	0.04	0.67		MEAS	1	Unspecified	UNSP			12300				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07143330	95	1965-06-27		Yes	JMA/CF	USGS	11.66	15200				UNSP	0.02	1.67		MEAS	1	Unspecified	UNSP			15200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07143330	96	1965-06-29		Yes	COG/LJ	USGS	11.09	12200				UNSP	0.02	1.08		MEAS	1	Unspecified	UNSP			12200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07143330	146	1968-10-21		Yes	RDT	USGS	8.33	4540				UNSP	-0.06	1.50		MEAS	1	Unspecified	UNSP			4540				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
