#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:09:01 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07144300 ARKANSAS R AT WICHITA, KS
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07144300	1	1921-06-10		Yes	ELW	USGS	15.09	4690				UNSP	0.10	2.70		UNSP	1	Unspecified	UNSP			4690				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07144300	2	1921-07-14		Yes	HBK	USGS	12.47	1620				UNSP	0.04	2.60		UNSP	1	Unspecified	UNSP			1620				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07144300	3	1921-08-22		Yes	hbk	USGS	13.20	2700				UNSP	0.04	1.50		UNSP	1	Unspecified	UNSP			2700				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07144300	6	1922-04-28		Yes	WRD	USGS	14.40	5370				UNSP	0.04	5.50		UNSP	1	Unspecified	UNSP			5370				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07144300	12	1923-06-10		Yes	GHB	USGS	14.77	6460				UNSP	-0.37	3.00		UNSP	1	Unspecified	UNSP			6460				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07144300	13	1923-06-12		Yes	WIL/GHB	USGS	14.65	5890				UNSP	0.02	1.30		UNSP	1	Unspecified	UNSP			5890				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07144300	14	1923-08-24		Yes	hbk	USGS	12.68	28.0				UNSP	0.02	1.70		UNSP	1	Unspecified	UNSP			28.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07144300	15	1923-09-25		Yes	hbk/ghb	USGS	12.60	3120				UNSP	-0.01	2.10		UNSP	1	Unspecified	UNSP			3120				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07144300	31	1927-08-18		Yes	JBS	USGS	14.67	11700				UNSP	0.13	3.00		UNSP	1	Unspecified	UNSP			11700				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07144300	282	1957-05-17		Yes	CVS/CMD	USGS	14.60	21200				FAIR	-0.05	1.75		UNSP	1	Unspecified	UNSP			21200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07144300	516	1973-03-11 11:55:00	CST	Yes	COG	USGS	10.63	13000				FAIR	0.06			MEAS	1	Unspecified	UNSP			13000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07144300	528	1974-04-22 13:55:00	CDT	Yes	DLL/KDM	USGS	10.46	0.131				GOOD	-0.05			MEAS	1	Unspecified	UNSP			0.131				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07144300	552	1976-04-29 11:55:00	CDT	Yes	WIC	USGS	10.21	14400				UNSP	-0.05			MEAS	1	Unspecified	UNSP			14400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07144300	567	1977-06-23 10:50:00	CDT	Yes	RDT/DDM	USGS	9.47	12400				FAIR	-0.15			MEAS	1	Unspecified	UNSP			12400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07144300	659	1987-03-24 18:40:00	CST	Yes	BCP	USGS	14.12	13600				GOOD	-0.03			MEAS	1	Unspecified	UNSP			13600				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
