#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:09:03 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07146500 ARKANSAS R AT ARKANSAS CITY, KS
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07146500	29	1928-06-18		Yes	JBS	USGS	30.97	25200				UNSP	0.29			UNSP	1	Unspecified	UNSP			25200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07146500	75	1935-04-15		Yes	CW	USGS	25.60	16200				UNSP	-0.18	2.00		UNSP	1	Unspecified	UNSP			16200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07146500	152	1942-06-22		Yes	USE	USGS	20.30	37000				UNSP	-0.21	1.50		MEAS	1	Unspecified	WADE	QUNSP		37000	500	420	3.93	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07146500	172A	1944-02-25		Yes	OAT/DUR	USGS	22.78	54200				UNSP	-0.23	2.50		MEAS	1	Unspecified	CRAN	QUNSP		54200	892	11500	4.71	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07146500	165	1944-04-23		Yes	OAT/DUR	USGS	38.28	10500				UNSP	-0.04	2.00		UNSP	1	Unspecified	UNSP			10500				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07146500	172	1944-04-25		Yes	BRO/SCH	USGS	22.32	54300				UNSP	-0.41	4.50		MEAS	1	Unspecified	CRAN	QUNSP		54300	896	11000	4.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07146500	183	1945-09-29		Yes	KLA/VIN	USGS	30.46	26000				UNSP	0.29	1.30		UNSP	1	Unspecified	UNSP			26000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07146500	184	1945-09-30		Yes	SUL/REY	USGS	34.76	44400				UNSP	0.13	2.20		UNSP	1	Unspecified	CRAN	QUNSP		44400	821	9580	4.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07146500	222	1948-06-24		Yes	BRO/JEH	USGS	19.11	32200				UNSP	0.18	3.00		MEAS	1	Unspecified	CRAN	QUNSP		32200	892	7930	4.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
