#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:09:05 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07148140 Arkansas River near Ponca City, OK
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07148140	68	1982-08-10		Yes	TEC/JS	USGS	8.20	1160				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	1160	255	445	2.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07148140	69	1982-10-27		Yes	TEC	USGS	9.59	156				Good	0.05	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	156	140	160	0.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07148140	70	1982-12-08		Yes	TEC	USGS	10.69	155				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	155	145	153	1.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07148140	71	1983-02-10		Yes	TEC/DB	USGS	8.00	1130				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	1130	242	432	2.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07148140	72	1983-04-06		Yes	TEC/RDG	USGS	23.63	18300				Good	0.06	1.20		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	18300	500	4820	3.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07148140	73	1983-06-09		Yes	TEC/AJM	USGS	12.18	3810				Good	0.00	1.00		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	3810	430	2620	1.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07148140	74	1983-09-07		Yes	TEC	USGS	8.40	331				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	331	190	238	1.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07148140	75	1983-10-05		Yes	TEC	USGS	8.41	170				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	170	154	142	1.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07148140	76	1983-12-09		Yes	TEC	USGS	11.22	1150				Good	-0.01	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1150	254	437	2.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
