#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:09:46 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 10011500 BEAR RIVER NEAR UTAH-WYOMING STATE LINE
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	10011500	1	1942-07-15 03:45:00	MDT	Yes	M/B	USGS	1.90	191.2		0.00		UNSP				MEAS	1	Unspecified	UNSP			191.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10011500	2	1942-07-30 10:30:00	MDT	Yes	S/G	USGS	1.49	98.6		0.00		FAIR	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		98.6	40.0	50.1	1.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10011500	3	1942-08-13 03:15:00	MDT	Yes	M	USGS	1.36	59.7		0.00		POOR				MEAS	1	Unspecified	UNSP			59.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10011500	4	1942-08-27 07:40:00	MDT	Yes	S	USGS	1.27	47.5		0.00		FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		47.5	61.5	62.5	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10011500	5	1942-09-22 04:50:00	MDT	Yes	M	USGS	1.19	38.5		0.00		UNSP				MEAS	1	Unspecified	UNSP			38.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10011500	6	1942-10-08 08:30:00	MDT	Yes	S/F	USGS	1.24	39.7		0.00		FAIR	0.00	0.58	CLER	MEAS	1	Unspecified	WADE	QUNSP		39.7	33.0	42.5	0.930	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10011500	7	1942-10-22 12:00:00	MDT	Yes	C/M	USGS	1.30	41.1		0.00		UNSP				MEAS	1	Unspecified	UNSP			41.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10011500	8	1942-11-04 12:45:00	MDT	Yes	S	USGS	1.32	56.3		0.00		GOOD	0.00	0.66	CLER	MEAS	1	Unspecified	WADE	QUNSP		56.3	42.0	45.6	1.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10011500	9	1943-02-02 01:20:00	MDT	Yes	BSR	USGS		33.0		0.00		UNSP			CICE	MEAS	1	Unspecified	UNSP			33.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
