#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:09:50 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 10016900 BEAR RIVER AT EVANSTON, WY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	10016900	1	1984-05-14		Yes	TFW/DJO	USGS	6.09	2330				Fair	0.00	1.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2330	78.0	428	5.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	10016900	2	1984-05-16		Yes	DJO	USGS	7.04	3400				Poor	-0.11	1.60	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3400	76.0	508	6.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	10016900	4	1984-06-04		Yes	BHR	USGS	5.23	1910				Good	-0.08	1.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1910	77.0	363	5.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	10016900	3	1984-06-04		Yes	BHR	USGS	5.30	1990				Good	-0.02	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1990	77.0	371	5.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	10016900	5	1984-06-12		Yes	TFW	USGS	3.62	902				Fair	0.02	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	902	68.0	212	4.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	10016900	6	1984-06-25		Yes	BHR	USGS	4.20	1220				Unspecified	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1220	72.0	251	4.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	10016900	7	1984-08-15		Yes	TFW	USGS	1.46	105				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	105	41.0	44.6	2.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	10016900	8	1984-09-10		Yes	TFW	USGS	1.57	142				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	142	46.0	53.0	2.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	10016900	9	1984-11-09		Yes	TFW	USGS	1.64	149				Fair	-0.02	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	149	46.0	47.2	3.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	10016900	10	1984-12-18		Yes	TFW	USGS	1.36	56.4				Poor	0.00	0.50	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	56.4	29.0	26.0	2.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	10016900	11	1985-03-22		Yes	TFW	USGS	1.82	142				Fair	0.00	0.70	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	142	44.0	66.1	2.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	10016900	12	1985-04-15		Yes	TFW	USGS	3.46	942				Poor	-0.03	1.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	942	113	210	4.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	10016900	13	1985-05-23		Yes	TFW	USGS	3.47	844				Fair	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	844	61.0	165	5.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	10016900	14	1985-06-21		Yes	TFW	USGS	2.26	305				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	305	48.0	83.0	3.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
