#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:09:52 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 10038000 BEAR RIVER BLW SMITHS FORK, NR COKEVILLE, WY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	10038000	336	1983-09-21		Yes	BG	USGS	3.78	532.0	 5.0	0.00	-2.20	FAIR	0.00	1.00	LGDB	MEAS	1	Unspecified	CWAY	QUNSP		532.0	105	217	2.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10038000	337	1983-10-17		Yes	DB	USGS	4.22	786.0	 5.0	0.00	-1.60	FAIR	0.01	0.83	CLER	MEAS	1	Unspecified	CWAY	QUNSP		786.0	116	266	2.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10038000	338	1983-11-14		Yes	BS	USGS	4.18	724.0	 5.0	0.00	-6.50	FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		724.0	108	259	2.80	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10038000	339	1984-02-15		Yes	DB /BS	USGS	3.54	371.0	 5.0	0.00		FAIR	0.00	0.75	SICE	MEAS	1	Unspecified	WADE	QUNSP		371.0	100	142	2.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10038000	340	1984-04-04		Yes	DB	USGS	4.88	1280	 5.0	0.00	1.70	FAIR	0.00	0.75	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1280	136	365	3.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10038000	341	1984-05-08		Yes	BG	USGS	5.07	1390	 5.0	0.00	-1.10	FAIR	0.00	1.33	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1390	142	398	3.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10038000	342	1984-06-07		Yes	BG	USGS	7.48	3970	 5.0	0.00	3.00	GOOD	0.00	1.75	CLER	MEAS	1	Unspecified	CWAY	QUNSP		3970	154	796	4.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10038000	343	1984-06-26		Yes	BS	USGS	5.68	1780	 5.0	0.00	-7.40	FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1780	138	475	3.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10038000	344	1984-08-07		Yes	DAB	USGS	3.83	557.0	 5.0	0.00	-2.50	GOOD	0.00	0.67	CLER	MEAS	1	Unspecified	CWAY	QUNSP		557.0	106	233	2.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
