#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:09:56 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 10039500 BEAR RIVER AT BORDER, WY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	10039500	1	1937-09-29 10:15:00	MST	Yes	H	USGS	1.38	111.0		0.00		UNSP			CLER	MEAS	1	Unspecified	WADE	QUNSP		111.0	120	108	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10039500	2	1938-01-08 10:00:00	MST	Yes	H/T	USGS		127.0		0.00		UNSP			CICE	MEAS	1	Unspecified	ICE	QSCMM		127.0	85.0	102	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10039500	3	1938-02-10 07:30:00	MST	Yes	H	USGS		174.0		0.00		UNSP			CICE	MEAS	1	Unspecified	ICE	QSCMM		174.0	96.0	138	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10039500	4	1938-04-22 02:20:00	MST	Yes	H	USGS	5.70	1600		0.00		UNSP	-0.01	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1600	105	745	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10039500	5	1938-05-19 11:30:00	MST	Yes	LRS	USGS	6.22	1730		0.00		UNSP				MEAS	1	Unspecified	CRAN	QUNSP		1730	106	811	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10039500	6	1938-06-17 10:20:00	MST	Yes	H	USGS	4.37	998.0		0.00		FAIR	0.00	1.75		MEAS	1	Unspecified	CRAN	QUNSP		998.0	106	620	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10039500	7	1938-07-18 10:45:00	MST	Yes	R	USGS	2.49	318.0		0.00		EXCL	0.00	1.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		318.0	131	217	1.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10039500	8	1938-09-16 03:40:00	MST	Yes	H	USGS	1.87	200.0		0.00		GOOD	0.00	1.66		MEAS	1	Unspecified	WADE	QUNSP		200.0	94.0	150	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10039500	9	1938-11-05 02:45:00	MST	Yes	W	USGS	2.07	224.0		0.00		EXCL	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		224.0	119	173	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10039500	10	1939-01-09 04:00:00	MST	Yes	O	USGS		164.0		0.00		GOOD			CICE	MEAS	1	Unspecified	ICE	QSCMM		164.0	100	124	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10039500	11	1939-02-05 04:45:00	MST	Yes	K/H	USGS		165.0		0.00		GOOD			CICE	MEAS	1	Unspecified	ICE	QSCMM		165.0	99.0	125	1.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10039500	12	1939-03-14 04:30:00	MST	Yes	K	USGS		208.0		0.00		GOOD			CICE	MEAS	1	Unspecified	ICE	QSCMM		208.0	99.0	133	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10039500	13	1939-04-17 12:20:00	MST	Yes	E	USGS	3.58	653.0		0.00		GOOD	0.01	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		653.0	106	535	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
