#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:10:30 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06428500 BELLE FOURCHE R AT WY-SD STATE LINE
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06428500	15	1947-03-22		Yes	LJS	USGS	8.55	1630				GOOD	0.05	1.83	UNSP	UNSP	1		UNSP	QSCMM	VPAA	1630	74.5	403	4.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06428500	30	1949-03-21		Yes	LJS	USGS	6.05	383				GOOD	-0.24	1.83	UNSP	UNSP	1		UNSP	QSCMM	VPAA	383	62.0	125	3.05	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06428500	31	1949-03-26		Yes	LJS	USGS	7.46	1250				GOOD	-0.17	2.50	UNSP	UNSP	1		UNSP	QSCMM	VPAA	1250	164	334	3.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06428500	32	1949-03-30		Yes	LJS	USGS	6.92	904				GOOD	0.00	0.83	UNSP	UNSP	1		UNSP	QSCMM	VPAA	904	63.0	272	3.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06428500	33	1949-04-06		Yes	LJS	USGS	6.42	739				GOOD	-0.06	0.83	UNSP	UNSP	1		UNSP	QSCMM	VPAA	739	62.0	248	2.98	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06428500	34	1949-04-11		Yes	LJS	USGS	5.42	537				GOOD	-0.06	2.50	UNSP	UNSP	1		UNSP	QSCMM	VPAA	537	63.0	201	2.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06428500	46	1950-04-06		Yes	LJS	USGS	5.52	561				GOOD	-0.05	0.83	UNSP	UNSP	1		UNSP	QSCMM	VPAA	561	60.0	168	3.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06428500	47	1950-04-17		Yes	LJS	USGS	6.43	742				GOOD	-0.04	1.00	UNSP	UNSP	1		UNSP	QSCMM	VPAA	742	63.0	249	2.98	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06428500	49	1950-05-16		Yes	LJS	USGS	5.08	444				GOOD	0.01	1.33	UNSP	UNSP	1		UNSP	QSCMM	VPAA	444	62.0	184	2.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
