#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:10:33 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06437000 BELLE FOURCHE R NEAR STURGIS,SD
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06437000	7	1946-05-02		Yes	Holmes	USGS	9.78	7760				GOOD			UNSP	MEAS	1		UNSP	QSCMM		7760	224	1180	6.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	8	1946-05-04		Yes	Holmes	USGS	6.34	2370				FAIR			UNSP	MEAS	1		UNSP	QSCMM		2370	163	455	5.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	9	1946-05-05		Yes	Bearry	USGS	5.90	1600				GOOD			UNSP	MEAS	1		UNSP	QSCMM		1600	160	406	3.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	10	1946-06-01		Yes	DFT	USGS	10.71	10300				GOOD			UNSP	MEAS	1		UNSP	QSCMM		10300	270	1630	6.31	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	17	1947-02-20		Yes	GFS	USGS	6.30	2170				GOOD	-0.02	0.67	UNSP	UNSP	1		UNSP	QSCMM	VPAA	2170	158	492	4.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	32	1948-03-26		Yes	LJS	USGS	6.28	2060				GOOD	-0.01	1.50	UNSP	UNSP	1		UNSP	QSCMM	VPAA	2060	158	457	4.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	34	1948-04-28		Yes	TDJ	USGS	4.60	654				GOOD	-0.01	2.50	UNSP	UNSP	1		UNSP	QSCMM	VPAA	654	145	192	3.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	37	1948-06-29		Yes	TDJ	USGS	4.58	525				GOOD	-0.06	2.25	UNSP	UNSP	1		UNSP	QSCMM	VPAA	525	150	199	2.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	38	1948-07-21		Yes	TDJ	USGS	4.63	689				GOOD	0.10	2.00	UNSP	UNSP	1		UNSP	QSCMM	VPAA	689	150	228	3.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	39	1948-08-09		Yes	LJS	USGS	5.21	1120				GOOD	-0.02	1.58	UNSP	UNSP	1		UNSP	QSCMM	VPAA	1120	153	300	3.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	47	1949-03-09		Yes	LJS	USGS	8.24	1720				GOOD	-0.08	1.10	UNSP	UNSP	1		UNSP	QSCMM	VPAA	1720	192	586	2.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	48	1949-03-26		Yes	LJS	USGS	8.21	3980				GOOD	0.00	2.10	UNSP	UNSP	1		UNSP	QSCMM	VPAA	3980	299	949	4.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	49	1949-03-30		Yes	LJS	USGS	6.90	3050				GOOD	0.01	1.66	UNSP	UNSP	1		UNSP	QSCMM	VPAA	3050	173	617	4.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	50	1949-04-14		Yes	LJS	USGS	5.45	991				GOOD	-0.02	1.66	UNSP	UNSP	1		UNSP	QSCMM	VPAA	991	154	315	3.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	65	1950-04-05		Yes	FES	USGS	9.18	1040				GOOD	0.15	0.80	UNSP	UNSP	1		UNSP	QSCMM	VPAA	1040	198	664	1.57	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	67	1950-04-08		Yes	FES	USGS	7.52	2540				FAIR	-0.11	1.50	UNSP	UNSP	1		UNSP	QSCMM	VPAA	2540	193	757	3.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	68	1950-04-11		Yes	FES	USGS	5.72	1280				GOOD	0.01	0.75	UNSP	UNSP	1		UNSP	QSCMM	VPAA	1280	157	348	3.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	70	1950-05-17		Yes	FES	USGS	5.26	840				GOOD	0.01	1.00	UNSP	UNSP	1		UNSP	QSCMM	VPAA	840	210	331	2.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	164	1956-03-22		Yes	ERH	USGS	5.69	645				FAIR	-0.04	0.75	UNSP	UNSP	1		UNSP	QSCMM	VPAA	645	149	275	2.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	165	1956-03-23		Yes	ERH	USGS	5.16	507				GOOD	-0.03	1.00	UNSP	UNSP	1		UNSP	QSCMM	VPAA	507	100	180	2.82	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	239	1960-03-23		Yes	GFM	USGS	5.86	1100				FAIR	-0.06	1.25	UNSP	UNSP	1		UNSP	QSCMM	VPAA	1100	148	316	3.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	240	1960-03-25		Yes	GFM	USGS	5.76	1060				FAIR	0.05	1.33	UNSP	UNSP	1		UNSP	QSCMM	VPAA	1060	144	315	3.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	241	1960-03-26		Yes	GFM	USGS	5.20	772				GOOD	0.01	1.00	UNSP	UNSP	1		UNSP	QSCMM	VPAA	772	120	220	3.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	280	1962-05-19		Yes	GFM	USGS	7.85	2860				GOOD	0.00	2.00	UNSP	UNSP	1		UNSP	QSCMM	VPAA	2860	192	620	4.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	283	1962-06-16		Yes	JKL	USGS	13.56	10700				GOOD	-0.34	2.25	UNSP	UNSP	1		UNSP	QSCMM	VPAA	10700	264	2010	5.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	284	1962-06-20		Yes	JHE	USGS	6.88	1960				GOOD	-0.19	1.50	UNSP	UNSP	1		UNSP	QSCMM	VPAA	1960	170	535	3.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	285	1962-06-21		Yes	JKL	USGS	5.68	848				GOOD	-0.05	1.17	UNSP	UNSP	1		UNSP	QSCMM	VPAA	848	141	340	2.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	297	1963-02-08		Yes	JKL	USGS	6.95	591				FAIR	0.08	1.42	UNSP	UNSP	1		UNSP	QSCMM	VPAA	591	152	342	1.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	300	1963-04-08		Yes	JKL	USGS	5.18	557				GOOD	0.00	1.00	UNSP	UNSP	1		UNSP	QSCMM	VPAA	557	122	194	2.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	301	1963-04-29		Yes	JHE	USGS	6.88	1770				GOOD	-0.02	1.83	UNSP	UNSP	1		UNSP	QSCMM	VPAA	1770	190	440	4.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	303	1963-06-10		Yes	JHE	USGS	6.11	1370				GOOD	-0.02	1.17	UNSP	UNSP	1		UNSP	QSCMM	VPAA	1370	145	368	3.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06437000	307	1963-09-03		Yes	JHE	USGS	4.89	664				GOOD	-0.01	0.92	UNSP	UNSP	1		UNSP	QSCMM	VPAA	664	139	232	2.86	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
