#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:10:54 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06023500 Big Hole River near Jackson MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06023500	1961A	1961-09-08		Yes	fin	USGS	1.52	11.9				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		11.9				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06023500	1966A	1966-09-02 08:50:00	MDT	Yes	gl	USGS		12.9				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		12.9				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06023500	1966B	1966-09-29 12:45:00	MDT	Yes	whe	USGS	1.72	9.20				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		9.20				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06023500	1966C	1966-11-02 08:45:00	MST	Yes	gl	USGS	1.82	10.5				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		10.5				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06023500	1966D	1966-12-01 09:00:00	MST	Yes	gl	USGS	2.18	10.4				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		10.4				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06023500	1967A	1967-05-25 09:40:00	MDT	Yes	gl	USGS	3.58	319				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		319				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06023500	1967B	1967-07-06 14:00:00	MDT	Yes	je	USGS	2.70	138				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		138				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06023500	1967C	1967-08-01 12:40:00	MDT	Yes	je	USGS		43.6				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		43.6				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06023500	1967E	1967-09-08 08:15:00	MDT	Yes	je	USGS	1.74	20.8				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		20.8				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06023500	1967F	1967-10-11 16:40:00	MDT	Yes	je	USGS	1.79	22.4				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		22.4				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06023500	1967G	1967-11-03 09:15:00	MST	Yes	je	USGS	1.51	14.2				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		14.2				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06023500	1968A	1968-05-06 18:10:00	MDT	Yes	je	USGS	2.70	72.0				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		72.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06023500	1968B	1968-06-04 08:50:00	MDT	Yes	je	USGS	3.67	353				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		353				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06023500	1968C	1968-07-10 10:45:00	MDT	Yes	je	USGS	2.62	126				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		126				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06023500	1968D	1968-08-06 14:15:00	MDT	Yes	je	USGS	1.90	30.8				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		30.8				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
