#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:10:56 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06024020 Big Hole River at Miner Creek nr Jackson MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06024020	1	2009-07-02 10:00:00	MDT	Yes	MR	USGS	2.05	288				Unspecified			Clear	UNSP	1	Imported Channel 1	WADE	QSCMM	unkno	288	72.0	92.6	1.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024020	2	2009-07-09 12:25:00	MDT	Yes	TZ	USGS	2.10	289				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	WADE	QSCMM	unkno	289	63.5	102	2.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024020	3	2009-07-15 08:50:00	MDT	Yes	TZ	USGS	1.99	248				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	WADE	QSCMM	unkno	248	66.4	94.6	2.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024020	4	2009-08-06 17:00:00	MDT	Yes	MR	USGS	1.48	111				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	WADE	QSCMM	unkno	111	61.0	61.0	1.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024020	5	2009-08-19 14:40:00	MDT	Yes	MR	USGS	1.34	80.6				Unspecified			Clear	UNSP	1	Imported Channel 1	UNSP	other		80.6				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024020	6	2009-09-03 13:30:00	MDT	Yes	MR	USGS	1.20	50.2				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	WADE	QSCMM	unkno	50.2	65.5	39.3	1.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024020	7	2009-09-17 09:00:00	MDT	Yes	TZ	USGS	1.14	38.3				Unspecified		0.50	Unspecifed	UNSP	1	Imported Channel 1	WADE	QSCMM	unkno	38.3	61.8	35.8	1.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024020	8	2010-05-05 11:15:00	MDT	Yes	MJR	MT014	1.54	126				Good	0.04	0.80	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	126	66.0	63.7	1.97	FIRM	BLDR	EVEN	unkn	EVEN	STND	DNST	80.00
USGS	06024020	9	2010-05-19 10:40:00	MDT	Yes	RG/JR	MT014	1.58	140				Good			Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	140	61.0	67.8	2.07	FIRM	BLDR	EVEN	unkn	EVEN	STND	DNST	80.00
USGS	06024020	10	2010-06-10 10:58:00	MDT	Yes	MR/EC	MT014	3.21	830				Fair	0.01	0.20	Clear	MEAS	1	Imported Channel 1	CWAY	QADCP	VADCP	830	84.0	171	4.84	FIRM	BLDR	EVEN	unkn	EVEN	STND	DNST	80.00
USGS	06024020	11	2010-07-08 11:00:00	MDT	Yes	MR	MT014	1.96	342				Good			Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	342	71.0	99.4	3.44	FIRM	BLDR	EVEN	unkn	EVEN	STND	DNST	80.00
USGS	06024020	12	2010-07-19 10:30:00	MDT	Yes	RG/JM	MT014	1.55	170				Good			Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	170	61.0	77.8	2.19	FIRM	BLDR	EVEN	unkn	EVEN	STND	DNST	100.00
USGS	06024020	13	2010-08-25 09:30:00	MDT	Yes	RG	MT014	1.11	57.4				Good			Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	57.4				FIRM	BLDR	EVEN	unkn	EVEN	STND	DNST	80.00
