#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:10:56 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06024450 Big Hole River bl Big Lake Cr at Wisdom MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06024450	1M	1983-09-26		Yes	nn	USGS		114				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		114				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	1	1987-09-11 12:55:00	MDT	Yes	CLC	USGS	2.40	6.40				Fair	0.00	0.30	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	6.40	18.0	7.53	0.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	2	1987-10-15 09:15:00	MDT	Yes	SQ	USGS	2.48	12.3				Fair	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	12.3	34.0	49.0	0.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	3	1988-04-27 10:15:00	MDT	Yes	MMH/FMO	USGS	3.80	376				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	376	199	160	2.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	4	1988-05-19 13:30:00	MDT	Yes	ARS	USGS	3.87	388				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	388	108	155	2.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	5	1988-06-01 10:30:00	MDT	Yes	SVL	USGS	4.56	1060				Poor	0.01	2.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1060	120	470	2.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	6	1988-06-07 12:15:00	MDT	Yes	FMO	USGS	3.57	261				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	261	96.0	137	1.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	7	1988-06-17 11:00:00	MDT	Yes	SRD	USGS	3.02	96.2				Fair	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	96.2	52.0	64.0	1.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	8	1988-06-27 13:45:00	MDT	Yes	ARS	USGS	2.89	56.0				Fair	0.00	0.80	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	56.0	44.0	35.4	1.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	9	1988-07-19 15:10:00	MDT	Yes	FMO	USGS	2.63	22.3				Fair	0.00	0.50	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	22.3	24.0	15.0	1.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	10	1988-07-28 19:00:00	MDT	Yes	ARS	USGS	2.34	3.47				Poor	0.00	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	3.47	12.0	5.23	0.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	11	1988-08-02		Yes	MMH	USGS	2.29	1.66				Unspecified			DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.66			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	12	1988-08-11 11:00:00	MDT	Yes	PLK/ARS	USGS	2.26	1.46				Poor	0.00	0.80	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.46	7.40	2.63	0.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	13	1988-10-05 10:00:00	MDT	Yes	FMO	USGS	2.45	15.6				Fair			VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	15.6	24.0	12.4	1.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	14	1988-11-01 11:55:00	MST	Yes	FMO	USGS	2.62	36.1				Good			VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	36.1	34.0	25.4	1.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	15	1989-04-27 12:00:00	MDT	Yes	MMH	USGS	3.58	284				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	284	91.0	151	1.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	16	1989-05-17 12:00:00	MDT	Yes	MMH	USGS	3.42	224				Good	-0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	224	98.0	112	2.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	17	1989-06-29 09:03:00	MDT	Yes	MMH/SWN	USGS	2.85	47.1				Fair	0.01	0.80	VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	47.1	27.3	22.1	1.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	18	1989-06-29 10:10:00	MDT	Yes	MMH/SWN	USGS	2.86	45.3				Fair	-0.01	0.50	VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	45.3	25.8	22.5	2.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	19	1989-08-04 11:25:00	MDT	Yes	RSD/SWN	USGS	3.05	47.3				Good	0.00	0.40	VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	47.3	57.0	43.7	1.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	20	1989-09-20 10:00:00	MDT	Yes	MMH	USGS	2.79	32.6				Fair	0.00	0.60	VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	32.6	23.0	13.6	2.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	21	1989-10-31 17:00:00	MST	Yes	RRS/MMH	USGS	2.87	65.8				Good	0.00	0.60	VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	65.8	69.0	87.0	0.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	22	1990-04-18 11:00:00	MDT	Yes	ARS	USGS	3.86	385				Fair	0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	385	106	152	2.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	23	1990-05-09 12:45:00	MDT	Yes	PLK/SWN	USGS	2.96	98.2				Good	-0.01	1.20	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	98.2	54.0	53.3	1.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	24	1990-06-13 11:45:00	MDT	Yes	SWN	USGS	3.76	314				Good	0.00	1.20	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	314	58.0	95.9	3.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	25	1990-08-09 15:05:00	MDT	Yes	TJM/SVL	USGS	2.77	36.4				Good	0.00	0.70	VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	36.4	30.0	35.5	1.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	26	1990-09-18 10:00:00	MDT	Yes	TJM/SWN	USGS	2.58	26.0				Fair	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	26.0	30.0	17.4	1.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	27	1990-10-30 08:45:00	MST	Yes	TJM	USGS	2.92	81.1				Good	0.01	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	81.1	47.0	82.2	0.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	28	1991-04-19 10:40:00	MDT	Yes	TJM	USGS	3.68	299				Fair	-0.02	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	299	99.0	160	1.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	29	1991-05-07 09:10:00	MDT	Yes	TJM	USGS	3.89	362				Fair	0.03	0.80	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	362	88.0	115	3.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	30	1991-05-21 13:15:00	MDT	Yes	TJM	USGS	4.44	798				Fair	0.00	1.70	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	798	87.0	370	2.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	31	1991-06-05 11:15:00	MDT	Yes	TJM	USGS	4.73	1230				Fair	0.11	1.80	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1230	109	425	2.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	32	1991-06-11 15:20:00	MDT	Yes	TJM	USGS	4.77	1210				Fair	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1210	88.0	319	3.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	33	1991-07-02 10:00:00	MDT	Yes	TJM	USGS	4.15	596				Fair	-0.02	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	596	74.0	248	2.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	34	1991-07-24 11:35:00	MDT	Yes	TJM	USGS	3.49	204				Fair	-0.01	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	204	74.0	107	1.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	35	1991-09-05 12:45:00	MDT	Yes	TJM	USGS	2.47	12.7				Good	0.00	0.50	VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	12.7	22.0	16.3	0.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	36	1991-10-16 14:45:00	MDT	Yes	TJM/PLK	USGS	2.64	32.8				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	32.8	64.0	48.5	0.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024450	37	1992-04-01 10:50:00	MST	Yes	PLK	USGS	3.69	308				Good	0.00	0.60	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	308	108	147	2.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
