#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:10:59 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06024540 Big Hole River bl Mudd Cr nr Wisdom MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06024540	12	1997-06-18 11:50:00	MDT	Yes	SWN/SVL	USGS	5.25	3790				Good	0.00	1.00	Clear	UNSP	1	Imported Channel 1	CRAN	unspe	unkno	3790	188	821	4.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024540	13	1997-08-05 13:35:00	MDT	Yes	RGC/PLK	USGS	3.08	495				Good	-0.01	0.70	VegetationLight	UNSP	1	Imported Channel 1	WADE	unspe	unkno	495	158	199	2.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024540	14	1997-09-04 09:45:00	MDT	Yes	PLK/KLS	USGS	2.60	228				Good	0.00	0.80	DebrisLight	UNSP	1	Imported Channel 1	WADE	unspe	unkno	228	208	195	1.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024540	15	1997-10-10 10:10:00	MDT	Yes	KLS/RGC	USGS	2.78	286				Fair	0.00	0.60	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	286	151	141	2.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024540	16	1998-01-27 13:30:00	MST	Yes	RGC/SWN	USGS	3.65	190				Poor	0.00	1.00	IceCover	UNSP	1	Imported Channel 1	ICE	QSCMM	unkno	190	180	457	0.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024540	17	1998-04-22 14:15:00	MDT	Yes	RGC	USGS	3.72	1180				Good	0.02	0.80	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	1180	197	350	3.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024540	18	1998-05-04 16:00:00	MDT	Yes	RGC	USGS	4.62	2630				Good	0.01	0.70	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	2630	228	597	4.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024540	19	1998-06-12 12:00:00	MDT	Yes	KLS/JDL	USGS	4.18	1720				Good	0.00	0.80	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	1720	250	567	3.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024540	20	1998-07-15 17:15:00	MDT	Yes	SWN/KLS	USGS	3.50	892				Fair	0.01	0.80	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	892	214	402	2.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
