#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:11:00 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06024580 Big Hole River near Wise River MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06024580	1972A	1972-04-03		Yes	bil	USGS		1270				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1270				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	1	1979-05-29 13:00:00	MDT	Yes	CLC	USGS	5.68	4550				Good			Clear	UNSP	1	Imported Channel 1	UNSP	other		4550				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	2	1979-06-14 11:50:00	MDT	Yes	RRS/SVL	USGS	3.99	1530				Fair			Clear	UNSP	1	Imported Channel 1	UNSP	other		1530				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	3	1979-06-19 15:30:00	MDT	Yes	CLC/ML	USGS	4.20	1770				Unspecified			Clear	UNSP	1	Imported Channel 1	UNSP	other		1770				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	14	1980-04-22 11:30:00	MST	Yes	JF/SVL	USGS	4.96	2980				Unspecified			Clear	UNSP	1	Imported Channel 1	UNSP	other		2980				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	16	1980-05-12 16:00:00	MDT	Yes	JRF	USGS	5.31	3500				Unspecified			Clear	UNSP	1	Imported Channel 1	UNSP	other		3500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	17	1980-05-16 10:45:00	MDT	Yes	JRF	USGS	4.70	2560				Unspecified			Clear	UNSP	1	Imported Channel 1	UNSP	other		2560				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	18	1980-05-26 14:50:00	MDT	Yes	SAS/CLC	USGS	5.59	4360				Unspecified			Clear	UNSP	1	Imported Channel 1	UNSP	other		4360				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	19	1980-06-19 10:30:00	MDT	Yes	JT/NAM	USGS	4.91	2930				Unspecified			Clear	UNSP	1	Imported Channel 1	UNSP	other		2930				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	28	1981-04-28 11:45:00	MDT	Yes	JRF/MH	USGS	4.53	2270				Unspecified			Clear	UNSP	1	Imported Channel 1	UNSP	other		2270				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	29	1981-05-04 14:00:00	MDT	Yes	CLC	USGS	4.86	2960				Unspecified			Clear	UNSP	1	Imported Channel 1	UNSP	other		2960				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	33	1981-05-21 15:00:00	MDT	Yes	MH/CLC	USGS	5.15	3310				Unspecified			Clear	UNSP	1	Imported Channel 1	UNSP	other		3310				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	35	1981-05-26 17:30:00	MDT	Yes	JL/CLC	USGS	5.84	4930				Unspecified			Clear	UNSP	1	Imported Channel 1	UNSP	other		4930				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	37	1981-06-11 12:30:00	MDT	Yes	SVL/JRF	USGS	5.99	5460				Unspecified			Clear	UNSP	1	Imported Channel 1	UNSP	other		5460				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	43	1981-10-02 11:20:00	MDT	Yes	nm	USGS	2.50	182				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		182				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	44	1985-08-27 14:00:00	MDT	Yes	svl	USGS	2.24	85.5				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		85.5				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	45	1988-07-28 16:15:00	MDT	Yes	ARS	USGS		91.2				Fair			DebrisHeavy	MEAS	1	Imported Channel 1	WADE	unspe	unkno	91.2	120	82.5	1.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	46	2007-07-06 12:00:00	MDT	Yes	RRS	USGS	2.75	320				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		320				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	47	2007-09-05 12:00:00	MDT	Yes	RRS	USGS	2.26	110				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		110				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	48	2008-07-15 12:00:00	MDT	Yes	RRS	USGS	3.16	621				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		621				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	49	2008-08-18 12:00:00	MDT	Yes	RRS	USGS	2.52	194				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		194				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	50	2009-07-07 11:10:00	MDT	Yes	TZ	USGS	3.80	884				Unspecified		0.50	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	884				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	51	2009-07-14 09:00:00	MDT	Yes	TZ	USGS	3.72	1030				Good			Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VPAA	1030				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	52	2009-07-22 12:05:00	MDT	Yes	MR	USGS	3.04	501				Unspecified		0.50	Unspecifed	UNSP	1	Imported Channel 1	WADE	QSCMM	unkno	501	198	249	1.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	53	2009-07-23 08:10:00	MDT	Yes	TZ	USGS	2.99	456				Unspecified		0.50	Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		456				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	54	2009-08-04 15:45:00	MDT	Yes	CBR	USGS	2.74	286				Good			Clear	UNSP	1	Imported Channel 1	WADE	QSCMM	VPAA	286	173	197	1.45	FIRM	BLDR	EVEN	unkn	EVEN	UNSP	UNSP	
USGS	06024580	55	2009-08-04 16:00:00	MDT	Yes	MR	USGS	2.74	313				Unspecified			Clear	UNSP	1	Imported Channel 1	WADE	QSCMM	unkno	313	173	195	1.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	56	2009-08-18 14:30:00	MDT	Yes	RRS/FL	USGS	2.90	344				Unspecified			VegetationHeavy	MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	344	132	225	1.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	57	2009-09-18 12:15:00	MDT	Yes	RRS/FL	USGS	2.51	195				Good	0.00	1.00	VegetationLight	MEAS	1	Imported Channel 1	UNSP	other		195				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	58	2010-05-05 16:20:00	MDT	Yes	MJR	MT014	3.16	566				Good			Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	566				FIRM	BLDR	EVEN	unkn	EVEN	STND	UPST	100.00
USGS	06024580	59	2010-07-22 14:37:30	MDT	Yes	RRS	USGS	3.12	458				Good		1.30	VegetationLight	MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	458	134	262	1.75	FIRM	BLDR	UNEV	unkn	EVEN	STND	DNST	2500.00
USGS	06024580	60	2010-08-18 13:22:30	MDT	Yes	RRS	USGS	2.70	274				Good		0.80	VegetationLight	MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	274	130	199	1.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	61	2010-09-21 13:10:00	MDT	Yes	RRS/FL	USGS	2.72	272				Good		0.70	VegetationLight	MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	272	132	195	1.40	FIRM	BLDR	UNEV	unkn	UNEV	STND	DNST	2500.00
USGS	06024580	62	2011-04-21 15:40:00	MDT	Yes	RG	MT014	3.59	1030				Fair			Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	1030	192	384	2.69	FIRM	BLDR	EVEN	unkn	EVEN	STND	UNSP	
USGS	06024580	63	2011-04-26 12:00:00	MDT	Yes	RG	MT014	3.72	1200				Good			Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	1200	190	396	3.03	FIRM	BLDR	EVEN	unkn	EVEN	STND	UNSP	
USGS	06024580	64	2011-05-18 10:39:00	MDT	Yes	KLS/WAT	USGS	5.34	3840				Fair	-0.01	0.20	Clear	MEAS	1	Imported Channel 1	BRDS	QADCP	VADCP	3840	242	912	4.21	FIRM	BLDR	UNSP	unkn	EVEN	UNSP	DNST	30.00
USGS	06024580	65	2011-08-02 15:30:00	MDT	Yes	MJR	MT014	3.45	836				Fair	0.00	0.60	VegetationLight	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	836	204	354	2.36	FIRM	BLDR	UNEV	unkn	UNEV	STND	UNSP	
USGS	06024580	66	2011-08-24 08:55:00	MDT	Yes	RG	MT014	2.73	280				Fair			VegetationLight	MEAS	1	Imported Channel 1	WADE	QSCMM	VADCP	280	169	202	1.39	FIRM	BLDR	EVEN	unkn	EVEN	STND	UNSP	
USGS	06024580	67	2011-10-04 08:45:00	MDT	Yes	RG	MT014	2.53	193				Fair			VegetationLight	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	193	169	169	1.14	FIRM	BLDR	EVEN	unkn	EVEN	UNFM	UNSP	
USGS	06024580	68	2012-04-02 12:42:30	MDT	Yes	KLS	USGS	4.64	2830				Fair	-0.01	0.30	Clear	UNSP	1	Imported Channel 1	BRDS	QADCP	VADCP	2830	229	790	3.58	FIRM	BLDR	EVEN	unkn	EVEN	STND	DNST	30.00
USGS	06024580	69	2012-05-16 12:14:00	MDT	Yes	KLS	USGS	4.69	2660				Fair	0.01	0.20	Clear	UNSP	1	Imported Channel 1	BRDS	QADCP	VADCP	2660	236	747	3.56	FIRM	BLDR	EVEN	unkn	EVEN	STND	DNST	60.00
USGS	06024580	70	2012-07-05 10:10:00	MDT	Yes	RG	USGS	3.08	506				Unspecified		0.40		MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	506	174	267	1.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	71	2012-07-17 10:10:00	MDT	Yes	RG	USGS	3.22	620				Unspecified		0.40		MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	620	175	292	2.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	72	2012-08-14 09:25:00	MDT	Yes	RG	MT014	2.51	187				Unspecified		0.40		MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	187	174	163	1.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	73	2012-09-05 10:00:00	MDT	Yes	RG	MT014	2.34	126				Unspecified		0.40		MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	126	160	142	0.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	74	2012-10-31 08:50:00	MDT	Yes	RG	MT014	2.82	358				Unspecified	0.00	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	358	171	223	1.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	75	2013-04-18 15:00:00	MDT	Yes	RG	USGS	3.07	485				Good			Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	485	177	260	1.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	76	2013-06-11 09:50:00	MDT	Yes	RG	MT014	3.70	1090				Good			Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	1090	182	371	2.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	77	2013-08-07 14:46:00	MDT	Yes	MR	USGS	2.55	176				Fair	0.00	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	176	173	181	0.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	78	2013-10-24 12:31:30	MDT	Yes	SLD	USGS	2.84	305				Fair	0.00	0.60	DebrisLight	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	305	180	182	1.68	FIRM	CBLS	UNEV	unkn	EVEN	UNSP	UPST	200.00
USGS	06024580	79	2014-07-14 08:17:30	MDT	Yes	MR	USGS	3.38	760				Good		0.50	Unspecifed	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	760	169	302	2.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	80	2014-07-23 13:13:00	MDT	Yes	MR	USGS	3.13	530				Good		0.40		MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	530	174	259	2.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	81	2014-08-19 10:58:00	MDT	Yes	RG	USGS	2.91	377				Good		0.50	Unspecifed	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	377	173	230	1.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06024580	82	2014-10-02 15:08:00	MDT	Yes	SLD/KDS	USGS	2.95	370				Fair	0.00	0.50	VegetationLight	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	370	179	197	1.88	FIRM	CBLS	UNEV	unkn	EVEN	STND	UPST	300.00
