#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:11:02 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06025500 Big Hole River near Melrose MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06025500	145	1948-05-27		Yes	GWB	USGS	6.78	11200				Good	0.04	1.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		11200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	146	1948-06-04		Yes	EJB	USGS	7.69	13800				Good	-0.02	1.60	Clear	MEAS	1	Imported Channel 1	UNSP	other		13800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	240	1956-05-25		Yes	EJB	USGS	7.07	11400				Good	0.05	2.60	Clear	MEAS	1	Imported Channel 1	UNSP	other		11400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	357	1965-06-18 09:30:00	MDT	Yes	MLK	USGS	6.67	10500				Good	-0.02	1.60	Clear	MEAS	1	Imported Channel 1	UNSP	other		10500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	436	1972-06-03		Yes	RRS	USGS	7.60	12800				Good	0.06	1.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		12800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	437	1972-06-07		Yes	RRS/LF	USGS	7.09	10700				Good	0.02	2.00	Clear	MEAS	1	Imported Channel 1	UNSP	other		10700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	463	1974-06-17 14:00:00	MDT	Yes	WHE/NBM	USGS	7.06	10200				Good	0.02	1.60	Clear	MEAS	1	Imported Channel 1	UNSP	other		10200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	478	1975-06-21 14:40:00	MDT	Yes	JRK/FMO	USGS	7.44	11800				Good	-0.04	1.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		11800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	482	1975-09-30		Yes	WE	USGS	1.63	586				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	586	190	305	1.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	483	1975-10-29		Yes	WE	USGS	2.19	1050				Good	0.02	1.10	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1050	200	418	2.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	484	1975-11-24		Yes	WE	USGS	1.81	653				Fair	0.01	0.90	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	653	180	303	2.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	485	1975-12-30		Yes	WE	USGS	1.74	701				Good	0.01	0.70	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	701	200	293	2.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	486	1976-01-29		Yes	WE	USGS	1.56	532				Good			IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	532	190	254	2.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	487	1976-03-17		Yes	WHE/LC	USGS	1.54	490				Good	-0.04	0.70	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	490	165	263	1.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	488	1976-04-02		Yes	WE	USGS	1.62	568				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	568	180	336	1.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	489	1976-04-23		Yes	WE	USGS	3.07	2230				Good	-0.02	1.80	Clear	MEAS	1	Imported Channel 1	BRUS	unspe	unkno	2230	187	649	3.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	490	1976-05-13		Yes	WE	USGS	6.32	9770				Good	-0.01	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	9770	202	1350	7.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	491	1976-06-09		Yes	WE	USGS	5.35	6630				Good			Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	6630	194	1070	6.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	492	1976-06-25		Yes	WHE/LF	USGS	4.41	4830				Good	-0.02	1.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4830	192	908	5.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	493	1976-07-09		Yes	WHE	USGS	2.96	1980				Good			Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1980	177	600	3.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	494	1976-08-11		Yes	WHE	USGS	1.95	827				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	827	191	346	2.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	496	1976-10-05		Yes	WHE	USGS	1.93	793				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	793	177	354	2.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	495	1976-10-05		Yes	WHE	USGS	1.93	793				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	793	177	354	2.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	497	1976-11-16		Yes	WHE	USGS	1.46	475				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	475	180	253	1.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	498	1976-12-27		Yes	WHE	USGS	1.34	390				Good	-0.01	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	390	160	220	1.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	499	1977-02-14		Yes	EHW	USGS	1.56	341				Fair	-0.03	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	341	115	153	2.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	500	1977-04-12		Yes	WHE	USGS	2.51	1360				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1360	173	540	2.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	501	1977-06-02		Yes	WHE	USGS	2.65	1560				Good	0.03	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1560	167	546	2.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	502	1977-06-14		Yes	WHE	USGS	3.82	3140				Good	-0.01	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3140	191	742	4.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	503	1977-08-04		Yes	WHE/SF	USGS	1.48	411				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	411	175	328	1.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	504	1977-08-30		Yes	WHE/RF	USGS	1.11	233				Fair			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	233	173	227	1.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06025500	505	1977-10-03		Yes	WHE/RC	USGS	1.81	672				Fair			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	672	186	378	1.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
