#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:11:03 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06026210 Big Hole River near Glen MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06026210	4A	1994-08-16 11:30:00	MDT	Yes	sn	USGS		203				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		203				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	4B	1994-08-24 15:15:00	MDT	Yes	sl	USGS		134				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		134				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	4C	1994-08-31 15:00:00	MDT	Yes	sn	USGS		150				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		150				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	4D	1994-09-06 13:15:00	MDT	Yes	sn	USGS		152				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		152				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	5	1997-08-27 10:35:00	MDT	Yes	PLK/ALL	USGS	2.60	641				Good	0.00	0.90	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	641	224	362	1.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	6	1997-10-08 11:55:00	MDT	Yes	RGC	USGS	2.66	667				Fair	0.00	0.60	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	667	229	368	1.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	7	1997-11-14 13:00:00	MST	Yes	RGC	USGS	2.45	439				Good	0.01	0.50	IceShore	UNSP	1	Imported Channel 1	WADE	unspe	unkno	439	228	316	1.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	8	1998-01-28 14:30:00	MST	Yes	RGC	USGS	4.24	587				Poor	0.01	0.70	IceCover	UNSP	1	Imported Channel 1	ICE	QSCMM	unkno	587	215	376	1.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	9	1998-03-18 09:55:00	MST	Yes	RGC	USGS	2.48	505				Fair	0.00	0.50	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	505	209	295	1.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	10	1998-04-28 10:45:00	MDT	Yes	KLS/RGC	USGS	3.76	2150				Good	0.02	0.90	Clear	UNSP	1	Imported Channel 1	BOAT	unspe	unkno	2150	218	568	3.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	11	1998-05-07 12:30:00	MDT	Yes	KLS/RGC	USGS	4.79	4360				Good	0.00	1.20	Clear	UNSP	1	Imported Channel 1	BOAT	unspe	unkno	4360	221	813	5.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	12	1998-07-07 15:30:00	MDT	Yes	KLS/KLF	USGS	4.20	2900				Good	0.01	1.20	Clear	UNSP	1	Imported Channel 1	BOAT	unspe	unkno	2900	207	652	4.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	13	1998-07-21 12:00:00	MDT	Yes	RGC	USGS	3.16	1280				Fair	0.00	0.60	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	1280	222	466	2.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	14	1998-08-06 13:40:00	MDT	Yes	KLS/JDL	USGS	2.75	775				Good	0.00	0.50	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	775	213	349	2.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	15	1998-09-08 18:15:00	MDT	Yes	KLS	USGS	2.25	331				Good	0.00	0.60	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	331	204	240	1.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	16	1998-09-28 16:45:00	MDT	Yes	KLS	USGS	2.42	460				Good	0.00	0.60	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	460	208	279	1.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	17	1998-11-18 16:40:00	MST	Yes	KLS	USGS	2.60	596				Good	0.00	0.50	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	596	212	310	1.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	18	1999-01-06 15:40:00	MST	Yes	KLS	USGS	3.34	455				Poor	0.00	0.80	IceCover	UNSP	1	Imported Channel 1	ICE	QSCMM	unkno	455	208	304	1.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	19	1999-03-03 11:25:00	MST	Yes	KLS	USGS	2.46	480				Good	0.00	0.40	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	480	208	286	1.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	20	1999-04-21 16:05:00	MDT	Yes	KLS	USGS	4.23	2990				Good	-0.02	1.00	Clear	UNSP	1	Imported Channel 1	BOAT	unspe	unkno	2990	219	657	4.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	21	1999-06-02 13:15:00	MDT	Yes	KLS/ARS	USGS	5.82	6560				Good	-0.01	1.20	Clear	UNSP	1	Imported Channel 1	BOAT	unspe	unkno	6560	231	1030	6.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	22	1999-06-16 11:25:00	MDT	Yes	KLS/JDL	USGS	4.65	3780				Good	0.01	1.20	Clear	UNSP	1	Imported Channel 1	BOAT	unspe	unkno	3780	220	759	4.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06026210	23	1999-07-29 12:40:00	MDT	Yes	KLS	USGS	2.48	492				Good	0.00	0.70	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	492	209	288	1.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
