#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:11:17 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13132500 BIG LOST RIVER NR ARCO ID
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13132500	247	1975-01-26 11:50:00	MST	Yes	RL	USGS	3.72	121				Unspecified	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	121	60.0	50.4	2.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	248	1975-05-12 09:35:00	MDT	Yes	ELY/NHJ	USGS	3.94	163				Unspecified	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	163	56.0	116	1.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	249	1975-08-23 12:25:00	MDT	Yes	KR	USGS	3.56	94.3				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	94.3	54.0	87.5	1.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	250	1975-10-02 12:20:00	MDT	Yes	KR	USGS	4.14	196				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	196	57.0	124	1.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	251	1975-11-19 10:00:00	MST	Yes	RS	USGS	4.01	178				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	178	57.0	118	1.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	252	1976-01-13 10:00:00	MST	Yes	RS	USGS	3.74	71.8				Unspecified	0.00	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	71.8	57.0	102	0.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	253	1976-02-25 09:30:00	MST	Yes	RS	USGS	3.63	115				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	115	56.0	96.1	1.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	254	1976-03-31 16:00:00	MST	Yes	RS	USGS		82.2				Unspecified	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	82.2	55.0	83.7	0.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	255	1976-05-20 10:00:00	MDT	Yes	RS	USGS		48.8				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	48.8	53.0	68.1	0.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	256	1976-06-20 09:45:00	MDT	Yes	KR	USGS	3.15	43.6				Unspecified	0.01	0.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	43.6	54.0	65.6	0.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	257	1976-08-05 16:00:00	MDT	Yes	DJ	USGS	2.95	33.6				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	33.6	51.0	54.8	0.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	258	1976-09-14 14:45:00	MDT	Yes	JB	USGS	3.23	54.6				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	54.6	54.0	71.0	0.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	259	1976-11-02 14:55:00	MST	Yes	JB	USGS	4.25	230				Unspecified	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	230	57.0	129	1.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	260	1976-12-19 13:35:00	MST	Yes	JB	USGS	3.31	66.2				Unspecified	-0.03	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	66.2	53.0	72.6	0.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	261	1977-01-25 14:50:00	MST	Yes	JB	USGS	3.05	39.0				Unspecified	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	39.0	52.0	57.4	0.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	262	1977-03-10 13:35:00	MST	Yes	DJ	USGS	3.19	51.1				Unspecified	0.01	0.50	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	51.1	55.0	65.3	0.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	263	1977-04-11 13:25:00	MST	Yes	JB	USGS	2.46	10.1				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	10.1	47.5	26.2	0.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	264	1977-05-16 15:00:00	MDT	Yes	JB	USGS	2.44	8.45				Unspecified	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.45	22.0	20.7	0.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	265	1977-06-21 16:00:00	MDT	Yes	JB	USGS	3.05	37.9				Unspecified	-0.02	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	37.9	49.0	37.6	1.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	266	1977-08-08 16:30:00	MDT	Yes	K	USGS	2.12	1.62				Unspecified	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.62	12.5	2.62	0.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	267	1977-09-17 14:35:00	MDT	Yes	K	USGS	2.18	2.27				Unspecified	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.27	14.5	2.88	0.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	268	1977-10-23 14:00:00	MDT	Yes	DMK	USGS	2.35	6.61				Unspecified	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	6.61	23.0	9.08	0.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	269	1977-12-06 13:25:00	MST	Yes	K	USGS	2.49	6.35				Unspecified	-0.03	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	6.35	23.5	15.0	0.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	270	1978-01-30 14:50:00	MST	Yes	RS	USGS	2.41	2.33				Unspecified	0.00	0.40	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.33	12.5	3.00	0.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	271	1978-03-13 14:50:00	MST	Yes	RS	USGS	2.46	2.22				Unspecified	0.00	0.30	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.22	11.0	2.94	0.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	272	1978-04-25 15:45:00	MST	Yes	RS	USGS	2.28	3.87				Unspecified	0.00	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	3.87	24.0	14.6	0.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	273	1978-06-06 15:00:00	MDT	Yes	RS	USGS	1.99	0.05				Unspecified			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.05	2.00	0.10	0.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	274	1978-07-12 08:15:00	MDT	Yes	C	USGS	2.94	23.6				Unspecified	0.02	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	23.6	49.0	44.4	0.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	275	1978-08-10 08:20:00	MDT	Yes	JT	USGS	2.75	9.97				Unspecified	0.08	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	9.97	28.0	23.4	0.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	276	1978-09-21 14:45:00	MDT	Yes	JT	USGS	3.24	41.4				Unspecified	0.00	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	41.4	64.0	75.5	0.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	277	1978-11-02 08:25:00	MST	Yes	JT	USGS	2.68	9.11				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	9.11	40.0	22.4	0.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	278	1978-12-19 15:00:00	MST	Yes	JT	USGS		20.5				Unspecified			IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	20.5	65.0	47.8	0.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	279	1979-02-14 15:15:00	MST	Yes	JT	USGS		12.6				Unspecified			IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	12.6	30.0	38.9	0.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	280	1979-03-22 08:45:00	MST	Yes	JT	USGS		47.4				Unspecified			IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	47.4	43.0	51.8	0.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	281	1979-04-27 10:00:00	MST	Yes	JT	USGS	2.80	19.5				Unspecified	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	19.5	45.0	38.0	0.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	282	1979-06-04 15:03:00	MDT	Yes	JT	USGS	2.56	12.4				Unspecified	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	12.4	43.0	32.3	0.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	283	1979-07-16 15:15:00	MDT	Yes	RS	USGS	2.51	2.89				Unspecified	0.00	0.20	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.89	29.0	22.3	0.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	284	1979-08-27 17:10:00	MDT	Yes	RS	USGS	2.98	8.51				Unspecified	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.51	34.0	44.2	0.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	285	1979-10-12 09:00:00	MDT	Yes	RS	USGS	2.34	1.54				Unspecified	0.00	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.54	9.50	6.32	0.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	286	1979-12-03 14:54:00	MST	Yes	RS	USGS	3.09	3.91				Unspecified	0.00	0.30	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	3.91	9.00	4.26	0.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	287	1980-01-14 14:06:00	MST	Yes	RS	USGS	2.99	0.97				Unspecified	0.00	0.20	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.97	3.60	1.06	0.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	288	1980-03-22 15:24:00	MST	Yes	RS	USGS	2.32	4.42				Unspecified	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	4.42	13.0	8.36	0.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	289	1980-03-25 15:15:00	MST	Yes	RS	USGS	2.28	3.43				Unspecified	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	3.43	12.0	6.99	0.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	290	1980-05-16 16:00:00	MDT	Yes	RS	USGS	2.44	7.54				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	7.54	24.0	14.8	0.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	291	1980-07-11 15:05:00	MDT	Yes	DJ	USGS	3.96	121				Unspecified	0.01	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	121	54.0	97.4	1.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	292	1980-09-10 09:00:00	MDT	Yes	DJ	USGS	3.22	33.9				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		33.9				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	293	1980-10-31 08:40:00	MST	Yes	DJ	USGS	3.03	21.6				Unspecified	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	21.6	28.0	12.5	1.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	294	1981-01-27 14:35:00	MST	Yes	ELY	USGS		49.0				Unspecified	0.00	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	49.0	54.0	77.1	0.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	295	1981-03-25 13:55:00	MST	Yes	RL	USGS	3.20	42.0				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	42.0	34.0	22.8	1.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	296	1981-05-01 07:20:00	MDT	Yes	AWR	USGS	4.84	302				Unspecified	0.00		Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	302	58.2	149	2.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	297	1981-05-20 08:02:00	MDT	Yes	AWR	USGS	3.09	31.1				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	31.1	53.0	62.2	0.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	298	1981-07-22 10:15:00	MDT	Yes	RL	USGS	2.73	5.12				Unspecified	-0.01	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	5.12	28.0	23.4	0.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	299	1981-09-18 11:40:00	MDT	Yes	K	USGS	3.00	13.3				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	13.3	30.0	20.7	0.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	305	1982-01-03 13:10:00	MST	Yes	RGJ/TW	USGS	4.05	159				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	159	55.0	115	1.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	300	1982-05-07 11:07:00	MDT	Yes	NDJ/RJ	USGS	5.41	580				Good	0.01	1.20		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	580	60.0	193	3.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	301	1982-07-01 10:51:00	MDT	Yes	GDJ/RJ	USGS	6.65	1270				Good	0.02	1.90		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1270	65.0	296	4.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	302	1982-07-31 12:02:00	MDT	Yes	RJ	USGS	3.95	151				Good	0.01	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	151	56.0	114	1.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	303	1982-09-02 12:49:00	MDT	Yes	RGJ/KS	USGS	3.96	142				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	142	56.0	113	1.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	304	1982-10-12 16:40:00	MDT	Yes	rj	USGS	4.22	188				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	188	56.0	126	1.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	315	1983-01-04 11:55:00	MST	Yes	RS	USGS	5.37	687				Good				MEAS	1	Imported Channel 1	CRAN	unspe	unkno	687	50.0	204	3.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	316	1983-01-12 12:45:00	MST	Yes	DK	USGS	5.50	734				Fair			Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	734	50.0	198	3.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	306	1983-01-28 12:30:00	MST	Yes	RGJ/DB	USGS	4.16	181				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	181	56.0	122	1.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	307	1983-03-03 11:45:00	MST	Yes	RGJ/LBN	USGS	3.92	142				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	142	55.0	106	1.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	308	1983-04-06 15:15:00	MST	Yes	RGJ	USGS	4.73	337				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	337	57.0	156	2.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	309	1983-05-12 13:55:00	MDT	Yes	RGJ/DB	USGS	5.11	490				Good	0.00	1.50		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	490	60.0	179	2.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	310	1983-06-06 14:00:00	MDT	Yes	RGJ	USGS	6.28	1030				Unspecified	0.02			MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1030	64.0	259	3.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	311	1983-08-02 13:30:00	MDT	Yes	RGJ/DW	USGS	4.36	238				Good	-0.01	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	238	60.0	136	1.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	312	1983-09-14 14:30:00	MDT	Yes	RGJ/BDH	USGS	4.59	268				Good	0.00	1.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	268	60.0	142	1.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	313	1983-11-02 13:03:00	MST	Yes	RGJ/PF	USGS	5.70	735				Good	0.01	1.50		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	735	62.0	219	3.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	314	1983-11-17 12:55:00	MST	Yes	JB	USGS	5.88	859				Good				MEAS	1	Imported Channel 1	CWAY	unspe	unkno	859	63.0	235	3.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	317	1984-01-03 10:20:00	MST	Yes	DK	USGS		354				Fair			IceShore	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	354	44.0	137	2.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	318	1984-01-03 14:15:00	MST	Yes	RGJ/PF	USGS	6.05	344				Poor	0.20	3.00	IceShore	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	344	59.0	190	1.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	319	1984-01-17 12:30:00	MST	Yes	DL	USGS		362				Unspecified			Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	362	48.0	165	2.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	319A	1984-01-31 15:45:00	MST	Yes	RJ	USGS	4.62	290				Unspecified	0.01	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	290	60.0	146	1.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	320	1984-02-07 17:36:00	MST	Yes	DL	USGS		303				Unspecified			Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	303	72.0	111	2.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	321	1984-03-05 12:40:00	MST	Yes	DL	USGS		286				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	286	72.0	111	2.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	322	1984-03-15 15:50:00	MST	Yes	JB	USGS	4.60	341				Good				MEAS	1	Imported Channel 1	CWAY	unspe	unkno	341	60.0	150	2.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	323	1984-04-02 12:05:00	MST	Yes	DL	USGS	5.03	525				Good			Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	525	48.0	154	3.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	324	1984-05-08 15:50:00	MDT	Yes	JB	USGS	5.58	714				Good	-0.01	1.10		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	714	61.0	207	3.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	325	1984-07-10 14:30:00	MDT	Yes	DK	USGS	5.44	658				Unspecified	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	658	63.0	201	3.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	326	1984-08-15 09:50:00	MDT	Yes	OM	USGS	4.41	263				Good	-0.01	0.10		MEAS	1	Imported Channel 1	WADE	unspe	unkno	263	60.0	134	1.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	327	1984-09-27 09:25:00	MDT	Yes	OM	USGS	4.48	276				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	276	60.0	138	2.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	328	1984-11-16 09:55:00	MST	Yes	OEM	USGS	4.69	355				Good	-0.01	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	355	62.0	153	2.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	329	1984-12-19 14:15:00	MST	Yes	OEM/SJW	USGS	4.74	295				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	UNSP	other		295				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13132500	330	1985-02-19 15:28:00	MST	Yes	OEM/SJW	USGS	5.07	122				Good	-0.01	0.40	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	122	69.0	104	1.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
