#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:11:44 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06479500 BIG SIOUX R AT WATERTOWN,SD
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06479500	1	1945-10-01		Yes	XXX	USGS	3.66	1.48		-0.030		GOOD	0.00	0.66		MEAS	1	Unspecified	WADE	QUNSP		1.48	4.00	0.810	1.83	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479500	2	1945-10-28		Yes	XXX	USGS	3.62	0.820		0.00		GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		0.820	4.00	1.54	0.530	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479500	3	1945-11-16		Yes	XXX	USGS	3.64	1.78				GOOD	0.00	0.50	CICE	MEAS	1	Unspecified	ICE	QSCMM		1.78	11.0	3.04	0.580	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479500	4	1945-12-04		Yes	XXX	USGS	3.70	0.930				GOOD	0.00	1.00	CICE	MEAS	1	Unspecified	ICE	QSCMM		0.930	4.50	1.40	0.660	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479500	5	1946-03-06		Yes	XXX	USGS	5.18	1.05				FAIR	0.00	0.75	CICE	MEAS	1	Unspecified	ICE	QSCMM		1.05	9.50	3.76	0.280	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479500	6	1946-03-17		Yes	XXX	USGS	7.29	547.0		0.00		GOOD	0.00	0.75		MEAS	1	Unspecified	ICE	QSCMM		547.0		295	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479500	7	1946-03-27		Yes	XXX	USGS	6.77	395.0		0.00		GOOD	0.02	1.25		MEAS	1	Unspecified	UNSP			395.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479500	8	1946-04-19		Yes	XXX	USGS	5.44	209.0		0.320		GOOD	0.00	1.25		MEAS	1	Unspecified	WADE	QUNSP		209.0	74.0	192	1.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479500	9	1946-05-09		Yes	XXX	USGS	4.46	81.0		0.180		GOOD	0.00	1.50		MEAS	1	Unspecified	WADE	QUNSP		81.0	57.0	83.2	0.970	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479500	10	1946-05-29		Yes	XXX	USGS	4.78	99.9		0.050		GOOD	0.00	3.25		MEAS	1	Unspecified	WADE	QUNSP		99.9	45.0	75.5	1.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479500	11	1946-06-18		Yes	XXX	USGS	4.16	36.6		0.00		GOOD	0.01	0.83		MEAS	1	Unspecified	WADE	QUNSP		36.6	30.0	20.0	1.83	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479500	12	1946-07-10		Yes	XXX	USGS	5.32	159.0		0.00		GOOD	-0.04	1.33		MEAS	1	Unspecified	WADE	QUNSP		159.0	73.0	177	0.900	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479500	13	1946-07-22		Yes	XXX	USGS	4.80	93.8		0.00		GOOD	0.00	1.00		MEAS	1	Unspecified	WADE	QUNSP		93.8	41.0	52.4	1.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479500	14	1946-08-14		Yes	XXX	USGS	3.98	22.1		0.00		GOOD	0.00	0.83		MEAS	1	Unspecified	WADE	QUNSP		22.1	23.0	12.1	1.83	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479500	15	1946-09-05		Yes	XXX	USGS	3.64	1.94		-0.010		FAIR	0.00	0.67		MEAS	1	Unspecified	WADE	QUNSP		1.94	7.50	1.76	1.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479500	16	1946-10-04		Yes	XXX	USGS	3.60	1.07		0.020		FAIR	0.00	0.42		MEAS	1	Unspecified	WADE	QUNSP		1.07	6.50	1.25	0.860	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479500	17	1946-11-05		Yes	XXX	USGS	4.27	47.6		0.00		GOOD	0.00	1.08		MEAS	1	Unspecified	WADE	QUNSP		47.6	33.5	32.9	1.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479500	18	1946-12-04		Yes	XXX	USGS	4.64	35.3				GOOD	0.00	3.50	CICE	MEAS	1	Unspecified	ICE	QSCMM		35.3	32.0	27.5	1.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
