#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:11:48 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06479770 BIG SIOUX RIVER NEAR BRUCE, SD
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06479770	1	2000-09-21 08:45:00	CDT	Yes	MEF/JAP	USGS	2.80	10.4	 1.0	0.00	4.00	GOOD	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		10.4	28.5	12.9	0.810	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479770	2	2000-10-04 09:30:00	CDT	Yes	MJB	USGS	2.84	14.9	 1.0	0.00	3.70	FAIR	0.00	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		14.9	56.0	42.5	0.350	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479770	3	2000-11-15 10:45:00	CST	Yes	MJB	USGS	2.98	28.5	 1.0			POOR	0.01	0.50	CICE	MEAS	1	Unspecified	ICE	QSCMM		28.5	61.0	48.4	0.590	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479770	4	2000-12-29 14:45:00	CST	Yes	MEF/DMH	USGS	3.40	0.420	 1.0			POOR	0.00	0.42	CICE	MEAS	1	Unspecified	ICE	QSCMM		0.420	18.5	8.43	0.050	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479770	5	2001-03-09 11:15:00	CST	Yes	MEF/DMH	USGS	4.26	0.500	 1.0			POOR	0.00	0.25	CICE	MEAS	1	Unspecified	OTHR	Q-EST		0.500				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479770	6	2001-03-20 09:00:00	CST	Yes	DMH/MEF	USGS	4.94	2.50	 1.0			POOR	0.00		CICE	UNSP	1	Unspecified	OTHR	Q-EST		2.50				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479770	7	2001-04-02 17:10:00	CDT	Yes	DMH	USGS	6.94	230.0	 1.0			POOR	0.01	0.58	CICE	MEAS	1	Unspecified	CRAN	QUNSP		230.0	90.0	228	1.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479770	8	2001-04-05 15:15:00	CDT	Yes	MJB	USGS	8.92	802.0	 1.0			FAIR	0.09	1.00	CICE	MEAS	1	Unspecified	CRAN	QUNSP		802.0	93.0	500	1.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479770	9	2001-04-08 18:40:00	CDT	Yes	NED	USGS	10.42	3560	 1.0	0.00	3.20	FAIR	0.07	1.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3560	278	1470	2.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479770	10	2001-04-13 10:10:00	CDT	Yes	JLW	USGS	9.98	2690	 1.0	0.00	-0.900	GOOD	0.05	1.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2690	272	1360	1.98	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479770	11	2001-04-19 15:35:00	CDT	Yes	DMH	USGS	9.08	1940	 1.0	0.00	-1.10	GOOD	0.00	1.08	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1940	268	1070	1.81	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06479770	12	2001-05-24 16:45:00	CDT	Yes	MEF	USGS	7.18	1070	 1.0	0.00	-4.80	GOOD	0.02	0.92	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1070	104	491	2.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
