#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:11:50 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06482000 BIG SIOUX R AT SIOUX FALLS SD
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06482000	1	1943-08-05		Yes	DFT	USGS	2.65	142.0			4.40	FAIR	0.00	6.00		MEAS	1	Unspecified	UNSP			142.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06482000	2	1943-09-09		Yes	DFT	USGS	3.04	243.0			-4.00	GOOD	-0.01	1.00		MEAS	1	Unspecified	UNSP			243.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06482000	3	1943-10-06		Yes	DFT	USGS	2.36	67.8			-0.300	UNSP	0.00	1.50		MEAS	1	Unspecified	UNSP			67.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06482000	4	1943-11-05		Yes	DFT	USGS	2.70	1.43			-4.00	GOOD	-0.01	1.00		MEAS	1	Unspecified	UNSP			1.43				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06482000	5	1943-12-11		Yes	DFT	USGS	2.56	112.0				GOOD	-0.08	0.90		MEAS	1	Unspecified	UNSP			112.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06482000	6	1944-01-07		Yes	DFT	USGS	2.55	34.8				GOOD	0.00	1.50		MEAS	1	Unspecified	UNSP			34.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06482000	7	1944-02-17		Yes	DFT	USGS	2.73	56.4				FAIR	0.00	1.60		MEAS	1	Unspecified	UNSP			56.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06482000	8	1944-03-22		Yes	DFT	USGS	5.60	596.0				GOOD	-0.27	1.30		MEAS	1	Unspecified	UNSP			596.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06482000	9	1944-04-26		Yes	DFT	USGS	4.19	736.0			-3.80	GOOD	0.00	1.10		MEAS	1	Unspecified	UNSP			736.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06482000	10	1944-05-19		Yes	DFT	USGS	4.18	782.0			2.90	GOOD	0.00	2.20		MEAS	1	Unspecified	UNSP			782.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06482000	11	1944-06-06		Yes	DFT	USGS	3.68	543.0			5.00	GOOD	-0.01	0.80		MEAS	1	Unspecified	UNSP			543.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06482000	12	1944-07-06		Yes	DFT	USGS	3.12	271.0			-3.60	GOOD	0.01	0.90		MEAS	1	Unspecified	UNSP			271.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06482000	13	1944-08-05		Yes	DFT	USGS	5.16	1340			0.800	GOOD	-0.05	1.00		MEAS	1	Unspecified	UNSP			1340				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06482000	14	1944-09-05		Yes	DFT	USGS	3.19	305.0			-0.700	GOOD	0.00	1.75		MEAS	1	Unspecified	UNSP			305.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06482000	15	1944-10-04		Yes	DFT	USGS	2.77	163.0			-3.60	GOOD	0.00	0.75		MEAS	1	Unspecified	UNSP			163.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06482000	16	1944-11-11		Yes	DFT	USGS	2.78	154.0		-0.060	0.00	UNSP	0.01	1.00		MEAS	1	Unspecified	UNSP			154.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06482000	17	1944-12-07		Yes	DFT	USGS	2.57	119.0			2.60	FAIR	0.00	1.30		MEAS	1	Unspecified	UNSP			119.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06482000	18	1945-01-06		Yes	DFT	USGS	2.65	30.8				FAIR	0.00	0.30		MEAS	1	Unspecified	UNSP			30.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
