#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:11:54 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06485500 BIG SIOUX R AT AKRON,IA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06485500	1	1928-10-01		Yes	XXX	USGS	1.80	110.0		0.00		UNSP	0.00	2.50		MEAS	1	Unspecified	CRAN	QUNSP		110.0	86.0	94.0	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06485500	2	1928-10-27		Yes	XXX	USGS	2.15	231.0		0.00		UNSP	0.00	1.00		MEAS	1	Unspecified	CRAN	QUNSP		231.0	99.0	151	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06485500	3	1928-11-29		Yes	XXX	USGS	1.96	169.0		0.00		UNSP	0.00	1.00		MEAS	1	Unspecified	CRAN	QUNSP		169.0	123	139	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06485500	4	1929-01-23		Yes	XXX	USGS		45.2				UNSP	0.00	2.00	CICE	MEAS	1	Unspecified	ICE	QSCMM		45.2	74.0	61.0	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06485500	5	1929-03-13		Yes	XXX	USGS	12.54	6040		0.00		UNSP	0.15	1.67		MEAS	1	Unspecified	CRAN	QUNSP		6040	154	1650	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06485500	6	1929-03-17		Yes	XXX	USGS	16.06	10500		0.00		UNSP	-0.20	2.00		MEAS	1	Unspecified	CRAN	QUNSP		10500	170	2520	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06485500	7	1929-04-24		Yes	XXX	USGS	5.04	0.000		0.00		UNSP	0.01	3.00		UNSP																	
USGS	06485500	8	1929-06-06		Yes	XXX	USGS	5.48	1310		0.00		UNSP	-0.09	5.00		MEAS	1	Unspecified	CRAN	QUNSP		1310	160	523	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06485500	9	1929-07-16		Yes	XXX	USGS	3.72	656.0		0.00		UNSP	-0.10	2.00		MEAS	1	Unspecified	CRAN	QUNSP		656.0	163	372	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06485500	10	1929-08-20		Yes	XXX	USGS	2.10	183.0		0.00		UNSP	0.00	1.00		MEAS	1	Unspecified	CRAN	QUNSP		183.0	91.0	95.0	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06485500	11	1929-09-22		Yes	XXX	USGS	1.78	150.0		0.00		UNSP	0.00	1.00		MEAS	1	Unspecified	CRAN	QUNSP		150.0	91.0	95.0	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06485500	12	1929-10-23		Yes	XXX	USGS	2.20	254.0		0.00		UNSP	0.00	1.00		MEAS	1	Unspecified	CRAN	QUNSP		254.0	143	161	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06485500	13	1930-01-14		Yes	XXX	USGS		67.3		0.00		UNSP	0.00	3.00		MEAS	1	Unspecified	CRAN	QUNSP		67.3	90.0	146	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06485500	14	1930-02-01		Yes	XXX	USGS	2.32	74.7				UNSP	0.00	0.83	CICE	MEAS	1	Unspecified	ICE	QSCMM		74.7	76.0	138	0.590	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
