#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:12:06 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13139500 BIG WOOD RIVER AT HAILEY ID
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13139500	647	1984-08-23		Yes	FWY	USGS	1.88	397				Good	-0.01	0.90	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	397	75.0	124	3.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	649	1984-10-03		Yes	DMK	USGS	1.55	333				Unspecified	0.00		Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	333	70.0	112	2.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	648	1984-10-03		Yes	DMK	USGS	1.55	312				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	312	70.0	108	2.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	650	1984-11-08		Yes	DMK	USGS	1.40	271				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	271	70.0	105	2.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	651	1984-12-12		Yes	DMK	USGS	1.29	229				Unspecified	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	229	79.0	95.7	2.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	652	1985-01-30		Yes	DMK	USGS	1.10	178				Fair	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	178	63.0	80.5	2.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	653	1985-03-13		Yes	DMK	USGS	1.11	182				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	182	64.0	75.4	2.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	654	1985-04-25		Yes	DMK	USGS	2.29	552				Unspecified	0.03	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	552	78.0	152	3.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	655	1985-06-05		Yes	DMK	USGS	2.70	789				Unspecified	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	789	79.0	178	4.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	656	1985-07-25		Yes	RLB	USGS	1.47	269				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	269	69.0	112	2.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	657	1985-09-05		Yes	TSB/KLH	USGS	1.21	213				Good	0.00	0.70	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	213	65.0	96.4	2.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	658	1985-10-07		Yes	TSB	USGS	1.49	276				Fair	0.01	0.60	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	276	64.0	106	2.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	659	1985-11-23		Yes	TSB	USGS	1.26	130				Poor	0.01	0.50	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	130	60.0	84.2	1.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	660	1986-01-08		Yes	TSB/RLB	USGS	1.24	199				Good			IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	199	62.0	93.6	2.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	661	1986-02-19		Yes	TSB/YAH	USGS	1.25	204				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	204	65.0	97.8	2.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	662	1986-03-13		Yes	SAF/MDB	USGS	1.84	412				Good	-0.01	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	412	74.0	130	3.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	663	1986-04-07		Yes	TSB	USGS	2.78	910				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	910	79.0	197	4.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	664	1986-05-08		Yes	TSB	USGS	3.52	1350				Good	-0.01	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1350	92.0	264	5.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	665	1986-06-02		Yes	TSB/RLB	USGS	6.04	4390				Good	0.18	1.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	4390	83.0	447	9.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	666	1986-06-05		Yes	TSB	USGS	5.84	4160				Good	0.14	1.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	4160	83.0	444	9.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	667	1986-06-11		Yes	TSB	USGS	4.39	2250				Good	-0.02	1.20	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2250	79.0	318	7.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	668	1986-07-23		Yes	TSB	USGS	1.94	561				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	561	68.0	151	3.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	669	1986-09-11		Yes	MDC/TSB	USGS	1.30	296				Good				MEAS	1	Imported Channel 1	WADE	unspe	unkno	296	66.0	112	2.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	670	1986-10-06		Yes	TSB	USGS	1.36	294				Fair	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	294	63.0	115	2.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	671	1986-11-12		Yes	TSB	USGS	1.20	237				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	237	64.0	107	2.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	672	1986-12-15		Yes	TSB	USGS	1.03	171				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	171	63.0	90.4	1.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	673	1987-01-26		Yes	TSB	USGS	0.99	153				Good	0.00	0.40	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	153	64.0	88.2	1.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	674	1987-03-02		Yes	TSB	USGS	0.95	165				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	165	64.0	88.6	1.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	675	1987-04-07		Yes	MDC	USGS	1.45	316				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	316	63.0	117	2.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	676	1987-05-14		Yes	TSB	USGS	2.29	762				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	762	69.0	177	4.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	677	1987-05-20		Yes	TSB	USGS	2.55	860				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	860	70.0	181	4.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	678	1987-07-01		Yes	TSB	USGS	1.54	380				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	380	66.0	127	2.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	679	1987-08-19 13:00:00	MDT	Yes	MDC	USGS	0.82	158				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	158	61.0	76.2	2.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139500	680	1987-09-03 09:35:00	MDT	Yes	TSB	USGS	0.75	133				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	133	63.0	81.3	1.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
