#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:12:07 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13139510 BIG WOOD RIVER AT HAILEY ID TOTAL FLOW
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13139510	853	2005-05-18 09:20:00	MDT	Yes	PSE/RWE	USGS	4.12	1760				Good	0.03	1.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1760	79.0	278	6.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	854	2005-05-20 10:15:00	MDT	Yes	RER/RWE	USGS	5.64	3640				Good	-0.08	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3640	86.0	436	8.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	860	2006-04-25 11:58:00	MDT	Yes	PSE	USGS	3.65	1360				Good	-0.02	1.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1360	76.0	739	5.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	861	2006-05-17 09:45:00	MDT	Yes	PSE/RWE	USGS	6.29	4560				Good	0.05	1.40	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4560	86.0	484	9.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	863	2006-09-15 09:24:00	MDT	Yes	PSE	USGS	1.55	233				Fair	-0.02	0.60	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	233	63.0	109	2.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	864	2006-10-23 18:00:00	MDT	Yes	RER	USGS	1.59	258				Good	-0.01	0.70	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	258	78.0	108	2.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	865	2007-01-04 14:56:00	MST	Yes	PSE	USGS	1.40	199				Good	0.02	0.70	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	199	76.0	84.0	2.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	866	2007-04-11 09:38:00	MDT	Yes	PSE	USGS	1.98	409				Good	-0.01	1.20	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	409	79.0	126	3.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	867	2007-05-03 09:15:00	MDT	Yes	RWE/PSE	USGS	2.68	729				Fair	0.08	1.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	729	71.0	184	3.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	868	2007-05-03 10:17:00	MDT	Yes	RER/RWE	USGS	2.66	772				Good	0.08	1.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	772	71.0	179	4.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	869	2007-05-15 10:00:00	MDT	Yes	PSE	USGS	2.90	917				Good	0.02	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	917	73.0	201	4.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	870	2007-07-10 14:51:00	MDT	Yes	RER	USGS	1.30	177				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	177	75.0	88.9	1.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	871	2007-08-21 14:30:00	MDT	Yes	RER	USGS	0.99	91.8				Good	0.01	0.80	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	91.8	70.0	63.0	1.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	872	2007-10-16 10:22:00	MDT	Yes	RER	USGS	1.13	137				Good	-0.01	0.90	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	137	72.0	75.5	1.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	873	2007-12-05 08:01:00	MST	Yes	PSE	USGS	1.20	151				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	151	75.0	74.5	2.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	874	2008-01-31 12:45:00	MST	Yes	PSE	USGS	1.17	130				Good	-0.01	0.80	IceShore	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	130	74.0	67.5	1.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	875	2008-05-21 08:30:00	MDT	Yes	PSE/RWE	USGS	4.58	2210				Fair	0.11	1.50	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2210	78.0	320	6.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	876	2008-06-06 16:22:00	MDT	Yes	PSE	USGS	3.03	970				Good	0.05	1.90	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	970	73.0	206	4.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	877	2008-07-22 16:16:00	MDT	Yes	PSE/PAS	USGS	1.79	335				Good	-0.01	1.30	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	335	84.0	123	2.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	878	2008-09-10 09:18:00	MDT	Yes	PAS	USGS	1.11	120				Good	0.01	0.80	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	120	72.0	75.0	1.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13139510	879	2008-10-14 17:48:00	MDT	Yes	PAS	USGS	1.31	161				Good	0.00	0.60	DebrisLight	UNSP	1	Imported Channel 1	WADE	QSCMM	VADV	161	74.0	86.0	1.87	FIRM	BLDR	UNEV	unkn	EVEN	UNSP	DNST	100.00
