#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:12:09 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13141000 BIG WOOD RIVER NR BELLEVUE, ID
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13141000	645	1984-08-24		Yes	DMK/FY	USGS	4.49	212				Good	0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	212	54.0	62.4	3.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13141000	646	1984-10-04		Yes	DMK	USGS	4.21	140				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	140	45.0	50.5	2.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13141000	647	1984-11-08		Yes	DMK	USGS	4.50	202				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	202	53.0	77.1	2.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13141000	648	1984-12-13		Yes	DMK	USGS	3.89	89.9				Good	0.01	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	89.9	44.0	40.7	2.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13141000	649	1985-01-31		Yes	DMK	USGS	3.93	69.4				Fair	0.05	0.60	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	69.4	40.0	42.2	1.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13141000	650	1985-03-13		Yes	DMK	USGS	4.24	140				Good	0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	140	46.0	52.2	2.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13141000	651	1985-04-26		Yes	DMK	USGS	5.38	506				Poor	0.01	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	506	100	855	0.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13141000	652	1985-06-06		Yes	DMK	USGS	5.03	441				Poor	0.00	1.00	DebrisModerate	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	441	101	767	0.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13141000	653	1985-07-23		Yes	RLB	USGS	3.72	91.8				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	91.8	38.0	43.4	2.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13141000	654	1985-09-05		Yes	TSB/KLH	USGS	3.66	83.0				Good	0.01	0.70	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	83.0	40.0	40.6	2.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13141000	655	1985-09-11		Yes	TSB	USGS	5.03	406				Fair	0.02	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	406	98.0	189	2.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13141000	656	1985-10-07		Yes	TSB	USGS	4.12	155				Good	0.02	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	155	44.0	53.3	2.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
