#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:12:18 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06279500 BIGHORN RIVER AT KANE, WY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06279500	8	1944-06-13		Yes	HPE	USGS	8.88	18300				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		18300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06279500	45	1947-06-24		Yes	Robinson	USGS	10.01	19900				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		19900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06279500	605	1967-06-24		Yes	Lynch	USGS	10.83	24300				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		24300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06279500	607	1967-06-30		Yes	Lynch	USGS	9.35	20000				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		20000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06279500	778	1978-05-20		Yes	Muench	USGS	9.84	20500				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		20500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06279500	834	1983-09-08		Yes	MLS	USGS	2.50	2060				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2060	264	782	2.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06279500	835	1983-10-05		Yes	MLS	USGS	3.04	2950				Good	0.05	1.10	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2950	268	938	3.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06279500	836	1983-11-15		Yes	MLS	USGS	3.05	3050				Good	0.01	1.20	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3050	269	939	3.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06279500	837	1984-01-11		Yes	MLS/GAL	USGS	4.59	1830				Fair	0.00	1.80	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	1830	266	887	2.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06279500	838	1984-02-16		Yes	MLS/GAL	USGS	3.25	1810				Good	-0.02	1.20	IceShore	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1810	259	970	1.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06279500	839	1984-03-29		Yes	GAL/MLS	USGS	2.56	2090				Unspecified	0.00	1.10	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2090	262	779	2.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06279500	840	1984-05-14		Yes	MLS	USGS	3.32	3280				Good	0.00	1.20	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3280	272	986	3.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06279500	841	1984-05-18		Yes	MLS	USGS	4.78	6970				Good	0.00	1.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	6970	272	1430	4.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06279500	842	1984-06-20		Yes	MLS	USGS	4.51	6360				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	6360	266	1370	4.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06279500	843	1984-08-16		Yes	GAL/MLS	USGS	2.10	1500				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1500	265	670	2.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06279500	844	1984-08-31		Yes	MLS	USGS	2.22	1590				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1590	264	691	2.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06279500	845	1984-10-11		Yes	GAL/MLS	USGS	2.96	2800				Good	0.00	1.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2800	270	892	3.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
