#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:12:19 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06287000 Bighorn River near St. Xavier, MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06287000	452	1967-06-27		Yes	CHC/NDH	USGS	65.39	14900				Good	0.00	1.00		MEAS	1	Imported Channel 1	UNSP	other		14900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	453	1967-06-28		Yes	NDH	USGS	66.23	18900				Good	-0.02	1.80		MEAS	1	Imported Channel 1	UNSP	other		18900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	454	1967-06-28		Yes	NDH	USGS	66.22	18600				Good	0.01	1.50		MEAS	1	Imported Channel 1	UNSP	other		18600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	455	1967-06-30		Yes	NDH	USGS	66.55	19600				Good	-0.01	1.50		MEAS	1	Imported Channel 1	UNSP	other		19600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	456	1967-07-05		Yes	TLS	USGS	67.96	24500				Poor	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	other		24500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	457	1967-07-06		Yes	TLS	USGS	67.89	23600				Good	-0.23	1.40		MEAS	1	Imported Channel 1	UNSP	other		23600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	458	1967-07-08		Yes	CHC	USGS	67.95	24100				Good	0.00	1.50		MEAS	1	Imported Channel 1	UNSP	other		24100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	459	1967-07-17		Yes	DEG	USGS	66.38	18500				Good	0.00	1.70		MEAS	1	Imported Channel 1	UNSP	other		18500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	460	1967-07-24		Yes	TLS	USGS	65.73	16100				Good	-0.03	1.50		MEAS	1	Imported Channel 1	UNSP	other		16100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	484	1968-06-12		Yes	CHC	USGS	64.03	10700				Good	-0.01	1.30		MEAS	1	Imported Channel 1	UNSP	other		10700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	512	1970-07-01		Yes	WJP	USGS	64.68	13000				Good	0.03	1.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		13000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	570	1974-10-01		Yes	WJP/E.D	USGS	60.23	2680				Fair	0.01	2.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2680	189	963	2.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	571	1974-11-01		Yes	CJF/RDF	USGS	57.57	409				Good	-0.01	0.70		MEAS	1	Imported Channel 1	WADE	unspe	unkno	409	155	268	1.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	572	1974-11-06		Yes	WJP	USGS	61.24	4100				Good	0.01	1.10		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	4100	207	1170	3.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	573	1974-12-03		Yes	WRT	USGS	61.03	3870				Fair	-0.01	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3870	204	1120	3.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	574	1975-01-09		Yes	WJP	USGS	61.02	3790				Good	0.00	0.70		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3790	198	1150	3.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	575	1975-02-05		Yes	BMB/MKW	USGS	61.04	4090				Unspecified	0.00	1.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	4090	204	1200	3.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	576	1975-03-11		Yes	WRT	USGS	60.64	3210				Unspecified	0.00	1.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3210	200	1050	3.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	577	1975-04-11		Yes	MKW/M.Y	USGS	60.45	3020				Good	-0.02	0.80		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3020	196	1020	2.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	578	1975-05-14		Yes	BMB	USGS	61.26	4360				Fair	0.05	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	4360	210	1190	3.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	579	1975-06-03		Yes	MKW	USGS	62.37	6570				Good	0.00	1.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	6570	226	1450	4.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	580	1975-07-01		Yes	MKW	USGS	62.89	7640				Fair	0.03	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	7640	232	2230	3.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	581	1975-08-05		Yes	MKW	USGS	62.23	5980				Fair	0.02	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	5980	221	1390	4.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	582	1975-09-09		Yes	MKW	USGS	60.64	3380				Fair	0.02	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3380	199	1060	3.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	583	1975-10-14		Yes	M.Y	USGS	60.54	3000				Good	0.00	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3000	196	1050	2.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	584	1975-10-31		Yes	M.Y	USGS	57.52	376				Good	0.21	1.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	376	180	364	1.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	585	1975-11-13		Yes	M.Y	USGS	61.34	4560				Fair	0.00	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	4560	208	1200	3.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	586	1975-12-18		Yes	M.Y/L.K	USGS	61.29	4440				Good	0.04	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	4440	208	1190	3.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	587	1976-01-13		Yes	M.Y	USGS	61.08	4080				Good	0.00	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	4080	205	1150	3.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	588	1976-02-12		Yes	M.Y	USGS	61.29	4380				Fair	0.02	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	4380	207	1200	3.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	589	1976-03-18		Yes	M.Y	USGS	61.59	4850				Fair	0.00	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	4850	212	1260	3.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	590	1976-04-06		Yes	MKW/T.I	USGS	59.10	1440				Good	0.05	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1440	172	756	1.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	591	1976-05-03		Yes	DEG/MKW	USGS	61.93	5340				Good	0.01	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	5340	219	1290	4.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	592	1976-06-10		Yes	TIF/DEG	USGS	62.06	5420				Fair	-0.01	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	5420	220	1360	3.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	593	1976-06-28		Yes	DEG	USGS	62.14	5510				Good	0.01	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	5510	218	1400	3.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	594	1976-08-05		Yes	WRT/DEG	USGS	59.84	2330				Good	-0.01	1.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2330	182	866	2.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	596	1976-09-10		Yes	T.M	USGS	59.96	2280				Fair	0.00	1.70	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2280	180	902	2.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06287000	597	1976-10-05		Yes	T.M	USGS	60.09	2500				Fair	0.00	1.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2500	184	972	2.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
