#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:13:02 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04130500 BLACK RIVER NEAR TOWER, MI
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04130500	149	1959-04-18		Yes	RWL/JCF	USGS	5.92	1520	 7.0	0.00	2.00	GOOD	-0.16	0.60		MEAS	1	Unspecified	CRAN	QUNSP		1520	59.0	209	7.27	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04130500	356	1976-03-30		Yes	NLH	USGS	5.58	1530	13.0	0.00	6.20	GOOD	0.00	1.00		MEAS	1	Unspecified	CRAN	QUNSP		1530	60.0	215	7.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04130500	448	1985-09-10		Yes	RGN	USGS	3.54	485.0	13.0	0.00	-4.70	GOOD	0.00	0.70	CLER	MEAS	1	Unspecified	CWAY	QUNSP		485.0	54.0	109	4.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04130500	449	1985-10-15		Yes	RGN	USGS	3.53	483.0	13.0	0.00	-4.50	GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	CWAY	QUNSP		483.0	55.0	110	4.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04130500	450	1985-12-31		Yes	DAJ/RGN	USGS	2.79	250.0	13.0	-0.070	-6.70	GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		250.0	55.0	85.3	2.93	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04130500	451	1986-02-12		Yes	RGN/DAJ	USGS	2.40	170.0	13.0	0.00	-1.70	GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		170.0	53.0	68.4	2.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04130500	452	1986-04-01		Yes	RGN/JCF	USGS	5.32	1300	13.0	0.00	-0.800	GOOD	0.00	0.70	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1300	59.0	196	6.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04130500	453	1986-05-12		Yes	RGN	USGS	2.77	261.0	13.0	0.00	-0.400	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		261.0	56.0	86.6	3.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04130500	454	1986-06-30		Yes	RGN/DAJ	USGS	2.70	233.0	13.0	0.00	-4.90	GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		233.0	54.0	87.4	2.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04130500	455	1986-08-03		Yes	RGN	USGS	2.77	255.0	13.0	0.00	-2.70	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		255.0	56.0	85.7	2.98	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04130500	456	1986-09-23		Yes	RGN	USGS	3.68	562.0	13.0	0.00	0.00	EXCL	0.00	0.60	CLER	MEAS	1	Unspecified	CWAY	QUNSP		562.0	55.0	114	4.93	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04130500	457	1986-10-29		Yes	RGN/JCF	USGS	2.80	276.0	13.0	0.00	2.20	GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		276.0	56.0	89.2	3.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04130500	458	1986-12-10		Yes	JCF/RGN	USGS	1.64	48.2	13.0	0.00	0.400	GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		48.2	38.0	59.2	0.810	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04130500	459	1987-01-21		Yes	RGN/RJM	USGS	2.50	189.0	13.0	0.00	-3.60	GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		189.0	54.0	77.3	2.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04130500	460	1987-03-04		Yes	JCF/RGN	USGS	2.80	280.0	13.0	0.00	3.70	GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		280.0	56.0	88.7	3.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04130500	461	1987-04-16		Yes	DAJ	USGS	2.82	262.0	13.0	-0.050	-4.70	GOOD	0.00	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		262.0	55.0	86.0	3.05	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04130500	462	1987-05-28		Yes	DAJ/RJM	USGS	2.48	173.0	13.0	-0.080	-9.40	FAIR	0.00	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		173.0	52.0	74.6	2.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04130500	463	1987-07-06		Yes	RGN	USGS	2.25	138.0	13.0	0.00	-2.10	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		138.0	47.0	66.0	2.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
