#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:13:01 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04252500 BLACK RIVER NEAR BOONVILLE NY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04252500	1	1911-02-16		Yes	X	USGS	4.99	307				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	307				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	2	1911-04-22		Yes	X	USGS	7.60	2410				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2410				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	3	1911-06-30		Yes	X	USGS	3.75	107				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	107				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	4	1911-08-20		Yes	X	USGS	4.30	59.1				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	59.1				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	5	1911-09-13		Yes	X	USGS	4.55	268				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	268				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	6	1911-09-13		Yes	X	USGS	4.50	244				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	244				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	7	1911-11-23		Yes	X	USGS	5.97	949				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	949				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	8	1911-11-23		Yes	X	USGS	6.00	924				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	924				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	9	1911-12-13		Yes	X	USGS	8.43	3850				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3850				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	10	1912-02-03		Yes	X	USGS	5.66	354				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	354				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	11	1912-02-15		Yes	X	USGS	5.03	255				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	255				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	13	1912-04-15		Yes	X	USGS	8.93	4060				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4060				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	12	1912-04-15		Yes	X	USGS	8.67	3560				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3560				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	14	1912-04-22		Yes	X	USGS	8.00	2750				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2750				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	15	1912-05-21		Yes	X	USGS	7.15	1970				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1970				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	16	1912-07-26		Yes	X	USGS	3.32	55.1				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	55.1				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	17	1912-07-28		Yes	X	USGS	3.27	46.2				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	46.2				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	18	1912-10-27		Yes	X	USGS	5.35	544				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	544				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	19	1913-03-12		Yes	X	USGS	5.44	636				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	636				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	20	1913-03-13		Yes	X	USGS	5.65	622				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	622				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	21	1913-04-15		Yes	X	USGS	6.10	999				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	999				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	22	1913-07-29		Yes	X	USGS	3.47	70.5				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	70.5				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	23	1913-08-05		Yes	X	USGS	3.21	40.6				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	40.6				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	24	1913-08-19		Yes	X	USGS	3.11	33.0				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	33.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	25	1914-01-12		Yes	X	USGS	5.00	235				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	235	111	270	0.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	26	1914-01-21		Yes	X	USGS	4.92	248				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	248	91.0	192	1.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	27	1914-01-22		Yes	X	USGS	4.97	240				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	240	89.0	195	1.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	28	1914-02-20		Yes	X	USGS	4.92	212				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	212	115			UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	29	1914-03-25		Yes	X	USGS	4.55	213				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	213	116	144	1.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	30	1914-06-20		Yes	X	USGS	3.55	77.0				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	77.0	83.0	174	0.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	31	1914-08-31		Yes	X	USGS	6.11	952				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	952	114	380	2.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	32	1914-10-22		Yes	X	USGS	3.55	69.0				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	69.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	33	1914-10-22		Yes	X	USGS	3.55	71.3				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	71.3				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	34	1915-03-17		Yes	X	USGS	4.83	348				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	348				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	35	1915-06-14		Yes	X	USGS	3.32	50.9				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	50.9				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	36	1915-12-29		Yes	X	USGS	5.19	441				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	441	109	301	1.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	37	1916-01-08		Yes	X	USGS	6.42	850				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	850	156	407	2.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	38	1916-01-20		Yes	X	USGS	5.77	466				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	466	134	278	1.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	39	1916-02-02		Yes	X	USGS	6.98	1750				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1750	158	499	3.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	40	1916-02-10		Yes	X	USGS	5.58	660				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	660	110	348	1.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	41	1916-02-17		Yes	X	USGS	5.57	527				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	527	112	365	1.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	42	1916-02-23		Yes	X	USGS	5.45	388				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	388	112	321	1.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	43	1916-03-04		Yes	X	USGS	5.64	561				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	561	107	326	1.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	44	1916-03-16		Yes	X	USGS	5.22	412				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	412	112	287	1.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	45	1916-03-27		Yes	X	USGS	5.18	484				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	484	109	279	1.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	46	1916-05-08		Yes	X	USGS	5.77	810				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	810	112	355	2.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	47	1916-05-27		Yes	X	USGS	5.52	685				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	685	111	345	1.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	48	1916-07-26		Yes	X	USGS	3.54	72.5				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	72.5	107	192	0.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04252500	49	1917-01-11		Yes	X	USGS	5.37	344				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	344	111	325	1.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
