#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:13:00 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04296000 BLACK RIVER AT COVENTRY, VT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04296000	15	1953-03-25		Yes	WBG	USGS	6.03	1720				Unspecified				UNSP	1	Imported Channel 1	UNSP	QSCMM	VADCP	1720	61.0	357	4.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04296000	106	1961-04-23		Yes	MNL	USGS	5.32	1140				Unspecified				UNSP	1	Imported Channel 1	UNSP	QSCMM	VADCP	1140	61.0	305	3.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04296000	138	1964-04-19		Yes	LFC	USGS	4.58	227				Unspecified				UNSP	1	Imported Channel 1	UNSP	QSCMM	VADCP	227	68.0	78.0	2.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04296000	160	1966-04-14		Yes	WJM	USGS	4.06	524				Unspecified				UNSP	1	Imported Channel 1	UNSP	QSCMM	VADCP	524	74.0	172	3.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04296000	170	1967-04-06		Yes	WDJ	USGS	4.46	630				Unspecified				UNSP	1	Imported Channel 1	UNSP	QSCMM	VADCP	630	61.0	231	2.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04296000	190	1969-04-12		Yes	CAR	USGS	5.82	1480				Unspecified				UNSP	1	Imported Channel 1	UNSP	QSCMM	VADCP	1480	60.0	326	4.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04296000	196	1970-04-15		Yes	JWC	USGS	5.10	968				Unspecified				UNSP	1	Imported Channel 1	UNSP	QSCMM	VADCP	968	62.0	289	3.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04296000	204	1971-04-29		Yes	FPD	USGS	5.34	1100				Unspecified				UNSP	1	Imported Channel 1	UNSP	QSCMM	VADCP	1100	60.0	291	3.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04296000	214	1972-05-04		Yes	MFC	USGS	6.73	2250				Unspecified				UNSP	1	Imported Channel 1	UNSP	QSCMM	VADCP	2250	58.0	395	5.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
