#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:13:08 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07061500 Black River near Annapolis, MO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07061500	1	1939-03-23		Yes	C	USGS	3.46	465				Unspecified	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	other		465				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07061500	2	1939-03-30		Yes	C	USGS	3.16	349				Unspecified	0.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		349				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07061500	3	1939-04-12		Yes	C	USGS	3.93	689				Unspecified	0.00	1.10		MEAS	1	Imported Channel 1	UNSP	other		689				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07061500	4	1939-04-17		Yes	C	USGS	17.06	31200				Unspecified	-0.58	2.10		MEAS	1	Imported Channel 1	UNSP	other		31200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07061500	5	1939-04-18		Yes	C	USGS	6.87	4230				Unspecified	-0.02	1.10		MEAS	1	Imported Channel 1	UNSP	other		4230				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07061500	6	1939-05-19		Yes	P	USGS	3.33	416				Unspecified	0.00	0.40		MEAS	1	Imported Channel 1	UNSP	other		416				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07061500	7	1939-05-24		Yes	P	USGS	3.07	293				Unspecified	0.00	0.70		MEAS	1	Imported Channel 1	UNSP	other		293				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07061500	8	1939-06-01		Yes	P	USGS	3.20	335				Unspecified	0.00	1.00		MEAS	1	Imported Channel 1	UNSP	other		335				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07061500	9	1939-06-29		Yes	P	USGS	3.52	462				Unspecified	0.00	0.70		MEAS	1	Imported Channel 1	UNSP	other		462				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07061500	10	1939-07-13		Yes	P	USGS	2.57	176				Unspecified	0.00	0.40		MEAS	1	Imported Channel 1	UNSP	other		176				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07061500	11	1939-07-27		Yes	P	USGS	2.43	138				Unspecified	0.00	0.70		MEAS	1	Imported Channel 1	UNSP	other		138				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07061500	12	1939-08-15		Yes	P	USGS	3.06	321				Unspecified	0.00	1.00		MEAS	1	Imported Channel 1	UNSP	other		321				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07061500	13	1939-09-13		Yes	P	USGS	2.24	112				Unspecified	0.00	1.50		MEAS	1	Imported Channel 1	UNSP	other		112				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07061500	14	1939-10-26		Yes	S	USGS	2.48	124				Good	0.00	1.20		MEAS	1	Imported Channel 1	UNSP	other		124				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07061500	15	1939-12-02		Yes	CHJ	USGS	2.76	190				Good	0.00	1.20		MEAS	1	Imported Channel 1	WADE	unspe	unkno	190	77.0	104	1.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07061500	17	1940-01-19		Yes	CHJ	USGS	3.38	355				Fair	0.07	1.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	355	108	227	1.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
