#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:13:32 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13068300 BLACKFOOT RIVER BELOW NORTH CANAL AT BLACKFOOT ID
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13068300	1	2010-11-15 12:41:48	MST	Yes	JEB/BVK	USGS	2.92	116				Good	0.00	0.20	DebrisLight	MEAS	1	main	MBOT	QADCP	VADCP	116	32.7	77.4	1.50	SOFT	silt	EVEN	unkn	EVEN	UNFM	UPST	20.00
USGS	13068300	2	2010-12-02 14:37:30	MST	Yes	BVK/RER	USGS	2.83	90.9				Good	-0.01	1.10	Clear	MEAS	1	main	WADE	QSCMM	VADV	90.9	32.0	75.6	1.20	FIRM	GRVL	EVEN	unkn	EVEN	UNFM	ATGA	
USGS	13068300	3	2011-01-13 16:24:45	MST	Yes	BVK/JEB	USGS	3.19	109				Fair	-0.10	0.60	IceShore	MEAS	1	main	WADE	QADCP	VADCP	109	41.3	54.3	2.01	SOFT	GRVL	UNEV	unkn	EVEN	STND	UPST	400.00
USGS	13068300	4	2011-02-25 10:16:30	MST	Yes	BVK	USGS	2.66	96.7				Good	0.01	0.90	DebrisLight	MEAS	1	main	WADE	QSCMM	VADV	96.7	33.0	68.9	1.40	FIRM	GRVL	EVEN	unkn	EVEN	STND	ATGA	
USGS	13068300	5	2011-04-12 16:12:38	MDT	Yes	BVK/JEB	USGS	2.82	145				Good	0.00	0.40	Clear	MEAS	1	main	WADE	QADCP	VADCP	145	31.8	79.0	1.83	FIRM	GRVL	EVEN	unkn	EVEN	STND	UPST	20.00
USGS	13068300	6	2011-05-02 09:19:07	MDT	Yes	BVK/DGC	USGS	3.97	329				Fair	0.01	0.40	Clear	OTHR	1	main	MBOT	QADCP	VADCP	322	52.8	167	1.94	SOFT	GRVL	EVEN	unkn	EVEN	NSTD	DNST	30.00
USGS	13068300	7	2011-05-04 09:48:31	MDT	Yes	BVK/JEB	USGS	3.23	204				Fair	0.01	0.40	Clear	OTHR	1	Main	MBOT	QADCP	VADCP	199	42.7	107	1.92	SOFT	GRVL	UNEV	unkn	UNEV	NSTD	UPST	60.00
USGS	13068300	8	2011-05-17 11:45:00	MDT	Yes	BVK/LAA	USGS	6.22	751				Good	0.00	0.30	Clear	MEAS	1	main	MBOT	QADCP	VADCP	751	50.2	190	3.96	SOFT	GRVL	EVEN	unkn	EVEN	STND	UPST	100.00
USGS	13068300	9	2011-06-22 13:36:30	MDT	Yes	BVK/LAA	USGS	5.55	671				Good	0.00	0.30	Clear	MEAS	1	main	MBOT	QADCP	VADCP	671	48.7	185	3.62	FIRM	GRVL	EVEN	unkn	EVEN	STND	UPST	150.00
USGS	13068300	10	2011-07-22 10:17:00	MDT	Yes	BVK	USGS	2.46	74.8				Good	0.00	1.00	Clear	MEAS	1	main	WADE	QSCMM	VADV	74.8	37.0	86.2	0.87	FIRM	SAND	UNEV	unkn	EVEN	STND	ATGA	
USGS	13068300	11	2011-08-08 12:22:00	MDT	Yes	BVK/RER	USGS	4.14	421				Good	0.03	0.30	Clear	MEAS	1	main	MBOT	QADCP	VADCP	421	46.9	137	3.07	FIRM	GRVL	EVEN	unkn	EVEN	STND	UPST	100.00
USGS	13068300	12	2011-09-01 10:34:30	MDT	Yes	BVK	USGS	2.70	109				Good	0.01	0.90	Clear	MEAS	1	main	WADE	QSCMM	VADV	109	37.0	89.8	1.21	SOFT	SAND	EVEN	unkn	EVEN	STND	UPST	5.00
USGS	13068300	13	2011-09-13 12:14:30	MDT	Yes	BVK/RER	USGS	4.10	379				Good	0.00	0.20	Clear	MEAS	1	main	MBOT	QADCP	VADCP	379	47.0	130	2.92	FIRM	GRVL	EVEN	unkn	EVEN	STND	UPST	75.00
USGS	13068300	14	2011-10-12 09:08:30	MDT	Yes	BVK/RER	USGS	4.50	457				Good	0.00	0.30	Clear	MEAS	1	main	MBOT	QADCP	VADCP	457	47.2	148	3.08	FIRM	SAND	EVEN	unkn	EVEN	STND	UPST	60.00
USGS	13068300	15	2011-11-30 14:30:39	MST	Yes	JEB/BVK	USGS	3.16	199				Good	-0.01	0.30	Clear	MEAS	1	Main	CWAY	QADCP	VADCP	199	40.6	54.3	3.66	FIRM	GRVL	EVEN	unkn	EVEN	STND	DNST	150.00
USGS	13068300	16	2012-01-10 14:46:49	MST	Yes	JEB	USGS	2.98	163				Good	-0.02	0.30	DebrisLight	MEAS	1	Main	CWAY	QADCP	VADCP	163	42.8	44.8	3.63	FIRM	GRVL	EVEN	unkn	EVEN	STND	DNST	150.00
USGS	13068300	17	2012-03-01 13:52:37	MST	Yes	JEB	USGS	3.52	287				Fair	0.00	0.20	IceShore	MEAS	1	Main.	CWAY	QADCP	VADCP	287	41.7	82.1	3.49	FIRM	GRVL	EVEN	unkn	EVEN	STND	DNST	150.00
USGS	13068300	18	2012-04-03 14:37:28	MDT	Yes	JEB/SGL	USGS	3.86	353				Good	-0.02	0.20	DebrisLight	MEAS	1	Main.	CWAY	QADCP	VADCP	353	41.2	87.9	4.02	FIRM	GRVL	EVEN	unkn	EVEN	STND	DNST	200.00
USGS	13068300	19	2012-04-03 15:39:20	MDT	Yes	JEB/SGL	USGS	3.86	346				Good	0.01	0.20	DebrisLight	MEAS	1	Main.	CWAY	QADCP	VADCP	346	41.4	85.8	4.03	FIRM	GRVL	EVEN	unkn	EVEN	STND	DNST	200.00
USGS	13068300	20	2012-05-15 16:42:14	MDT	Yes	JEB/NDJ	USGS	2.46	77.9				Good	0.00	0.30	Clear	MEAS	1	Main.	CWAY	QADCP	VADCP	77.9	36.8	66.8	1.17	FIRM	GRVL	EVEN	unkn	EVEN	NSTD	DNST	150.00
USGS	13068300	21	2012-06-28 10:57:22	MDT	Yes	JEB/NDJ	USGS	2.44	74.1				Good	-0.01	0.30	DebrisLight	MEAS	1	Main.	CWAY	QADCP	VADCP	74.1	37.7	51.7	1.44	SOFT	GRVL	EVEN	unkn	EVEN	NSTD	DNST	150.00
USGS	13068300	22	2012-08-08 16:49:00	MDT	Yes	JEB	USGS	2.37	63.6				Good	0.00	0.50	DebrisLight	MEAS	1	Main	WADE	QSCMM	VADV	63.6	41.0	33.3	1.91	FIRM	GRVL	EVEN	unkn	EVEN	STND	DNST	160.00
USGS	13068300	23	2012-09-19 13:48:43	MDT	Yes	JEB/BVK	USGS	2.92	153				Good	0.07	0.30	Clear	MEAS	1	Main.	CWAY	QADCP	VADCP	153	34.7	97.3	1.57	FIRM	GRVL	EVEN	unkn	EVEN	STND	UPST	20.00
USGS	13068300	24	2012-11-01 12:39:03	MDT	Yes	JEB/BVK	USGS	3.10	190				Good	0.01	0.30	DebrisLight	MEAS	1	Main.	CWAY	QADCP	VADCP	190	35.7	88.6	2.14	FIRM	GRVL	EVEN	unkn	EVEN	NSTD	DNST	150.00
