#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:13:38 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01110500 BLACKSTONE RIVER AT NORTHBRIDGE, MA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01110500	1D	1936-03-19		Yes	.	USGS	13.70	7510				Unspecified				UNSP	1	Imported Channel 1	OTHR	other		7510				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	236	1954-09-12		Yes	.	USGS	9.88	3270				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3270				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	249S	1955-08-20		Yes	.	USGS	16.74	21000				Unspecified				UNSP	1	Imported Channel 1	OTHR	other		21000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	250	1955-08-31		Yes	.	USGS	10.79	3760				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3760				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	255	1955-10-16		Yes	.	USGS	9.22	2780				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		2780				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	402	1968-03-19		Yes	.	USGS	9.89	3950				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3950				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	509	1979-01-26		Yes	.	USGS	9.10	3380				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3380				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	549	1985-07-25		Yes	.	USGS		79.7				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	79.7			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	550	1985-10-21		Yes	?	USGS		139				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	139			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	551	1985-11-20		Yes	?	USGS		429				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	429			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	552	1986-01-17		Yes	?	USGS		195				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	195			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	553	1986-01-27		Yes	?	USGS		2250				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	2250			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	554	1986-01-28		Yes	?	USGS		1170				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	1170			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	555	1986-02-13		Yes	?	USGS		208				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	208			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	556	1986-03-06		Yes	?	USGS		270				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	270			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	557	1986-04-09		Yes	?	USGS		283				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	283			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	558	1986-04-17		Yes	?	USGS		214				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	214			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	559	1986-05-21		Yes	?	USGS		213				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	213			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	560	1986-06-18		Yes	?	USGS		370				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	370			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	561	1986-07-09		Yes	?	USGS		170				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	170			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	562	1986-07-25		Yes	?	USGS		159				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	159			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	563	1987-04-02		Yes	TJC	USGS	6.07	1520				Fair	-0.09	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1520	85.0	670	2.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	564	1987-04-06		Yes	TJC	USGS	8.54	3220				Fair	-0.08	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3220	85.0	896	3.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	565	1987-05-26		Yes	?	USGS		232				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	232			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	566	1987-07-06		Yes	?	USGS		192				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	192			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	567	1987-07-17		Yes	?	USGS		99.0				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	99.0			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	568	1987-08-18 12:28:00	EDT	Yes	DJK	USGS	2.98	116				Poor	-0.46	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	116	77.0	106	1.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	569	1988-01-04		Yes	?	USGS		176				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	176			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	570	1988-03-20		Yes	?	USGS		594				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	594			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	571	1988-09-30 15:00:00	EDT	Yes	CS	USGS	2.47	21.2				Fair			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	21.2	37.0	46.6	0.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	572	1988-11-21 12:15:00	EST	Yes	CS	USGS	6.10	1920				Good			Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	1920	96.6	72.8	2.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	573	1989-01-06 10:15:00	EST	Yes	CS	USGS	3.44	145				Poor			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	145	57.0	80.1	1.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	574	1989-02-17 13:22:00	EST	Yes	CS	USGS	3.27	189				Fair			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	189	57.0	89.5	2.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	575	1989-04-19 14:45:00	EDT	Yes	DGR	USGS	4.51	744				Fair			Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	744	81.0	51.4	1.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	576	1989-05-04 15:36:00	EDT	Yes	CS	USGS	5.94	1400				Fair	-0.10	2.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1400	86.0	555	2.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	577	1989-08-03		Yes	?	USGS		209				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	209			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	578	1989-12-05 13:30:00	EST	Yes	LO	USGS	3.52	290				Fair	0.32		Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	290	77.0	155	0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	579	1990-02-22 11:46:00	EST	Yes	LO	USGS	3.80	329				Fair	-0.01	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	329	79.0	164	2.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	580	1990-04-04 10:50:00	EDT	Yes	LO	USGS	5.86	1240				Fair	-0.17	2.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1240	58.0	480	2.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	581	1990-05-25 10:01:00	EDT	Yes	LO	USGS	4.28	471				Unspecified	-0.02	1.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	471	82.0	192	2.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	582	1990-07-03 12:35:00	EDT	Yes	LO	USGS	3.38	196				Good	-0.03	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	196	75.0	130	1.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	583	1990-11-09 09:14:00	EST	Yes	LO	USGS	3.63	263				Good	-0.02	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	263	73.5	153	1.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	584	1991-03-13 15:25:00	EST	Yes	LO	USGS	3.80	316				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	316	77.0	162	1.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	585	1991-04-22 11:15:00	EDT	Yes	LO	USGS	5.71	1150				Good	-0.02	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1150	52.0	432	2.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	586	1991-07-10 10:55:00	EDT	Yes	BF	USGS	2.88	76.7				Unspecified	0.01	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	76.7	69.0	92.6	0.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	587	1991-08-14 11:20:00	EDT	Yes	RS	USGS	2.82	84.5				Good	-0.14	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	84.5	58.0	79.6	1.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	588	1991-08-20 08:20:00	EDT	Yes	LC	USGS	6.03	1360				Good	-0.55	2.60	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1360	86.0	455	2.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	589	1991-08-22 09:44:00	EDT	Yes	LC	USGS	4.15	546				Good	0.33	2.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	546	85.0	454	1.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	590	1991-10-02 09:30:00	EDT	Yes	PLP	USGS	3.70	231				Unspecified	0.00	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	231	80.0	145	1.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	591	1991-10-15 12:30:00	EDT	Yes	LO	USGS	3.50	231				Unspecified	-0.03	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	231	73.5	140	1.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	592	1991-11-25 11:10:00	EST	Yes	LO	USGS	4.65	602				Unspecified	-0.02	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	602	82.0	206	2.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	593	1992-01-08 12:20:00	EST	Yes	JLO	USGS	3.69	286				Good	-0.01	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	286	76.0	156	1.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	594	1992-02-19 10:15:00	EST	Yes	LJO	USGS	3.60	262				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	262	76.0	152	1.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	595	1992-03-26 12:40:00	EST	Yes	LJO	USGS	3.37	211				Good	-0.11	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	211	75.0	139	1.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	596	1992-05-15 13:15:00	EDT	Yes	LJO	USGS	3.46	222				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	222	77.0	141	1.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	597	1992-07-30 10:18:00	EDT	Yes	CRL	USGS	3.03	108				Unspecified	-0.08	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	108	76.0	103	1.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01110500	598	1992-10-20 10:21:00	EDT	Yes	CRL	USGS	3.37	208				Fair	-0.05	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	208	76.0	134	1.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
