#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:13:39 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01111230 BLACKSTONE RIVER AT MILLVILLE, MA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01111230	1	1978-12-13 11:00:00	EST	Yes	JPR/HLW	USGS	10.40	431				Fair	0.00	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	431	102	547	0.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	2	1979-01-03 08:45:00	EST	Yes	HLW	USGS	11.84	1370				Fair	0.04	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1370	108	685	2.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	3	1979-03-07 09:00:00	EST	Yes	HLW	USGS	13.38	2830				Fair	0.05	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2830	112	886	3.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	4	1979-06-07 09:00:00	EDT	Yes	JPR/HLW	USGS	10.61	572				Fair	0.00	2.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	572	104	581	0.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	5	1979-11-27 09:00:00	EST	Yes	HLW	USGS	10.92	729				Fair	0.04	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	729	102	610	1.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	6	1980-06-05 09:30:00	EDT	Yes	JPR/HLW	USGS	10.26	342				Fair	0.00	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	342	101	0.52	0.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	7	1981-06-02 09:30:00	EDT	Yes	JPR/HLW	USGS	10.43	322				Fair	-0.04	2.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	322	103	546	0.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	8	1981-11-18 08:00:00	EST	Yes	JG	USGS	10.72	774				Good	0.04	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	774	109	565	1.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	9	1982-03-09 08:30:00	EST	Yes	JG	USGS	10.79	778				Fair	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	778	100	460	0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	10	1982-04-13 09:30:00	EST	Yes	JPR/HLW	USGS	11.22	1060				Fair	0.00	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1060	107	640	0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	11	1982-05-11 10:00:00	EDT	Yes	HLW/JG	USGS	10.38	418				Unspecified	-0.07	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	418			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	12	1982-06-10 09:15:00	EDT	Yes	HLW/JPR	USGS	13.07	2280				Fair	-0.08	1.60	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2280	108		0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	13	1982-06-15 14:30:00	EDT	Yes	JG	USGS	12.44	1880				Unspecified	0.00	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1880		678	2.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	14	1982-07-13 09:00:00	EDT	Yes	HLW	USGS	10.03	238				Fair	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	238	105	469	0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	15	1982-08-11 09:00:00	EDT	Yes	HLW	USGS	9.22	370				Unspecified	0.13	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	370			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	16	1982-08-31 09:45:00	EDT	Yes	HLW/ET	USGS	9.46	82.7				Fair	-0.04	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	82.7	100		0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	17	1982-10-14 09:15:00	EDT	Yes	HLW/JPR	USGS	9.46	238				Unspecified	0.00	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	238			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	18	1982-11-17 08:30:00	EST	Yes	HLW	USGS	10.26	322				Unspecified	0.08	1.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	322	103	541	0.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	19	1983-01-05 09:15:00	EST	Yes	JPR/HLW	USGS	9.89	224				Fair	0.08	1.70	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	224	103	501	0.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	20	1983-02-09 09:40:00	EST	Yes	JPR/HLW	USGS	10.91	900				Unspecified	-0.02	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	900			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	21	1983-03-08 09:45:00	EST	Yes	JPR/HLW	USGS	11.86	1210				Fair	-0.02	1.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1210	106		0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	22	1983-04-05 11:00:00	EST	Yes	JPR	USGS	11.86	1140				Fair	0.00	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1140	106	723	1.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	23	1983-05-10 11:15:00	EDT	Yes	JPR/HLW	USGS	10.43	685				Unspecified			Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	685			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	24	1983-06-15 10:00:00	EDT	Yes	JPR/HLW	USGS	10.30	365				Unspecified	0.03	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	365			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01111230	25	1983-07-13 10:45:00	EDT	Yes	JPR/HLW	USGS	10.10	141				Unspecified			Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	141			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
