#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:13:51 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04189260 Blanchard River at Ottawa OH
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04189260	1	2009-03-10 16:55:00	EDT	Yes	tje/mrb	USGS	28.18	12600	 2.0		-8.7	POOR	-0.11	2.07	CLER	MEAS	1	Main	BRDS	QSCMM	VPAA	12400	203	3790	3.27	FIRM	GRVL	UNEV	STDY	EVEN	UNSP	DNST	800
USGS	04189260	1	2009-03-10 16:55:00	EDT	Yes	tje/mrb	USGS	28.18	12600	 2.0		-8.7	POOR	-0.11	2.07	CLER	MEAS	2	Overflow	WADE	QSCMM	VPAA	245				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	DNST	800.00
USGS	04189260	2	2009-06-26 11:15:00	EDT	Yes	tje	USGS	6.18	122	 2.0		-5.4	GOOD	0.00	1.17	CLER	MEAS	1		WADE	QSCMM	VPAA	122	96.0	255	0.48	SOFT	SILT	UNEV	STDY	UNSP	UNSP	DNST	1300
USGS	04189260	3	2009-09-01 14:47:00	EDT	Yes	tje	USGS	4.90	22.2	 2.0	-0.10	0.0	FAIR	0.00	0.57	LGDB	MEAS	1		WADE	QSCMM	VPAA	22.2	79.0	110	0.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189260	4	2009-10-27 08:24:00	EDT	Yes	KDM/JST	USGS	4.91	27.9	 2.0	-0.03	0.7	FAIR	0.00	0.47	LGDB	MEAS	1		BRDS	QADCP	VADCP	27.9	65.2	92.5	0.30	FIRM	SAND	UNEV	STDY	EVEN	UNSP	ATGA	0.00
USGS	04189260	5	2010-03-02 07:46:00	EST	Yes	KDM	USGS	6.76	218	 2.0		2.3	GOOD	0.01	0.20	SICE	MEAS	1		BRDS	QADCP	VADCP	218	79.2	240	0.91	FIRM	GRVL	EVEN	STDY	EVEN	UNSP	ATGA	0.00
USGS	04189260	6	2010-03-12 09:51:00	EST	Yes	KDM/MTW	USGS	19.48	3470	 2.0		3.3	FAIR	-0.01	0.22	LGDB	MEAS	1		BRDS	QADCP	VADCP	3470	197	1930	1.80	FIRM	GRVL	EVEN	STDY	EVEN	UNSP	ATGA	0.00
USGS	04189260	7	2010-03-12 10:09:00	EST	Yes	KDM/MTW	USGS	19.48	3540	 2.0		5.4	GOOD	-0.01	0.18	CLER	MEAS	1		BRDS	QADCP	VADCP	3540	196	2060	1.72	FIRM	GRVL	EVEN	STDY	EVEN	UNSP	ATGA	0.00
USGS	04189260	8	2010-05-26 07:31:00	EDT	Yes	KDM	USGS	7.63	327	 2.0		-0.3	GOOD	0.00	0.18	CLER	MEAS	1		BRDS	QADCP	VADCP	327	81.3	289	1.13	FIRM	SILT	EVEN	STDY	EVEN	UNSP	ATGA	0.00
