#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:13:53 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04189950 Blanchard River at Cuba OH
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04189950	1	2005-06-28 12:35:00	EDT	Yes	tje	USGS	3.00	33.6	 1.0	0.00	0.00	GOOD	0.00	1.17	MDDB	MEAS	1	Unspecified	WADE	QUNSP		33.6	75.5	88.4	0.380	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189950	2	2005-07-01 14:25:00	EDT	Yes	tje	USGS	3.66	96.0	 1.0	0.00	1.80	GOOD	0.10	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		96.0	88.0	142	0.680	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189950	3	2005-07-19 16:45:00	EDT	Yes	tje	USGS	7.48	644.0	 1.0	0.00	-2.80	GOOD	-0.06	0.67	MDDB	MEAS	1	Unspecified	CRAN	QUNSP		644.0	101	501	1.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189950	4	2005-07-20 10:05:00	EDT	Yes	tje	USGS	6.54	498.0	 1.0	0.00	-1.20	GOOD	-0.02	0.67	MDDB	MEAS	1	Unspecified	CRAN	QUNSP		498.0	100	410	1.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189950	5	2005-07-21 09:40:00	EDT	Yes	tje	USGS	5.99	420.0	 1.0	0.00	1.70	GOOD	0.04	0.58	MDDB	MEAS	1	Unspecified	CRAN	QUNSP		420.0	99.0	368	1.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189950	6	2005-08-02 15:55:00	EDT	Yes	tje	USGS	3.83	94.1	 1.0	-0.170	-0.200	GOOD	-0.02	0.75	MDDB	MEAS	1	Unspecified	WADE	QUNSP		94.1	87.0	142	0.660	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189950	7	2005-10-05 11:50:00	EDT	Yes	tje	USGS	4.44	160.0	 1.0	-0.250	3.20	GOOD	-0.02	1.25	LGDB	MEAS	1	Unspecified	WADE	QUNSP		160.0	98.0	222	0.720	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189950	8	2005-12-06 11:15:00	EST	Yes	tje	USGS	5.63	293.0	 1.0		0.00	GOOD	0.00	1.00	SICE	MEAS	1	Unspecified	CRAN	QUNSP		293.0	97.0	285	1.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189950	9	2006-01-05 11:30:00	EST	Yes	tje	USGS	20.75	6310	 1.0	0.00	-1.30	GOOD	-0.06	1.75	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		6310	171	2420	2.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189950	10	2006-01-19 13:30:00	EST	Yes	tje	USGS	16.00	3460	 1.0	0.00	1.20	GOOD	0.16	1.25	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3460	152	1660	2.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189950	11	2006-01-20 11:05:00	EST	Yes	tje	USGS	17.38	4080	 1.0	0.00	-0.700	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		4080	159	1880	2.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189950	12	2006-01-31 15:45:00	EST	Yes	tje	USGS	7.40	674.0	 1.0	0.00	1.20	GOOD	-0.02	0.75	MDDB	MEAS	1	Unspecified	CRAN	QUNSP		674.0	101	498	1.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189950	13	2006-03-13 11:11:00	EST	Yes	sc /tje	USGS	10.92	1570	 1.0	0.00	5.40	GOOD	0.00	0.25	SUBM	MEAS	1	Unspecified	UNSP	QADCP	VADCP	1570	126	966	1.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189950	14	2006-04-19 12:00:00	EDT	Yes	tje	USGS	8.73	949.0	 1.0	0.00	-0.300	GOOD	-0.10	1.50	SUBM	MEAS	1	Unspecified	CRAN	QUNSP		949.0	106	621	1.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189950	15	2006-06-09 11:01:00	EDT	Yes	tje	USGS	11.54	1900	 1.0	0.550	0.00	GOOD	0.16	1.33	SUBM	MEAS	1	Unspecified	CRAN	QUNSP		1900	130	996	1.91	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189950	16	2006-08-01 11:24:00	EDT	Yes	tje	USGS	4.18	129.0	 1.0	-0.210	0.00	GOOD	-0.01	0.58	MDDB	MEAS	1	Unspecified	WADE	QUNSP		129.0	77.0	158	0.820	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189950	17	2006-10-06 11:03:00	EDT	Yes	tje	USGS	4.34	145.0	 1.0	-0.210	-2.00	GOOD	-0.02	0.67	MDDB	MEAS	1	Unspecified	WADE	QUNSP		145.0	94.0	183	0.790	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189950	18	2006-10-20 11:07:00	EDT	Yes	tje	USGS	16.43	3430				GOOD	-0.08	1.50	SUBM	MEAS	1	Unspecified	CRAN	QUNSP		3430	157	1720	2.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189950	19	2006-12-05 10:57:00	EST	Yes	tje/ald	USGS	22.20	6520				GOOD	-0.02	0.33	SUBM	MEAS	1	Unspecified	UNSP	QADCP	VADCP	6520	176	2640	2.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04189950	20	2007-01-08 11:24:00	EST	Yes	ALD/SC	USGS	25.05	11100	 1.0			UNSP	-0.02	0.60	SUBM	MEAS	1	Unspecified	UNSP	QADCP	VADCP	11100	182	3160	3.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
