#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:14:07 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06880500 BIG BLUE RIVER AT SEWARD, NEBR.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06880500	1	1954-01-12		Yes	Anderson	USGS	3.95	20.8				UNSP	0.20		CICE	UNSP	1		UNSP	QSCMM		20.8	29.0	55.6	0.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06880500	2	1954-01-25		Yes	Spaude	USGS	4.10	15.8				UNSP	0.20		CICE	UNSP	1		UNSP	QSCMM		15.8	29.0	45.8	0.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06880500	3	1954-02-10		Yes	JAA	USGS	3.93	26.4				UNSP	0.20		CICE	UNSP	1		UNSP	QSCMM		26.4	31.0	25.1	1.05	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06880500	4	1954-02-24		Yes	RHS	USGS	3.74	31.1				UNSP	0.19		UNSP	UNSP	1		UNSP	QSCMM		31.1	38.0	55.4	0.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06880500	5	1954-03-10		Yes	JAA	USGS	3.65	25.9				UNSP	0.14		UNSP	UNSP	1		UNSP	QSCMM		25.9	36.0	28.6	0.91	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06880500	6	1954-03-29		Yes	JAA	USGS	3.64	24.4				UNSP	0.14		UNSP	UNSP	1		UNSP	QSCMM		24.4	37.0	32.7	0.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06880500	7	1954-04-05		Yes	Hutchins	USGS	3.62	21.5				UNSP	0.14		UNSP	UNSP	1		UNSP	QSCMM		21.5	40.0	36.0	0.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06880500	8	1954-04-19		Yes	NEH	USGS	3.60	21.9				UNSP	0.12		UNSP	UNSP	1		UNSP	QSCMM		21.9	40.0	37.1	0.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06880500	9	1954-05-03		Yes	NEH	USGS	4.26	131				UNSP	0.10		UNSP	UNSP	1		UNSP	QSCMM		131	59.0	88.7	1.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
