#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:14:19 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06893500 Blue River at Kansas City, MO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06893500	1	1939-05-01		Yes	CHJ	USGS	2.62	2.24				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2.24	40.0	5.48	0.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893500	2	1939-05-08		Yes	CHJ	USGS	4.91	437				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	437	59.0	224	1.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893500	3	1939-05-09		Yes	CHJ	USGS	3.66	126				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	126	59.0	78.1	1.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893500	4	1939-05-11		Yes	CHJ	USGS	3.17	50.6				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	50.6	53.0	34.8	1.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893500	5	1939-06-10		Yes	CHJ	USGS	18.73	6430				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6430	174	1800	3.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893500	6	1939-06-10		Yes	CHJ	USGS	12.04	2790				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2790	120	872	2.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893500	7	1939-07-07		Yes	JHM	USGS	2.81	6.12				Fair			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6.12	28.0	14.5	0.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893500	8	1939-07-16		Yes	CHJ	USGS	3.80	0.68				Unspecified			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	0.68	4.70	1.16	0.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893500	10	1939-08-02		Yes	JHM	USGS	4.80	149				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	149	66.0	97.5	1.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893500	9	1939-08-02		Yes	JHM	USGS	4.96	219				Fair			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	219	61.0	119	1.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893500	11	1939-08-03		Yes	JHM	USGS	4.28	35.0				Fair			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	35.0	55.0	50.6	0.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
