#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:14:17 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06893590 Blue River at 12th Street in Kansas City, MO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06893590	1	1987-10-13 13:25:00	CDT	Yes	MCM/TJP	USGS	0.10	33.1				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	33.1	19.0	35.6	0.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	2	1987-11-16 12:15:00	CST	Yes	MCM	USGS	1.78	227				Fair	-0.04	0.50	Clear	MEAS	1	Imported Channel 1	BRUS	unspe	unkno	227	130	210	1.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	3	1988-01-19 10:30:00	CST	Yes	MCM	USGS	3.20	487				Fair	0.11	0.80	DebrisModerate	MEAS	1	Imported Channel 1	BRUS	unspe	unkno	487	120	378	1.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	4	1988-09-15 13:30:00	CDT	Yes	MCM	USGS	16.41	3160				Fair	-0.67	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3160	144	1500	2.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	5	1988-09-16 07:00:00	CDT	Yes	MCM	USGS	19.14	6610				Fair	-0.04	0.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	6610	154	2020	3.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	6	1990-06-26 10:15:00	CDT	Yes	MCM	USGS	10.36	3410				Fair	-0.05	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3410	154	1540	2.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	7	1993-05-07 08:30:00	CDT	Yes	TEH	USGS	4.99	4750				Poor	0.53	1.80	DebrisHeavy	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4750	138	1100	4.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	8	1995-05-17 13:50:00	CDT	Yes	MCM/CDN	USGS	12.15	12100				Poor	0.47	1.80		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	12100	206	2450	4.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	9	1995-05-18 07:50:00	CDT	Yes	MCM/CDN	USGS	13.62	14400				Fair	-0.04	1.80		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	14400	210	2870	5.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	10	1996-03-05 13:30:00	CST	Yes	MCM	USGS	5.32	39.3				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	39.3	28.0	35.0	1.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	11	1996-05-10 11:50:00	CDT	Yes	CDN/MCM	USGS	9.40	547				Poor	0.01	6.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	547	116	469	1.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	12	1996-07-30 09:15:00	CDT	Yes	MCM/RJY	USGS	11.61	2300				Fair	-0.05	0.50	DebrisModerate	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2300	128	748	3.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	13	1996-08-27 10:45:00	CDT	Yes	MCM	USGS	6.85	372				Fair	-0.04	0.50	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	372	66.0	247	1.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	14	1996-09-16 09:10:00	CDT	Yes	TEH	USGS	7.75	756				Fair	0.94	0.80	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	756	84.0	326	2.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	15	1996-10-11 09:15:00	CDT	Yes	TEH	USGS	5.62	90.9				Poor	0.00	0.50	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	90.9	47.0	57.0	1.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	16	1998-09-14 07:30:00	CDT	Yes	mcm/da	USGS	18.02	8140				Fair	0.02	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	8140	164	2370	3.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	17	1998-09-28 12:05:00	CDT	Yes	TEH	USGS	14.05	4630				Fair	-0.10	1.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4630	188	1830	2.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	18	1998-10-15 11:18:00	CDT	Yes	dhw/dja	USGS	5.47	142				Good	0.00	2.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	142	110	416	0.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	19	1998-12-09 13:00:00	CST	Yes	dhw/dja	USGS	6.37	418				Good			Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	418	120	502	0.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	20	1999-01-27 15:40:00	CST	Yes	dhw	USGS	5.02	51.7				Unspecified	0.01	4.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	51.7	8.00	22.3	2.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	21	1999-06-18 10:00:00	CDT	Yes	dhw	USGS	7.33	155				Fair			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	155	16.0	31.5	4.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	22	1999-08-19 16:18:00	CDT	Yes	DHW	USGS	4.41	41.3				Unspecified			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	41.3	69.0	63.6	0.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	23	1999-10-14 11:12:00	CDT	Yes	EDC	USGS	4.32	31.2				Poor			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	31.2	95.0	96.2	0.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	24	2000-02-15 12:58:00	CST	Yes	EDC/DJA	USGS	4.28	30.1				Poor	-0.04	4.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	30.1	74.0	148	0.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	25	2000-04-11 15:05:00	CDT	Yes	EDC/DJA	USGS	4.37	33.9				Poor	-0.07	3.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	33.9	89.0	99.0	0.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	26	2000-06-20 15:25:00	CDT	Yes	MCM/DHW	USGS	12.37	3530				Poor	0.21	0.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3530	175	1060	3.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	27	2000-06-30 10:13:00	CDT	Yes	DHW	USGS	4.60	67.9				Fair	0.05	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	67.9	70.0	81.3	0.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	28	2000-08-22 13:15:00	CDT	Yes	EDC	USGS	4.15	30.4				Poor	-0.02	3.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	30.4	29.0	34.9	0.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	29	2000-09-25 13:30:00	CDT	Yes	TEH/SMK	USGS	7.30	660				Fair	-0.01	0.90	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	660	152	634	1.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	30	2000-10-11 13:05:00	CDT	Yes	EDC	USGS	4.23	36.0				Poor			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	36.0	92.0	121	0.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893590	31	2001-04-11 12:30:00	CDT	Yes	MCM	USGS	9.70	1640				Fair	-0.25	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1640	134	814	2.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
