#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:14:24 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06893793 Little Blue River below Longview Dam at KC, MO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06893793	65	1980-09-10		Yes	MM	USGS	0.70	2.83				Fair	0.00	0.40		UNSP	1	Imported Channel 1	WADE	unspe	unkno	2.83	10.5	3.63	0.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893793	66	1980-10-01		Yes	MM	USGS	0.68	2.42				Fair	0.03	0.40		UNSP	1	Imported Channel 1	WADE	unspe	unkno	2.42	9.50	3.35	0.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893793	67	1980-11-04		Yes	MM	USGS	0.83	4.54				Fair	0.00			UNSP	1	Imported Channel 1	WADE	unspe	unkno	4.54	13.5	6.32	0.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893793	68	1980-12-11		Yes	MM	USGS	1.02	9.53				Good	0.01	0.40		UNSP	1	Imported Channel 1	WADE	unspe	unkno	9.53	16.0	6.58	1.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893793	69	1981-01-08		Yes	MM	USGS	0.87	3.75				Fair	0.02	0.40		UNSP	1	Imported Channel 1	WADE	unspe	unkno	3.75	12.0	5.83	0.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893793	70	1981-02-05		Yes	MM	USGS	0.79	1.95				Poor	-0.03	0.40		UNSP	1	Imported Channel 1	WADE	unspe	unkno	1.95	11.0	3.34	0.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893793	71	1981-03-05		Yes	MM	USGS	0.98	5.68				Fair	0.00	0.40		UNSP	1	Imported Channel 1	WADE	unspe	unkno	5.68	16.0	6.81	0.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893793	72	1981-04-10		Yes	MM	USGS	0.87	4.30				Fair	0.00	0.40		UNSP	1	Imported Channel 1	WADE	unspe	unkno	4.30	15.0	6.12	0.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06893793	73	1981-05-15		Yes	MM	USGS	1.30	31.1				Fair	0.00	0.40		UNSP	1	Imported Channel 1	WADE	unspe	unkno	31.1	18.0	11.8	2.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
