#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:14:25 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09046600 BLUE RIVER NEAR DILLON, CO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09046600	214	1974-05-09		Yes	RDV	USGS	3.80	265.0		0.00		FAIR			CLER	MEAS	1	Unspecified	WADE	QUNSP		265.0	50.0	60.4	4.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	227	1975-06-10		Yes	JDM	USGS	3.96	328.0		0.00		GOOD	-0.02	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		328.0	50.0	67.7	4.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	238	1976-06-09		Yes	RDV	USGS	3.95	344.0		0.00		FAIR	0.00	0.90	CLER	MEAS	1	Unspecified	CWAY	QUNSP		344.0	50.0	68.2	5.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	272	1979-06-14		Yes	RMN	USGS	4.22	420.0		0.00		GOOD	0.01	0.90	CLER	MEAS	1	Unspecified	CWAY	QUNSP		420.0	52.0	78.3	5.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	281	1980-05-27		Yes	RMN	USGS	4.00	336.0		0.00		FAIR	-0.01	0.90	CLER	MEAS	1	Unspecified	CWAY	QUNSP		336.0	50.0	69.1	4.86	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	304	1982-06-09		Yes	JDM	USGS	3.78	372.0		0.00		FAIR	0.00	0.70	CLER	MEAS	1	Unspecified	CWAY	QUNSP		372.0	50.0	67.0	5.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	315	1983-06-21		Yes	JDM	USGS	4.62	810.0		0.00		POOR	0.00	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		810.0	51.0	114	7.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	325	1984-05-30		Yes	JDM	USGS	4.68	592.0		0.00		POOR	0.01	0.70	CLER	MEAS	1	Unspecified	CWAY	QUNSP		592.0	45.0	83.6	7.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	351	1986-09-10 12:00:00	MDT	Yes	RMN	USGS	3.03	60.8	10.0	-0.050	-3.00	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		60.8	40.0		0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	352	1986-10-06 15:20:00	MDT	Yes	RMN	USGS	2.98	64.3	10.0	-0.010	5.00	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		64.3	39.0	36.6	1.76	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	353	1986-11-11 17:00:00	MST	Yes	RMN	USGS	2.85	40.7	10.0	-0.020	-2.00	GOOD	0.00	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		40.7	27.0	26.8	1.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	354	1986-12-16 10:00:00	MST	Yes	RMN	USGS	2.76	31.7	10.0	-0.020		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		31.7	25.0	24.7	1.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	355	1987-02-06 12:40:00	MST	Yes	RMN	USGS	2.54	22.7	10.0	-0.010	5.00	GOOD	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		22.7	24.0	21.5	1.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	356	1987-03-10 11:15:00	MST	Yes	RMN	USGS	2.45	26.6	10.0	-0.010		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		26.6	21.0	17.0	1.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	357	1987-04-27 15:10:00	MDT	Yes	RMN	USGS	2.88	85.8	10.0	-0.020		GOOD	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		85.8	45.0	43.9	1.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	358	1987-05-19 11:20:00	MDT	Yes	RMN	USGS	3.55	260.0	10.0	-0.020	-4.00	FAIR	3.73	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		260.0	48.0	68.6	3.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	359	1987-06-23 17:25:00	MDT	Yes	RMN	USGS	3.59	286.0	10.0	-0.020	1.00	GOOD	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		286.0	44.0	72.6	3.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	360	1987-07-17 10:30:00	MDT	Yes	RMN	USGS	3.08	109.0	10.0	-0.020		FAIR	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		109.0	43.0	48.5	2.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	361	1987-08-11 14:20:00	MDT	Yes	RMN/RAK	USGS	2.95	79.2	10.0	-0.030		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		79.2	43.0	39.8	1.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	362	1987-09-15 10:20:00	MDT	Yes	RMN	USGS	2.97	56.4	10.0	-0.030		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		56.4	32.0	28.0	2.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	363	1987-10-14 11:20:00	MDT	Yes	RMN	USGS	2.82	34.8	10.0	-0.040	-3.00	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		34.8	25.0	23.7	1.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	364	1987-11-18 10:50:00	MST	Yes	JDM	USGS	2.78	33.8	10.0			FAIR	0.00	0.70	SICE	MEAS	1	Unspecified	WADE	QUNSP		33.8	24.0	21.6	1.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09046600	365	1987-12-14 09:50:00	MST	Yes	JDM	USGS	2.75	26.0	10.0			FAIR	0.00	0.80	SICE	MEAS	1	Unspecified	WADE	QUNSP		26.0	19.0	14.7	1.77	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
