#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:14:28 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09053500 BLUE RIVER ABOVE GREEN MOUNTAIN RESERVOIR, CO.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09053500	11	1986-09-09 12:00:00	MDT	Yes	RMN	USGS	8.00	525.0	 1.0	0.00		GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		525.0	91.0	188	2.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	12	1986-10-07 15:35:00	MDT	Yes	RMN	USGS	7.43	278.0	 1.0	0.00	1.00	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		278.0	83.0	143	1.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	13	1986-11-13 14:25:00	MST	Yes	RMN	USGS	7.18	215.0	 1.0	0.00	2.00	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		215.0	80.0	127	1.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	14	1987-01-08 14:15:00	MST	Yes	RMN	USGS		169.0	 1.0			POOR			CICE	MEAS	1	Unspecified	ICE	QSCMM		169.0	90.0	144	1.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	15	1987-02-05 16:30:00	MST	Yes	RMN/BEK	USGS		113.0	 1.0			POOR			CICE	MEAS	1	Unspecified	ICE	QSCMM		113.0	83.0	68.8	1.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	16	1987-03-13 09:00:00	MST	Yes	RMN	USGS		97.3	 1.0	0.00		GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		97.3	77.0	99.7	0.980	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	17	1987-04-28 13:50:00	MDT	Yes	RMN	USGS	7.35	246.0	 1.0	0.00	-2.00	GOOD	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		246.0	82.0	139	1.77	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	18	1987-05-21 11:45:00	MDT	Yes	RMN/DJ	USGS	9.13	1310	 1.0	0.00	-4.00	FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1310	93.0	257	5.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	19	1987-06-24 15:30:00	MDT	Yes	RMN	USGS	8.65	951.0	 1.0	0.00	-1.00	FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		951.0	98.0	274	3.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	20	1987-07-16 14:05:00	MDT	Yes	RMN	USGS	7.70	380.0	 1.0	0.00	-2.00	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		380.0	91.0	163	2.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	21	1987-08-18 16:00:00	MDT	Yes	RMN/KRW	USGS	7.52	303.0	 1.0	0.00	-3.00	GOOD	-0.05	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		303.0	85.0	151	2.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	22	1987-09-17 13:40:00	MDT	Yes	RMN	USGS	7.04	173.0	 1.0	0.00	-5.00	GOOD	-0.01	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		173.0	80.0	123	1.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	23	1987-10-16 13:55:00	MDT	Yes	RMN	USGS	6.84	135.0	 1.0		-5.4	GOOD	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		135.0	80.0	116	1.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	24	1996-04-24 12:20:00	MDT	Yes	gbo	USGS	8.70	855.0	 2.0	0.00		FAIR			CLER	MEAS	1	Unspecified	CWAY	QUNSP		855.0	90.0	219	3.90	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	25	1996-06-06 11:15:00	MDT	Yes	gs	USGS	9.47	1460	 2.0	0.00		FAIR			CLER	MEAS	1	Unspecified	CWAY	QUNSP		1460	92.0	280	5.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	26	1996-06-27 10:26:00	MDT	Yes	gs	USGS	10.15	1970	 2.0	0.00		FAIR	-0.01	0.75	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1970	93.0	346	5.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	27A	1996-08-22 09:05:00	MDT	Yes	gbo	USGS	7.43	228.0	 2.0	0.00		FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		228.0	81.0	106	2.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	28	1996-09-27 07:50:00	MDT	Yes	gbo	USGS	7.42	210.0	 2.0	0.00		FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		210.0	78.0	117	1.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	27	1998-04-23 08:35:00	MDT	Yes	gbo	USGS	7.36	181.4	 2.0	0.00		FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		181.4	75.0	111	1.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	30	1998-06-10 12:10:00	MDT	Yes	gbo	USGS	8.72	834.0	 2.0	0.00		FAIR	-0.01	0.90	CLER	MEAS	1	Unspecified	CWAY	QUNSP		834.0	91.0	210	3.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	31	1998-08-12 14:00:00	MDT	Yes	svm/gs	USGS	8.13	510.0	 2.0	0.00		UNSP			CLER	MEAS	1	Unspecified	UNSP			510.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	32	2005-07-06 08:20:00	MDT	Yes	GBO	USGS	8.57	721.0	 3.0	0.00		FAIR	-0.01	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		721.0	138	261	2.76	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	33	2005-07-12 08:33:00	MDT	Yes	ACF/GBO	USGS	7.94	364.0	 3.0	0.00		FAIR	-0.01	1.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		364.0	129	191	1.90	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	34	2005-08-04 06:21:00	MDT	Yes	ACF	USGS	7.86	334.0	 3.0	0.00		FAIR	-0.01	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		334.0	128	199	1.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	35	2005-10-25 07:45:00	MDT	Yes	GBO	USGS	7.44	181.0	 3.0	0.00		FAIR	0.00	1.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		181.0	71.0	153	1.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09053500	36	2009-06-16 12:25:00	MDT	Yes	JRB	USGS	9.89	1750	 3.0		2.5	FAIR	-0.01	1.00	LGDB	UNSP	1		BRDS	QSCMM	VPAA	1750	94.0	301	5.81	FIRM	BLDR	EVEN	PULS	EVEN	UNSP	ATGA	0.00
USGS	09053500	37	2009-07-14 10:21:00	MDT	Yes	NMS	USGS	9.19	1250	 3.0		11.4	FAIR	-0.02	2.27	UNSP	UNSP	1		BRUS	QSCMM	VPAA	1250	91.0	259	4.82	FIRM	BLDR	EVEN	PULS	EVEN	UNSP	UNSP	
USGS	09053500	38	2009-09-18 12:25:00	MDT	Yes	NMS	USGS	7.34	143	 3.0		-6.4	FAIR	0.00		CLER	UNSP	1		WADE	QSCMM	VPAA	143	83.0	83.1	1.72	FIRM	BLDR	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	09053500	39	2013-05-10 11:40:30	MDT	Yes	RJB	USGS	7.73	235				FAIR	0.00	0.65	CLER	MEAS	1		WADE	QSCMM	VPAA	235	88.5	100	2.35	FIRM	BLDR	UNEV	PULS	UNEV	UNKN	DNST	200.00
USGS	09053500	40	2013-05-15 13:56:00	MDT	Yes	RJB	USGS	8.27	434				FAIR	0.01	0.70	CLER	MEAS	1		WADE	QSCMM	VPAA	434	94.0	141	3.08	FIRM	BLDR	UNEV	PULS	UNEV	UNKN	DNST	200.00
USGS	09053500	42	2013-06-11 14:32:00	MDT	Yes	MJB	USGS	8.70	673				POOR	-0.08	2.18	CLER	MEAS	1		BRDS	QSCMM	VPAA	673	89.0	193	3.48	FIRM	BLDR	UNEV	PULS	UNEV	STND	UPST	900.00
USGS	09053500	41	2013-10-24 16:50:00	MDT	Yes	RJB	USGS	8.00	330				FAIR	0.04	0.68	CLER	MEAS	1		WADE	QSCMM	VPAA	330	94.0	125	2.64	FIRM	BLDR	UNEV	PULS	UNEV	UNKN	DNST	150.00
USGS	09053500	43	2015-06-12 13:34:00	MDT	Yes	JRB	USGS	10.45	2250				FAIR	0.01	0.75	CLER	MEAS	1	1	BRDS	QSCMM	VPAA	2250	96.0	374	6.03	FIRM	BLDR	EVEN	PULS	EVEN	STND	UPST	500.00
USGS	09053500	44	2015-08-20 10:21:30	MDT	Yes	JRB	USGS	8.08	340				FAIR	0.00	1.00	CLER	MEAS	1	1	WADE	QSCMM	VADV	340	92.5	130	2.61	FIRM	BLDR	UNEV	PULS	UNEV	NSTD	DNST	50.00
USGS	09053500	45	2015-10-14 15:14:30	MDT	Yes	JRB	USGS	7.52	163				FAIR	0.00	0.60	CLER	MEAS	1	1	WADE	QSCMM	VADV	163	79.5	76.7	2.13	FIRM	BLDR	UNEV	PULS	UNEV	STND	DNST	50.00
