#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:14:30 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09057500 BLUE RIVER BELOW GREEN MOUNTAIN RESERVOIR, CO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09057500	337	1975-07-22		Yes	RDV	USGS	6.66	1380		0.00		UNSP	0.00	0.50	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1380	64.0	254	5.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	368	1977-08-16		Yes	RDV	USGS	5.38	830.0		0.00		UNSP	0.01	0.90	CLER	MEAS	1	Unspecified	CWAY	QUNSP		830.0	59.0	170	4.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	389	1979-07-06		Yes	RMN	USGS	7.51	1850		0.00		UNSP	0.00	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1850	71.0	314	5.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	433	1983-06-01		Yes	RMN	USGS	6.12	1080		0.00		UNSP	0.00	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1080	63.0	196	5.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	436	1983-07-05		Yes	RMN	USGS	9.26	2840		0.00		UNSP	0.03	1.20	CLER	MEAS	1	Unspecified	CWAY	QUNSP		2840	76.0	451	6.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	446	1984-06-19		Yes	RMN	USGS	9.27	2860		0.00		UNSP	-1.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		2860	76.0	450	6.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	435	1985-06-23		Yes	RMN	USGS	7.96	2010		0.00		UNSP	-0.02	1.30	CLER	MEAS	1	Unspecified	CWAY	QUNSP		2010	74.0	350	5.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	457	1985-08-29		Yes	RMN	USGS	5.01	620.0	11.0	0.00		GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		620.0	58.0	156	3.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	466	1986-09-09 12:00:00	MDT	Yes	RMN	USGS	4.99	607.0	12.0	0.00	-2.00	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		607.0	58.0	156	3.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	467	1986-10-07 13:00:00	MDT	Yes	RMN	USGS	4.63	509.0	12.0	0.00	2.00	FAIR	-0.01	0.80	CLER	MEAS	1	Unspecified	CWAY	QUNSP		509.0	56.0	138	3.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	468	1986-11-13 11:35:00	MST	Yes	RMN	USGS	4.38	406.0	12.0	0.00	-3.00	GOOD	-0.07	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		406.0	53.0	120	3.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	469	1986-12-16 15:55:00	MST	Yes	RMN	USGS	4.32	365.0	12.0	-0.060	-5.00	GOOD	-0.01	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		365.0	53.0	115	3.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	470	1987-02-04 15:00:00	MST	Yes	RMN/BEK	USGS	4.34	378.0	12.0	-0.060	-4.00	GOOD	0.00	1.00	LGDB	MEAS	1	Unspecified	CWAY	QUNSP		378.0	54.0	115	3.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	471	1987-03-10 14:50:00	MST	Yes	RMN	USGS	4.32	375.0	12.0	-0.060	-3.00	GOOD	-0.01	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		375.0	54.0	118	3.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	472	1987-04-28 16:25:00	MDT	Yes	RMN	USGS	3.94	283.0	12.0	-0.050	-2.00	GOOD	-0.01	0.50	CLER	MEAS	1	Unspecified	CWAY	QUNSP		283.0	52.0	98.8	2.86	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	473	1987-05-20 14:40:00	MDT	Yes	RMN	USGS	1.80	0.900	12.0	0.00		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		0.900	13.5	3.41	0.260	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	474	1987-06-24 13:05:00	MDT	Yes	RMN	USGS	3.59	230.0	12.0	0.050	1.00	GOOD	-0.02	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		230.0	54.0	98.9	2.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	475	1987-06-26 13:20:00	MDT	Yes	RMN	USGS	3.12	150.0	12.0	0.130		GOOD	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		150.0	52.0	70.3	2.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	476	1987-07-15 12:50:00	MDT	Yes	RMN	USGS	3.80	266.0	12.0	0.020	2.00	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		266.0	55.0	108	2.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	477	1987-08-18 11:00:00	MDT	Yes	RMN/KRW	USGS	4.93	581.0	12.0	0.00	-3.00	GOOD	-0.01	0.90	CLER	MEAS	1	Unspecified	WADE	QUNSP		581.0	57.0	149	3.90	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	478	1987-09-16 12:30:00	MDT	Yes	RMN	USGS	4.54	434.0	12.0	-0.110		GOOD	-0.01	0.60	CLER	MEAS	1	Unspecified	CWAY	QUNSP		434.0	55.0	130	3.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	479	1987-10-15 12:15:00	MDT	Yes	RMN	USGS	4.69	504.0	12.0	0.00	-2.00	GOOD	0.01	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		504.0	52.0	132	3.82	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	480	1987-11-16 11:55:00	MST	Yes	JDM	USGS	3.75	250.0	12.0	0.00	-2.00	FAIR	-0.03	1.00	LGDB	MEAS	1	Unspecified	CWAY	QUNSP		250.0	50.0	89.2	2.81	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	481	1988-01-15 11:20:00	MST	Yes	JDM	USGS	3.62	226.0	12.0		1.00	FAIR	-0.02	1.00	SICE	MEAS	1	Unspecified	CWAY	QUNSP		226.0	48.0	75.8	2.98	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	482	1988-03-08 14:40:00	MST	Yes	JDM	USGS	3.93	300.0	12.0		1.00	FAIR	0.00	1.10	SICE	MEAS	1	Unspecified	CWAY	QUNSP		300.0	48.0	89.8	3.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09057500	483	1988-04-11 10:35:00	MDT	Yes	JDM	USGS	4.08	320.0	12.0		5.00	GOOD	0.03	0.70	SICE	MEAS	1	Unspecified	CWAY	QUNSP		320.0	48.0	99.0	3.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
