#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:14:46 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13211205 BOISE RIVER AT CALDWELL, ID
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13211205	2	2014-08-27 13:31:30	MDT	Yes	dme/pas	USGS	7.17	618				Good	0.00	0.80	DebrisLight	MEAS	1	Main	MBOT	QADCP	VADCP	618	108	335	1.85	SOFT	silt	EVEN	unkn	EVEN	STND	ATGA	
USGS	13211205	3	2014-10-09 10:21:23	MDT	Yes	MJA/PAS	USGS	7.18	595				Good				MEAS	1	main	MBOT	QADCP	VADCP	595	104	320	1.86	FIRM	CBLS	EVEN	unkn	EVEN	STND	UNSP	
USGS	13211205	4	2014-12-11 11:47:12	MST	Yes	DSO/DLG	USGS	7.19	637				Good				MEAS	1	4	MBOT	QADCP	VADCP	637	132	332	1.92	FIRM	GRVL	EVEN	unkn	UNEV	STND	UPST	200.00
USGS	13211205	5	2015-02-05 13:29:26	MST	Yes	GJP/DLG	USGS	7.38	697				Good			Clear	MEAS	1	main	MBOT	QADCP	VADCP	697	138	360	1.94	FIRM	GRVL	EVEN	unkn	UNSP	STND	UPST	150.00
USGS	13211205	6	2015-03-26 13:06:30	MDT	Yes	DSO/DLG	USGS	6.58	324				Good			Clear	MEAS	1	1	WADE	QSCMM	VADV	324	126	249	1.30	FIRM	GRVL	EVEN	unkn	EVEN	UNFM	UPST	50.00
USGS	13211205	7	2015-04-06 13:26:30	MDT	Yes	DLG	USGS	6.10	196				Good			Unspecifed	MEAS	1	1	WADE	QSCMM	VADV	196	112	193	1.02	FIRM	GRVL	EVEN	unkn	EVEN	STND	UPST	50.00
USGS	13211205	8	2015-05-20 13:53:36	MDT	Yes	JPW/DLG	USGS	8.71	1570				Fair	0.00	0.30	Clear	MEAS	1	Caldwell	MBOT	QADCP	VADCP	1570	112	488	3.23	UNSP	UNSP	UNSP	unkn	UNEV	UNSP	ATGA	
USGS	13211205	9	2015-06-24 08:07:00	MDT	Yes	DLG	USGS	6.04	187				Good			DebrisModerate	MEAS	1	1	WADE	QSCMM	VADV	187	109	181	1.03	FIRM	GRVL	EVEN	unkn	UNEV	UNFM	UPST	70.00
USGS	13211205	10	2015-07-29 07:43:00	MDT	Yes	DLG	USGS	6.61	355				Good			DebrisLight	MEAS	1	1	WADE	QSCMM	VADV	355	124	256	1.39	FIRM	GRVL	EVEN	unkn	EVEN	STND	UPST	50.00
USGS	13211205	11	2015-09-03 12:16:00	MDT	Yes	DLG/BJR	USGS	7.26	617				Good			DebrisModerate	MEAS	1	1	WADE	QSCMM	VADV	617	126	336	1.84	FIRM	GRVL	EVEN	unkn	EVEN	STND	UPST	50.00
USGS	13211205	12	2015-10-05 13:30:00	MDT	Yes	DLG	USGS	6.96	459				Good			DebrisLight	MEAS	1	1	WADE	QSCMM	VADV	459	127	296	1.55	FIRM	GRVL	EVEN	unkn	EVEN	STND	UPST	80.00
USGS	13211205	13	2015-12-02 14:40:30	MST	Yes	DLG	USGS	7.18	544				Good			DebrisModerate	MEAS	1	1	WADE	QSCMM	VADV	544	126	324	1.68	FIRM	GRVL	EVEN	unkn	EVEN	UNFM	UPST	50.00
USGS	13211205	14	2016-02-08 12:07:00	MST	Yes	DLG	USGS	7.20	543				Good			DebrisModerate	MEAS	1	1	WADE	QSCMM	VADV	543	131	323	1.68	FIRM	GRVL	EVEN	unkn	EVEN	UNFM	UPST	70.00
USGS	13211205	15	2016-03-30 11:02:05	MDT	Yes	DLG/BJR	USGS	7.60	780				Good			DebrisModerate	MEAS	1	1	MBOT	QADCP	VADCP	780	113	383	2.04	FIRM	GRVL	EVEN	unkn	EVEN	UNFM	ATGA	
USGS	13211205	16	2016-04-11 08:38:22	MDT	Yes	EMM/REM	USGS	11.86	4680				Good	0.05	0.30	Clear	MEAS	1	Main Channel	MBOT	QADCP	VADCP	4680	141	946	4.95	FIRM	CBLS	EVEN	unkn	UNEV	STND	DNST	200.00
USGS	13211205	17	2016-04-20 10:13:37	MDT	Yes	JPW/DLG	USGS	11.00	3700				Good	0.00	0.30	Clear	MEAS	1	Caldwell	CWAY	QADCP	VADCP	3700	131	817	4.53	FIRM	BLDR	EVEN	unkn	UNEV	STND	DNST	300.00
USGS	13211205	18	2016-04-22 09:32:30	MDT	Yes	EMM/DLG	USGS	9.53	2250				Good			Clear	MEAS	1	2	WADE	QSCMM	VADV	67.6	33.0	54.0	1.25	FIRM	silt	EVEN	unkn	EVEN	UNFM	DNST	300.00
USGS	13211205	18	2016-04-22 09:32:30	MDT	Yes	EMM/DLG	USGS	9.53	2250				Good			Clear	MEAS	2	1	CWAY	QADCP	VADCP	2180	96.6	586	3.72	FIRM	GRVL	EVEN	unkn	EVEN	UNFM	DNST	300.00
USGS	13211205	19	2016-05-04 09:06:34	MDT	Yes	DLG/REM	USGS	8.20	1230				Good			Clear	MEAS	1	1	MBOT	QADCP	VADCP	1230	115	443	2.77	FIRM	GRVL	EVEN	unkn	UNEV	UNFM	ATGA	
USGS	13211205	20	2016-06-29 10:00:40	MDT	Yes	DLG/PAS	USGS	7.48	757				Good			DebrisLight	MEAS	1	1	MBOT	QADCP	VADCP	757	118	377	2.01	FIRM	GRVL	EVEN	unkn	EVEN	UNFM	ATGA	
USGS	13211205	21	2016-07-27 10:00:00	MDT	Yes	DLG	USGS	6.41	290				Good			DebrisLight	MEAS	1	1	WADE	QSCMM	VADV	290	107	251	1.15	FIRM	GRVL	EVEN	unkn	EVEN	UNFM	ATGA	
USGS	13211205	22	2016-09-07 12:41:43	MDT	Yes	WRE/PAS	USGS	7.35	694				Good	0.01	0.30	DebrisLight	MEAS	1	Main	MBOT	QADCP	VADCP	694	111	351	1.97	FIRM	CBLS	EVEN	unkn	EVEN	STND	DNST	15.00
USGS	13211205	23	2016-10-11 13:42:18	MDT	Yes	BJR/AAS	USGS	7.03	517				Good	0.00	0.50		MEAS	1	caldwell	CWAY	QADCP	VADCP	517	108	324	1.59	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	DNST	8.00
USGS	13211205	24	2016-11-17 15:08:10	MST	Yes	BJR/AAS	USGS	7.14	538				Good	0.00	0.30	DebrisModerate	MEAS	1	caldwel	CWAY	QADCP	VADCP	538	110	331	1.62	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	ATGA	
USGS	13211205	25	2016-12-15 11:30:12	MST	Yes	BJR/AAS	USGS	7.27	600				Good	0.00	0.50	Unspecifed	MEAS	1	Caldwell	CWAY	QADCP	VADCP	600	112	349	1.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	ATGA	
USGS	13211205	26	2017-01-18 12:46:29	MST	Yes	BJR/AAS	USGS	7.15	566				Good			DebrisModerate	MEAS	1	Caldwell	CWAY	QADCP	VADCP	566	109	333	1.70	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	ATGA	
USGS	13211205	27	2017-02-24 10:13:24	MST	Yes	BJR/AAS	USGS	12.73	5750				Fair			Clear	MEAS	1	Caldwell	CWAY	QADCP	VADCP	5750	151	1090	5.27	UNSP	UNSP	UNSP	unkn	UNEV	UNSP	DNST	175.00
USGS	13211205	28	2017-03-09 12:30:00	MST	Yes	DSO/BJR	USGS	13.70	7480				Good			Clear	MEAS	1	Imported Channel 1	UNSP	other		7480				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13211205	29	2017-03-31 11:43:10	MDT	Yes	JPC/DLG	USGS	14.73	9270				Good			Clear	MEAS	1	Main	CWAY	QADCP	VADCP	9270	158	1430	6.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	DNST	200.00
