#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:14:54 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 021564493 BROAD RIVER BELOW NEAL SHOALS RES. NR CARLISLE,SC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	021564493	1	2011-08-25 13:45:00	EST	Yes	CDW/NDM	USGS	305.47	408				POOR	-0.01	0.20	CLER	UNSP	1		MBOT	QADCP	VADCP	408	431	1250	0.33	FIRM	BLDR	UNEV	UNSP	UNEV	UNSP	UPST	30.00
USGS	021564493	2	2011-09-23 11:35:30	EST	Yes	DFS/NDM	USGS	307.12	2640				GOOD	0.02	0.45	CLER	UNSP	1		MBOT	QADCP	VADCP	2640	451	1670	1.59	FIRM	BLDR	UNEV	UNSP	EVEN	UNSP	ATGA	0.00
USGS	021564493	3	2012-01-25 13:21:00	EST	Yes	CDW/THL	USGS	307.70	3480				GOOD	-0.02	0.37	FILL	UNSP	1		CWAY	QADCP	VADCP	3480	439	1590	2.19	SOFT	SAND	EVEN	UNSP	EVEN	UNSP	ATGA	0.00
USGS	021564493	4	2012-02-22 11:50:30	EST	Yes	CDW/WFF	USGS	306.69	1600				GOOD	0.00	0.28	CLER	UNSP	1		MBOT	QADCP	VADCP	1600	439	1180	1.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	ATGA	0.00
USGS	021564493	5	2012-03-27 11:47:30	EST	Yes	CDW/WFF	USGS	307.44	3140	 1.1		-0.3	FAIR	-0.01	0.28	CLER	UNSP	1		MBOT	QADCP	VADCP	3140	451	1660	1.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	ATGA	0.00
USGS	021564493	6	2012-04-24 10:44:30	EST	Yes	CDW/WFF	USGS	307.39	3210	 1.1		4.9	GOOD	-0.01	0.28	CLER	MEAS	1		MBOT	QADCP	VADCP	3210	435	1660	1.93	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	ATGA	0.00
USGS	021564493	7	2012-05-16 10:53:30	EST	Yes	DFS/TRD	USGS	311.13	12200	 1.1		0.0	GOOD	-0.04	0.22	CLER	MEAS	1		MBOT	QADCP	VADCP	12200	427	2920	4.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	DNST	700.00
USGS	021564493	8	2012-05-31 11:06:00	EST	Yes	CDW/WFF	USGS	307.18	2600	 1.1		-3.3	GOOD	0.00	0.23	CLER	UNSP	1		MBOT	QADCP	VADCP	2600	433	1920	1.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	ATGA	0.00
USGS	021564493	9	2012-06-21 10:36:00	EST	Yes	CDW/WFF	USGS	305.80	652	 1.1		-8.2	FAIR	-0.04	0.40	CLER	UNSP	1		MBOT	QADCP	VADCP	652	441	1320	0.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	ATGA	0.00
USGS	021564493	10	2012-07-10 09:39:00	EST	Yes	THL/NDM	USGS	305.58	498	 1.1		2.5	FAIR	0.00	0.23	CLER	UNSP	1		UNSP	QADCP	VADCP	498	445	1190	0.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	021564493	11	2012-07-10 10:05:00	EST	Yes	THL/NDM	USGS	305.58	490	 1.1		0.8	FAIR	0.00	0.20	CLER	UNSP	1		UNSP	QADCP	VADCP	490	449	1160	0.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	021564493	12	2012-07-10 11:37:00	EST	Yes	THL	USGS	305.63	546	 1.1		2.2	FAIR	0.00	0.23	CLER	UNSP	1		UNSP	QADCP	VADCP	546	449	1210	0.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	021564493	13	2012-07-10 12:43:00	EST	Yes	THL/NDM	USGS	305.75	655	 1.1		-0.2	FAIR	0.00	0.23	CLER	UNSP	1		UNSP	QADCP	VADCP	655	446	1320	0.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UPST	40.00
USGS	021564493	14	2012-07-10 13:37:00	EST	Yes	THL/NDM	USGS	305.91	846	 1.1		1.7	FAIR	0.00		CLER	UNSP	1		UNSP	QADCP	VADCP	846	444	1290	0.66	UNSP	UNSP	UNSP	STDY	UNSP	UNSP	UPST	40.00
USGS	021564493	15	2012-08-28 13:25:00	EST	Yes	THL/PMS	USGS	305.21	269	 2.1		-0.7	FAIR	-0.02	0.57	UNSP	UNSP	1		MBOT	QADCP	VADCP	269	461	1190	0.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	021564493	16	2012-08-28 14:26:30	EST	Yes	THL/PMS	USGS	305.24	302	 2.1	0.00	6.0	POOR	0.05	0.48	UNSP	UNSP	1		MBOT	QADCP	VADCP	302	475	1250	0.24	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	021564493	17	2012-10-29 13:26:30	EST	Yes	CDW/BEK	USGS	305.83	688	 2.1	-0.05	0.0	POOR	0.00	1.10	CLER	MEAS	1		MBOT	QADCP	VADCP	688	458	1410	0.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	ATGA	
USGS	021564493	18	2012-12-18 11:48:00	EST	Yes	CDW	USGS	306.27	1150	 2.1	-0.10	0.0	GOOD	-0.01	0.27	UNSP	MEAS	1	main	MBOT	QADCP	VADCP	1150	444	1340	0.86	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	ATGA	0.00
USGS	021564493	19	2013-03-11 12:49:25	EST	Yes	CDW/BLC	USGS	307.19	2580	 2.1		-4.4	GOOD	0.05	0.43		MEAS	1	main	MBOT	QADCP	VADCP	2580	446	1760	1.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	ATGA	0.00
USGS	021564493	20	2013-03-14 12:16:51	EST	Yes	CDW/NDM	USGS	308.09	4500	 3.0	0.00	3.9	GOOD	-0.02	0.32		MEAS	1	main	MBOT	QADCP	VADCP	4500	452	2460	1.83	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	ATGA	0.00
USGS	021564493	21	2013-07-02 10:43:30	EST	Yes	BLC/CDW	USGS	306.93	2040	 3.0	-0.12	0.0	GOOD	0.00	0.30		MEAS	1	main	MBOT	QADCP	VADCP	2040	438	1590	1.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	ATGA	0.00
USGS	021564493	22	2013-09-12 10:22:18	EST	Yes	CDW/BLC	USGS	306.92	2100	 3.0	0.00	-5.4	FAIR	0.00	0.38		MEAS	1	main	MBOT	QADCP	VADCP	2100	4456	1920	1.10	UNSP	UNSP	UNSP	UNSP	UNEV	UNSP	ATGA	0.00
USGS	021564493	23	2013-12-05 13:05:25	EST	Yes	CDW/BLC	USGS	307.15	2520	 3.0	0.00	-2.7	GOOD	-0.01	0.90	CLER	MEAS	1	main	MBOT	QADCP	VADCP	2520	451	1840	1.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	ATGA	0.00
USGS	021564493	24	2014-01-13 13:16:30	EST	Yes	CDW/EGM	USGS	312.93	16800	 3.0	0.00	-2.9	GOOD	-0.06	0.30	LGDB	MEAS	1	main	MBOT	QADCP	VADCP	16800	528	3900	4.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	DNST	1000.00
USGS	021564493	25	2014-04-01 11:27:46	EST	Yes	CDW/BLC	USGS	307.71	3570	 3.0	0.00	-0.6	GOOD	0.01	0.40	CLER	MEAS	1	main	MBOT	QADCP	VADCP	3570	446	2190	1.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	DNST	200.00
USGS	021564493	26	2014-06-03 11:17:59	EST	Yes	CDW/BLC	USGS	306.68	1740	 3.0	-0.04	-2.8	POOR	0.00	0.20	CLER	MEAS	1	main	MBOT	QADCP	VADCP	1740	439	1460	1.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	ATGA	0.00
USGS	021564493	27	2014-08-19 11:07:11	EST	Yes	CDW/PMS	USGS	305.96	817	 3.0	-0.08	2.6	POOR	0.00	0.40	CLER	MEAS	1	main	MBOT	QADCP	VADCP	817	435	1450	0.56	FIRM	BLDR	UNEV	UNSP	UNSP	UNSP	ATGA	0.00
USGS	021564493	28	2014-10-29 10:39:50	EST	Yes	CDW	USGS	306.23	1060	 3.0	-0.12	-0.9	POOR	0.02	0.30	CLER	MEAS	1	main	MBOT	QADCP	VADCP	1060	444	1460	0.72	FIRM	BLDR	UNEV	UNSP	UNSP	UNSP	ATGA	0.00
USGS	021564493	29	2015-03-04 14:44:10	EST	Yes	BEK/EGM	USGS	306.98	2290	 3.0	0.00	-0.9	FAIR	0.05	0.50		MEAS	1	Broad River Below Neal Shoals	MBOT	QADCP	VADCP	2290	461	1840	1.24	FIRM	CBLS	EVEN	STDY	EVEN	STND	ATGA	0.00
USGS	021564493	30	2015-04-20 10:28:00	EST	Yes	PMS/EGM	USGS	315.35	22200	 4.0		-3.9	FAIR	0.03	0.30	MDDB	MEAS	1	main	MBOT	QADCP	VADCP	22200	349	4610	4.82	UNSP	SAND	UNSP	UNSP	UNSP	UNSP	DNST	1350.00
USGS	021564493	31	2015-04-21 11:29:00	EST	Yes	PMS/EGM	USGS	313.91	19000	 4.0		1.1	GOOD	-0.03	0.20		MEAS	1	Main	MBOT	QADCP	VADCP	19000	365	4580	4.15	UNSP	SAND	UNSP	UNSP	UNSP	UNSP	DNST	1400.00
USGS	021564493	32	2015-06-02 08:47:36	EST	Yes	NDM/EGM	USGS	306.35	1260	 4.0		0.8	FAIR	0.01	0.27	CLER	MEAS	1	main channel	MBOT	QADCP	VADCP	1260	435	1650	0.76	FIRM	BLDR	UNEV	UNSP	UNEV	UNSP	ATGA	0.00
USGS	021564493	33	2015-06-02 09:09:10	EST	Yes	NDM/EGM	USGS	306.36	1260	 4.0		0.0	FAIR	0.00	0.23	CLER	MEAS	1	main channel	MBOT	QADCP	VADCP	1260	434	1550	0.81	FIRM	BLDR	UNEV	UNSP	UNEV	UNSP	DNST	20.00
USGS	021564493	34	2015-07-27 10:45:49	EST	Yes	NDM/GEM	USGS	305.78	673	 4.0		-1.6	FAIR	0.01	0.25	CLER	MEAS	1	main channel	MBOT	QADCP	VADCP	673	454	1510	0.45	FIRM	BLDR	UNEV	UNSP	UNEV	UNSP	ATGA	0.00
USGS	021564493	35	2015-11-24 11:38:00	EST	Yes	EGM/BLD	USGS	307.92	4330	 5.0		6.1	FAIR	-0.01	0.30	UNSP	MEAS	1	main	MBOT	QADCP	VADCP	4330	445	2260	1.91	UNSP	UNSP	UNSP	UNSP	UNEV	UNSP	ATGA	0.00
USGS	021564493	36	2016-03-09 11:02:48	EST	Yes	NDM/EGM	USGS	308.02	4590	 5.0		6.7	FAIR	0.00	0.27	CLER	MEAS	1	main channel	MBOT	QADCP	VADCP	4590	464	2460	1.86	FIRM	BLDR	UNEV	STDY	EVEN	STND	ATGA	0.00
USGS	021564493	37	2016-08-09 10:37:25	EST	Yes	ndm/egm	USGS	307.23	2910	 5.0		7.4	FAIR	0.00	0.23	CLER	MEAS	1	main channel	MBOT	QADCP	VADCP	2910	436	2090	1.39	FIRM	BLDR	UNEV	STDY	UNEV	STND	ATGA	0.00
USGS	021564493	38	2017-02-01 12:29:32	EST	Yes	KDS/REH	USGS	306.97	2420	 5.0		7.6	FAIR	-0.01	0.20		MEAS	1	Qm1	MBOT	QADCP	VADCP	2420	445	1950	1.24	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	ATGA	0.00
USGS	021564493	39	2017-02-01 12:42:30	EST	Yes	KDS/REH	USGS	306.97	2350	 5.0		4.4	FAIR	0.00	0.23		MEAS	1	Qm2	MBOT	QADCP	VADCP	2350	443	1900	1.24	SOFT	SILT	UNEV	UNSP	UNSP	UNSP	ATGA	0.00
