#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:15:02 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02160750 BROAD RIVER AT BLAIR,SC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02160750	1	2011-02-09 12:14:30	EST	Yes	DFS/TRD	USGS	10.88	4900				GOOD	0.00	0.22	CLER	UNSP	1		MBOT	QADCP	VADCP	4900	479	3250	1.51	FIRM	SAND	EVEN	STDY	EVEN	UNSP	UPST	500.00
USGS	02160750	2	2011-02-09 13:26:30	EST	Yes	DFS/TRD	USGS	10.79	4620				GOOD	0.00	0.22	CLER	UNSP	1		MBOT	QADCP	VADCP	4620	482	3220	1.44	FIRM	SAND	EVEN	STDY	EVEN	UNSP	UPST	500.00
USGS	02160750	3	2011-03-07 12:08:00	EST	Yes	DFS/THL	USGS	14.05	14200				GOOD	0.09	0.20	CLER	UNSP	1		MBOT	QADCP	VADCP	14200	494	4830	2.93	FIRM	SAND	EVEN	STDY	EVEN	UNSP	UPST	500.00
USGS	02160750	4	2011-03-07 13:21:30	EST	Yes	DFS/THL	USGS	14.37	15500				GOOD	0.06	0.25	CLER	UNSP	1		MBOT	QADCP	VADCP	15500	689	5670	2.74	FIRM	SAND	EVEN	STDY	EVEN	UNSP	UPST	500.00
USGS	02160750	5	2011-03-07 14:02:00	EST	Yes	DFS/THL	USGS	14.53	16100				GOOD	0.05	0.47	CLER	UNSP	1		MBOT	QADCP	VADCP	16100	682	5730	2.82	FIRM	SAND	EVEN	STDY	EVEN	UNSP	DNST	1000.00
USGS	02160750	6	2011-03-07 15:06:30	EST	Yes	DFS/THL	USGS	14.73	17000				GOOD	0.06	0.32	CLER	UNSP	1		MBOT	QADCP	VADCP	17000	686	5870	2.90	FIRM	SAND	EVEN	STDY	EVEN	UNSP	DNST	1000.00
USGS	02160750	7	2011-03-09 11:21:30	EST	Yes	BLD/THL	USGS	12.35	10100				GOOD	0.01	0.28	UNSP	UNSP	1		MBOT	QADCP	VADCP	10100	493	4030	2.51	FIRM	SAND	EVEN	STDY	EVEN	UNSP	UPST	310.00
USGS	02160750	8	2011-03-09 12:22:00	EST	Yes	THL/BLD	USGS	12.31	9900				GOOD	0.01	0.30	UNSP	UNSP	1		MBOT	QADCP	VADCP	9900	496	4050	2.44	FIRM	SAND	EVEN	STDY	EVEN	UNSP	UPST	310.00
USGS	02160750	9	2011-03-14 11:08:30	EST	Yes	THL/NDM	USGS	12.09	4760				GOOD	0.12	0.28	UNSP	UNSP	1		MBOT	QADCP	VADCP	4760	496	3830	1.24	FIRM	SAND	EVEN	STDY	EVEN	UNSP	UPST	410.00
