#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:15:04 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02162035 BROAD RIVER NEAR COLUMBIA, SC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02162035	1	2011-07-01 13:47:30	EST	No																													
USGS	02162035	2	2011-09-09 15:03:00	EST	No																													
USGS	02162035	3	2011-09-29 13:33:30	EST	No																													
USGS	02162035	4	2011-10-05 12:13:00	EST	Yes	THL/BEK	USGS	153.38	863	 1.0		-21.5	GOOD	0.01	0.10	CLER	MEAS	1		MBOT	QADCP	VADCP	863	651	7400	0.12	SOFT	SILT	EVEN	STDY	EVEN	UNSP	UPST	2500.00
USGS	02162035	5	2011-11-03 13:34:00	EST	Yes	THL/JMH	USGS	152.93	950	 1.0		-3.7	GOOD	0.02	0.30	UNSP	UNSP	1		MBOT	QADCP	VADCP	950	663	7180	0.13	SOFT	SILT	EVEN	STDY	EVEN	UNKN	UPST	1000.00
USGS	02162035	6	2011-12-08 16:18:30	EST	Yes	THL/JMH	USGS	153.42	2930	 1.0		-3.0	UNSP	-0.03	0.30	UNSP	UNSP	1		MBOT	QADCP	VADCP	2930	661	7400	0.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UPST	2500.00
USGS	02162035	7	2012-01-10 11:40:00	EST	Yes	THL/JMH	USGS	153.64	3140	 1.0		2.3	GOOD	-0.01	0.30	UNSP	UNSP	1		MBOT	QADCP	VADCP	3140	673	7590	0.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02162035	8	2012-02-08 14:27:00	EST	Yes	THL/JMH	USGS	153.94	3050	 1.0		4.5	FAIR	0.04	0.30	UNSP	UNSP	1		MBOT	QADCP	VADCP	3050	671	7780	0.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02162035	9	2012-03-16 11:13:00	EST	Yes	THL/JMH	USGS	153.56	2540	 1.0		6.7	FAIR	0.00	0.20	UNSP	UNSP	1		MBOT	QADCP	VADCP	2540	653	7610	0.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02162035	10	2012-03-28 14:18:00	EST	Yes	THL/NM	USGS	152.93	3210	 1.0		-8.8	FAIR		2.18	UNSP	UNSP	1		MBOT	QADCP	VADCP	3210	656	7110	0.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02162035	11	2012-04-18 10:51:00	EST	Yes	THL/CDW	USGS	152.86	2560	 1.0		-15.0	FAIR	-0.09	0.30	UNSP	UNSP	1		MBOT	QADCP	VADCP	2560	672	7130	0.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02162035	12	2012-05-16 11:18:00	EST	Yes	THL/CDW	USGS	155.94	15300	 1.0		0.7	GOOD	0.10	0.30	UNSP	UNSP	1		MBOT	QADCP	VADCP	15300	697	9550	1.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UPST	2500.00
USGS	02162035	13	2012-05-16 11:35:00	EST	Yes	THL/CDW	USGS	156.04	16000	 1.0		0.6	GOOD	0.08	0.50		UNSP	1		MBOT	QADCP	VADCP	16000	682	9540	1.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UPST	2500.00
USGS	02162035	14	2012-06-13 12:18:00	EST	Yes	THL/CDW	USGS	153.56	2810	 1.0		11.1	GOOD	-0.05	0.30	UNSP	UNSP	1		MBOT	QADCP	VADCP	2810	664	7580	0.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UPST	3000.00
USGS	02162035	15	2012-07-02 12:38:00	EST	Yes	THL/NDM	USGS	152.75	904	 1.0		0.4	GOOD	0.02	0.30	CLER	UNSP	1		MBOT	QADCP	VADCP	904	666	6980	0.13	SOFT	SILT	EVEN	STDY	EVEN	UNFM	UPST	2500.00
USGS	02162035	16	2012-07-02 12:54:00	EST	Yes	THL/NDM	USGS	152.76	914	 1.0		-12.1	GOOD	0.01	0.22	CLER	MEAS	1	Channel 1	MBOT	QADCP	VADCP	914	666	7040	0.13	SOFT	SILT	EVEN	STDY	EVEN	UNKN	UPST	2500.00
USGS	02162035	17	2012-07-18 11:09:30	EST	Yes	THL/CDW	USGS	152.72	1740	 1.0		0.6	GOOD	-0.01	0.28	CLER	UNSP	1		MBOT	QADCP	VADCP	1740	658	6960	0.25	SOFT	SILT	EVEN	STDY	EVEN	UNFM	UPST	2500.00
USGS	02162035	18	2012-08-23 10:31:30	EST	Yes	THL/CDW	USGS	153.80	3340	 1.0		9.9	GOOD	-0.03	0.32		MEAS	1		MBOT	QADCP	VADCP	3340	673	7820	0.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02162035	19	2012-10-01 11:58:00	EST	Yes	THL/CDW	USGS	152.68	1080	 1.0		30.8	GOOD	0.01	0.30		MEAS	1		MBOT	QADCP	VADCP	1080	699	7730	0.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02162035	20	2012-11-19 14:36:30	EST	No																													
USGS	02162035	21	2012-12-20 11:47:00	EST	Yes	THL/CDW	USGS	153.25	2420	 1.0		-1.6	GOOD	0.03	0.30	UNSP	MEAS	1		MBOT	QADCP	VADCP	2420	754	6730	0.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UPST	200.00
USGS	02162035	22	2013-02-20 12:38:30	EST	Yes	THL/CDW	USGS	153.41	3670	 1.0		10.9	GOOD	-0.03	0.32	UNSP	MEAS	1		MBOT	QADCP	VADCP	3670	775	7200	0.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UPST	200.00
USGS	02162035	23	2013-02-26 11:32:00	EST	Yes	THL/CDW	USGS	154.75	7130	 1.0		3.3	GOOD	0.01	0.33		MEAS	1		MBOT	QADCP	VADCP	7130	788	8540	0.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UPST	175.00
USGS	02162035	24	2013-02-27 15:01:00	EST	Yes	THL/NM	USGS	156.78	21400	 1.0			FAIR	0.03	0.27		MEAS	1		MBOT	QADCP	VADCP	21400	781	10200	2.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UPST	175.00
