#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:15:41 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02423130 CAHABA RIVER AT TRUSSVILLE, AL.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02423130	1	1988-06-28 15:15:00	CDT	Yes	VES	USGS		0.58				Fair	0.00	0.70	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.58	9.60	1.17	0.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423130	2	1988-10-04 11:15:00	CDT	Yes	JWT	USGS	1.42	21.4				Good	-0.01	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	21.4	28.0	25.7	0.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423130	3	1988-11-02 09:00:00	CST	Yes	JWT	USGS	1.00	2.56				Fair	0.00	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.56	18.0	11.1	0.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423130	4	1988-12-07 07:45:00	CST	Yes	JWT	USGS	1.15	11.9				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	11.9	36.0	25.9	0.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423130	5	1989-01-05 07:30:00	CST	Yes	JWT/VES	USGS	1.72	59.6				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	59.6	42.0	67.4	0.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423130	6	1989-01-13 08:00:00	CST	Yes	JWT	USGS	3.21	391				Good	-0.05	0.60	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	391	52.0	147	2.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423130	7	1989-01-13 11:45:00	CST	Yes	JWT	USGS	3.00	278				Good	-0.04	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	278	49.0	130	2.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423130	8	1989-02-01		Yes	JWT	USGS	1.32	19.7				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	19.7	35.0	31.2	0.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423130	9	1989-03-08		Yes	JWT	USGS	1.78	67.8				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	67.8	44.0	60.2	1.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423130	11	1989-04-05		Yes	JWT	USGS	2.52	233				Good	-0.03	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	233	49.0	115	2.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423130	10	1989-04-05		Yes	JWT	USGS	2.62	267				Good	-0.03	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	267	51.0	124	2.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423130	12	1989-05-03 08:00:00	CDT	Yes	JWT	USGS	1.10	13.0				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	13.0	36.0	25.8	0.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423130	13	1989-05-31 07:45:00	CDT	Yes	JWT	USGS	0.92	5.10				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	5.10	33.0	17.2	0.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
