#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:15:45 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02423496 CAHABA RIVER NEAR HOOVER, AL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02423496	1	1986-07-31 09:05:00	CDT	Yes	jwt/vs	USGS		6.38				Good	0.00	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	6.38	39.0	10.6	0.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	2	1986-09-08 11:10:00	CDT	Yes	ves	USGS		11.8				Good	0.00	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	11.8	48.0	19.5	0.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	3	1987-10-21 14:30:00	CDT	Yes	ves	USGS	7.34	5.94				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	5.94	48.0	16.0	0.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	4	1987-12-10 14:10:00	CST	Yes	VES	USGS	7.27	5.91				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	5.91	45.0	11.6	0.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	5	1988-01-27		Yes	VES	USGS	4.02	159				Good	-0.03	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	159	76.0	105	1.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	6	1988-03-14		Yes	VES/BFJ	USGS	4.62	285				Good	-0.04	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	285	91.0	185	1.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	7	1988-04-27		Yes	VES/BFJ	USGS	3.69	91.0				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	91.0	56.0	62.4	1.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	8	1988-06-23 13:45:00	CDT	Yes	VES	USGS	2.74	4.45				Good	0.00	0.40	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	4.45	45.0	10.7	0.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	9	1988-07-25 12:00:00	CDT	Yes	VES	USGS	2.93	19.7				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	19.7	46.0	17.1	1.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	10	1988-09-15 10:00:00	CDT	Yes	WAH	USGS	3.06	26.0				Good	-0.02	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	26.0	51.0	30.1	0.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	11	1988-10-17 08:45:00	CDT	Yes	VES	USGS	2.78	5.36				Good	0.00	0.60	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	5.36	44.5	10.5	0.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	12	1988-11-15 13:00:00	CST	Yes	VES	USGS	3.20	34.8				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	34.8	50.0	29.8	1.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	13	1988-12-15 11:00:00	CST	Yes	VES	USGS	2.89	14.2				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	14.2	45.0	13.6	1.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	14	1989-01-19 14:05:00	CST	Yes	VES	USGS	5.65	574				Good	-0.01	1.00	Submerged	MEAS	1	Imported Channel 1	WADE	unspe	unkno	574	95.0	246	2.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	15	1989-02-27 09:05:00	CST	Yes	VES	USGS	3.93	214				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	214	88.0	158	1.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	16	1989-03-20 10:20:00	CST	Yes	VES	USGS	3.93	121				Good	0.00	0.60	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	121	77.0	150	0.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	17	1989-04-18 08:40:00	CDT	Yes	VES	USGS	4.52	237				Good	-0.01	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	237	81.0	195	1.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	18	1989-05-18 09:00:00	CDT	Yes	VES	USGS	3.18	32.2				Good	-0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	32.2	61.0	51.1	0.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	19	1989-07-21 11:10:00	CDT	Yes	VES	USGS	4.06	139				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	139	80.0	159	0.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	20	1989-08-17 09:15:00	CDT	Yes	VES	USGS	2.90	9.57				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	9.57	61.0	38.3	0.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	21	1989-09-20 11:50:00	CDT	Yes	BFJ	USGS	2.83	6.37				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	6.37	29.0	5.92	1.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	22	1989-10-16 11:35:00	CDT	Yes	VES	USGS	2.88	8.48				Good	0.00	0.70	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.48	62.0	37.9	0.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	23	1989-11-20 09:50:00	CST	Yes	VES	USGS	3.98	136				Good	-0.01	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	136	79.0	154	0.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	24	1989-12-19 08:50:00	CST	Yes	VES	USGS	4.91	326				Good	0.00	1.10		MEAS	1	Imported Channel 1	WADE	unspe	unkno	326	81.0	226	1.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	25	1990-04-20 08:55:00	CDT	Yes	VES	USGS	3.11	39.7				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	39.7	65.0	58.9	0.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	26	1990-05-29 13:35:00	CDT	Yes	VES	USGS	2.79	11.5				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	11.5	62.0	39.3	0.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	27	1990-06-18 11:30:00	CDT	Yes	BFJ	USGS	2.76	9.20				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	9.20	45.0	15.1	0.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	28	1990-07-16 13:00:00	CDT	Yes	VES/JWT	USGS	2.83	14.3				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	14.3	62.0	38.0	0.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	29	1990-08-23 08:45:00	CDT	Yes	VES	USGS	2.75	8.64				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.64	61.0	33.9	0.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	30	1990-09-19 08:55:00	CDT	Yes	VES	USGS	2.65	2.44				Good	0.00	0.60	DebrisHeavy	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.44	18.0	4.12	0.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	31	1990-10-24 08:40:00	CDT	Yes	VES	USGS	2.79	12.8				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	12.8	63.0	38.5	0.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	32	1990-11-19 09:05:00	CST	Yes	VES	USGS	2.77	6.22				Fair	-0.01	0.80	DebrisHeavy	MEAS	1	Imported Channel 1	WADE	unspe	unkno	6.22	28.6	6.57	0.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	33	1990-12-20 08:25:00	CST	Yes	VES/BKD	USGS	2.87	19.8				Good	0.06	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	19.8	62.0	40.9	0.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	34	1991-01-25 08:35:00	CST	Yes	VES/DSL	USGS	3.94	144				Good	0.01	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	144	69.0	108	1.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	35	1991-03-21 11:45:00	CST	Yes	VES/BKD	USGS	3.96	155				Good	-0.02	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	155	81.0	145	1.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	36	1991-04-25 08:55:00	CDT	Yes	VES/BKD	USGS	3.25	50.3				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	50.3	65.0	64.2	0.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	37	1991-05-20 09:00:00	CDT	Yes	VES	USGS	5.49	493				Good	-0.01	1.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	493	94.0	253	1.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	38	1991-06-21 09:20:00	CDT	Yes	VES	USGS	4.19	201				Good	-0.01	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	201	85.0	153	1.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	39	1991-07-17 09:45:00	CDT	Yes	VES	USGS	2.78	11.9				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	11.9	48.8	14.5	0.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	40	1991-08-23 09:25:00	CDT	Yes	VES	USGS	2.67	4.54				Fair	0.00	0.80	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	4.54	48.8	9.82	0.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	41	1991-09-20 13:10:00	CDT	Yes	VES	USGS	2.81	16.8				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	16.8	49.0	16.4	1.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	42	1991-10-25 10:00:00	CDT	Yes	VES	USGS	2.73	3.00				Poor	0.00	0.60	DebrisHeavy	MEAS	1	Imported Channel 1	WADE	unspe	unkno	3.00	63.0	35.9	0.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	43	1991-11-26		Yes	VES	USGS	3.19	49.3				Good	0.00	0.70		MEAS	1	Imported Channel 1	WADE	unspe	unkno	49.3	65.5	64.7	0.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	44	1991-12-20		Yes	VES	USGS	3.16	48.2				Good	0.00	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	48.2	63.0	51.2	0.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	45	1992-02-20 09:35:00	CST	Yes	VES	USGS	5.43	485				Good	-0.02	1.20	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	485	95.0	244	1.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	46	1992-03-17 12:40:00	CST	Yes	VES/BFJ	USGS	3.88	146				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	146	82.0	102	1.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	47	1992-04-23 08:50:00	CDT	Yes	WAH	USGS	5.32	466				Good	-0.03	1.20		MEAS	1	Imported Channel 1	WADE	unspe	unkno	466	95.0	236	1.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	48	1992-05-19 12:30:00	CDT	Yes	WAH	USGS	2.71	6.03				Good	0.00	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	6.03	63.0	35.2	0.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	49	1992-05-20 10:00:00	CDT	Yes	WAH	USGS	2.71	5.38				Good	0.00	0.80	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	5.38	63.0	34.0	0.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02423496	50	1992-05-20 11:15:00	CDT	Yes	WAH	USGS	2.71	5.63				Good	0.00	0.80	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	5.63	63.0	35.1	0.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
