#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:15:51 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02425000 CAHABA RIVER NEAR MARION JUNCTION AL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02425000	5	1938-04-11		Yes	xxx	USGS	39.20	42600				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		42600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	6	1938-04-12		Yes	xxx	USGS	37.95	29900				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		29900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	34	1939-08-17		Yes	xxx	USGS	42.53	76800				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		76800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	35	1939-08-18		Yes	xxx	USGS	41.78	66700				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		66700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	96	1942-03-23		Yes	xxx	USGS	33.98	25500				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		25500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	109	1942-12-31		Yes	xxx	USGS	40.33	52200				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		52200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	110	1943-01-01		Yes	xxx	USGS	38.77	36300				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		36300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	111	1943-01-02		Yes	xxx	USGS	36.26	23400				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		23400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	118	1943-03-24		Yes	xxx	USGS	36.02	26900				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		26900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	153	1947-01-24		Yes	xxx	USGS	36.94	27900				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		27900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	172	1948-12-03		Yes	xxx	USGS	37.07	26300				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		26300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	201	1951-03-31		Yes	xxx	USGS	41.65	75100				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		75100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	262	1970-03-23		Yes	xxx	USGS	37.03	33800				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		33800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	317	1976-03-19		Yes	xxx	USGS	39.10	53700				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		53700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	374	1982-09-27		Yes	DLB	USGS	1.88	442				Good	0.01	1.10		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	442	114	179	2.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	375	1982-11-24		Yes	DLB	USGS	4.29	1400				Good	0.00	1.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1400	151	760	1.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	376	1982-12-02		Yes	FDB/WLP	USGS	17.00	9700				Good	0.33	1.40		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	9700	167	2820	3.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	377	1983-02-08		Yes	DLB	USGS	22.92	14500				Good	-0.12	1.60		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	14500	192	4030	3.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	378	1983-03-22		Yes	DLB	USGS	10.30	5030				Good	-0.01	1.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5030	160	1840	2.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	379	1983-05-04		Yes	DLB	USGS	7.85	3330				Good	-0.04	1.70		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3330	155	1410	2.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	380	1983-06-27		Yes	DLB	USGS	4.83	1710				Good	-0.01	1.10		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1710	144	915	1.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	381	1983-08-18		Yes	DLB	USGS	2.64	734				Good	-0.01	1.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	734	132	556	1.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	382	1983-10-17		Yes	DLB	USGS	3.12	890				Good	-0.01	1.00	DebrisHeavy	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	890	135	586	1.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	383	1983-11-08		Yes	FDB	USGS	2.47	643				Good	0.00	0.90		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	643	129	490	1.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	384	1983-12-04		Yes	BGB/DLB	USGS	15.88	9190				Good	0.62	1.50		OTHR	1	Imported Channel 1	CRAN	unspe	unkno	9190	179	2690	3.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	385	1983-12-05		Yes	BGB/DLB	USGS	23.51	15400				Good	0.51	1.50		OTHR	1	Imported Channel 1	CRAN	unspe	unkno	15400	195	4120	3.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	386	1983-12-06		Yes	BGB/DLB	USGS	32.06	24700				Good	0.43	1.70		OTHR	1	Imported Channel 1	CRAN	unspe	unkno	24700	380	6830	3.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	387	1983-12-08		Yes	BGB/DLB	USGS	35.68	29600				Good	-0.03	2.20		OTHR	1	Imported Channel 1	CRAN	unspe	unkno	29600	1080	9670	3.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	388	1984-01-26		Yes	FDB	USGS	17.00	9660				Good	0.17	1.30		OTHR	1	Imported Channel 1	CRAN	unspe	unkno	9660	185	2990	3.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	389	1984-03-01		Yes	FDB	USGS	12.38	5920				Good	-0.24	1.30		OTHR	1	Imported Channel 1	CRAN	unspe	unkno	5920	169	2070	2.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02425000	390	1984-04-16		Yes	FDB	USGS	7.76	3050				Good	-0.04	1.10		OTHR	1	Imported Channel 1	CRAN	unspe	unkno	3050	151	1290	2.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
