#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:16:02 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07221500 CANADIAN RIVER NEAR SANCHEZ, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07221500	1S	1965-06-18		Yes	sa	USGS	36.60	145000				UNSP				MEAS	1	Unspecified	OTHR	QIDIR		145000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07221500	666	1970-01-13		Yes	RKD	USGS	2.38	117.0	12.0	-0.130		GOOD	0.00	0.42		UNSP	1	Unspecified	UNSP			117.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07221500	667	1970-02-09		Yes	RKD	USGS	2.19	91.7	12.0	-0.080	0.500	GOOD	-0.01	0.50		UNSP	1	Unspecified	UNSP			91.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07221500	668	1970-03-06		Yes	RKD	USGS	2.00	52.4	12.0	-0.100	-1.10	GOOD	0.00	0.33		UNSP	1	Unspecified	UNSP			52.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07221500	669	1970-04-01		Yes	RKD	USGS	1.80	23.4	12.0	-0.170	3.10	GOOD	0.00	0.33		UNSP	1	Unspecified	UNSP			23.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07221500	670	1970-04-30		Yes	RKD	USGS	2.21	89.2	12.0	-0.110	0.200	GOOD	0.00	0.42		UNSP	1	Unspecified	UNSP			89.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07221500	671	1970-05-26		Yes	RKD	USGS	2.08	2.08	12.0	0.010	-1.10	GOOD	-0.01	0.42		UNSP	1	Unspecified	UNSP			2.08				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07221500	672	1970-06-17		Yes	RKD	USGS	1.41	12.3	12.0	0.080	2.50	FAIR	0.00	0.33		UNSP	1	Unspecified	UNSP			12.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07221500	673	1970-07-13		Yes	RKD	USGS	1.39	13.2	12.0	0.120	0.00	GOOD	0.00	0.42		UNSP	1	Unspecified	UNSP			13.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07221500	674	1970-07-24		Yes	RKD	USGS	2.63	200.0	12.0	-0.100	0.500	GOOD	-0.02	0.58		STOR	1	Unspecified	UNSP			200.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07221500	675	1970-08-21		Yes	RKD	USGS	1.49	20.1	12.0	0.110	0.500	GOOD	0.00	0.42		UNSP	1	Unspecified	UNSP			20.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
