#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:16:07 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07227500 Canadian Rv nr Amarillo, TX
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07227500	1	1924-01-16		Yes	CCC	USGS	4.03	373.0		0.00		UNSP	0.00	1.10		MEAS	1	Unspecified	WADE	QUNSP		373.0	104	117	3.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	2	1924-02-07		Yes	CCC	USGS	4.47	961.0		0.00	-2.00	UNSP	0.02	1.40		MEAS	1	Unspecified	WADE	QUNSP		961.0	285	300	3.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	3	1924-02-08		Yes	CCC	USGS	4.21	580.0		0.00	2.00	UNSP	0.03	1.50		MEAS	1	Unspecified	WADE	QUNSP		580.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	4	1924-02-22		Yes	CCC	USGS	4.18	208.0		0.00	-7.00	UNSP	0.00	1.50		MEAS	1	Unspecified	WADE	QUNSP		208.0	149	235	4.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	5	1924-02-23		Yes	CCC	USGS	4.43	454.0		0.00	5.00	UNSP	0.02	1.60		MEAS	1	Unspecified	WADE	QUNSP		454.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	6	1924-04-09		Yes	CCC	USGS	4.22	232.0		0.00	-3.00	UNSP	0.00	2.00		MEAS	1	Unspecified	WADE	QUNSP		232.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	7	1924-04-10		Yes	CCC	USGS	4.45	541.0		0.00	0.00	UNSP	0.00	2.00		MEAS	1	Unspecified	WADE	QUNSP		541.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	8	1924-05-13		Yes	CCC	USGS	4.32	430.0		0.00	8.00	UNSP	-0.02	2.00		MEAS	1	Unspecified	WADE	QUNSP		430.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	9	1924-05-14		Yes	CCC	USGS	4.29	369.0		0.00	0.00	UNSP	0.00	2.00		MEAS	1	Unspecified	WADE	QUNSP		369.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	10	1924-05-29		Yes	CCC	USGS	4.41	454.0		0.00	-0.900	UNSP	0.00	0.80		MEAS	1	Unspecified	WADE	QUNSP		454.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	11	1924-06-24		Yes	CCC	USGS	3.30	2.00		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		2.00			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	12	1924-06-24		Yes	CCC	USGS		0.000		0.00		UNSP			CLER	UNSP	1	Unspecified	WADE	QUNSP		0.000			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	13	1924-07-03		Yes	CCC	USGS	4.82	1240		0.00	2.00	UNSP	-0.06	1.30		MEAS	1	Unspecified	WADE	QUNSP		1240	285	370	3.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	14	1924-07-04		Yes	CCC	USGS	5.08	3240	 3.0	-0.530	-3.00	UNSP	-0.12	2.00		MEAS	1	Unspecified	WADE	QUNSP		3240	259	613	5.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	15	1924-07-04		Yes	CCC	USGS	4.91	2790		0.00	5.00	UNSP	-0.01	1.20		MEAS	1	Unspecified	WADE	QUNSP		2790	244	564	4.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	16	1924-07-21		Yes	TT	USGS	3.75	261.0		0.00		UNSP	0.00	1.10		MEAS	1	Unspecified	UNSP			261.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	17	1924-08-12		Yes	TT	USGS	3.18	51.0		0.00	4.00	UNSP	0.00	0.60		MEAS	1	Unspecified	WADE	QUNSP		51.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	18	1924-08-14		Yes	TT	USGS	6.46	15200		0.00	0.00	UNSP	-1.70	4.20		MEAS	1	Unspecified	WADE	QUNSP		15200	365	2020	7.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	20	1924-08-26		Yes	TT	USGS	5.21	3760		0.00	-5.00	UNSP	0.00	0.30		MEAS	1	Unspecified	WADE	QUNSP		3760	292	628	5.99	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	19	1924-08-26		Yes	TT	USGS	4.16	1020		0.00	0.280	UNSP	0.38	0.90		MEAS	1	Unspecified	WADE	QUNSP		1020	231	333	3.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	21	1924-09-26		Yes	CCC	USGS	3.12	8.10		0.00	27.0	UNSP	0.00	0.30		MEAS	1	Unspecified	WADE	QUNSP		8.10	18.0	11.6	0.700	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	22	1924-10-16		Yes	CCC	USGS	3.41	7.51		0.00	-0.060	UNSP	0.00	0.70		MEAS	1	Unspecified	WADE	QUNSP		7.51	20.0	15.4	0.490	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	23	1924-10-17		Yes	CCC	USGS	3.32	5.04		0.00	-0.050	UNSP	0.00	0.40		MEAS	1	Unspecified	WADE	QUNSP		5.04	16.0	9.40	0.540	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	24	1924-10-21		Yes	CCC	USGS	3.50	19.6		0.00	0.050	UNSP	0.00	0.80		MEAS	1	Unspecified	WADE	QUNSP		19.6	37.0	25.5	0.770	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	25	1924-11-26		Yes	CCC	USGS	3.20	7.21		0.00	14.0	UNSP	0.00	0.40		MEAS	1	Unspecified	WADE	QUNSP		7.21	17.0	10.6	0.680	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	26	1924-11-27		Yes	CCC	USGS	3.18	5.92		0.00	12.0	UNSP	0.00	0.30		MEAS	1	Unspecified	WADE	QUNSP		5.92	14.0	9.00	0.660	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	27	1924-12-26		Yes	CCC	USGS	3.19	3.47		0.00	0.010	UNSP	0.00	0.20		MEAS	1	Unspecified	WADE	QUNSP		3.47	12.0	6.50	0.530	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	28	1924-12-27		Yes	CCC	USGS	3.10	2.01		0.00	0.100	UNSP	0.00	0.30		MEAS	1	Unspecified	WADE	QUNSP		2.01	10.0	3.90	0.520	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	29	1925-01-10		Yes	CCC	USGS	3.54	4.05		0.00	-31.0	UNSP	0.00	0.20		MEAS	1	Unspecified	WADE	QUNSP		4.05	15.0	6.90	0.590	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	30	1925-01-13		Yes	CCC	USGS	3.71	9.48		0.00	-32.0	UNSP	0.00	0.30		MEAS	1	Unspecified	WADE	QUNSP		9.48	21.0	12.6	0.750	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	31	1925-03-03		Yes	MR	USGS	3.30	14.4		0.00	17.0	UNSP	0.00	0.90		MEAS	1	Unspecified	WADE	QUNSP		14.4	43.0	19.3	0.750	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	32	1925-03-18		Yes	MR	USGS	3.19	1.50		0.00	-0.900	UNSP				MEAS	1	Unspecified	WADE	QUNSP		1.50			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	33	1925-04-10		Yes	MR	USGS	3.06	1.23		0.00	0.030	UNSP	-0.01	0.50		MEAS	1	Unspecified	WADE	QUNSP		1.23	9.00	1.60	0.770	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	34	1925-05-02		Yes	MR	USGS	3.10	1.27		0.00	-0.010	UNSP	0.00	0.40		MEAS	1	Unspecified	WADE	QUNSP		1.27	12.0	22.0	0.590	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	35	1925-05-15		Yes	MR	USGS	4.88	1270		0.00	0.00	UNSP	-0.09	1.20		MEAS	1	Unspecified	WADE	QUNSP		1270	268	405	3.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	36	1925-06-04		Yes	MR	USGS	3.49	15.3		0.00	0.00	UNSP	0.00	1.00		MEAS	1	Unspecified	WADE	QUNSP		15.3	85.0	67.0	0.220	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	37	1925-06-25		Yes	MR	USGS	4.10	115.0		0.00	0.00	UNSP	-0.04	1.00		MEAS	1	Unspecified	WADE	QUNSP		115.0	107	124	0.930	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	38	1925-07-16		Yes	MR	USGS	3.07	0.500		0.00	-0.200	UNSP				MEAS	1	Unspecified	WADE	QUNSP		0.500			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	39	1925-07-31		Yes	MR	USGS	4.68	3710		0.00	92.0	UNSP	-0.01	2.10		MEAS	1	Unspecified	WADE	QUNSP		3710	239	712	5.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	40	1925-08-14		Yes	MR	USGS	4.35	1100		0.00	45.0	UNSP	0.00	1.20		MEAS	1	Unspecified	WADE	QUNSP		1100	200	289	3.80	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	41	1925-08-24		Yes	MR	USGS	3.95	310.0		0.00	42.0	UNSP	-0.02	0.80		MEAS	1	Unspecified	WADE	QUNSP		310.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	42	1925-11-11		Yes	MR	USGS	3.87	63.7		0.00	5.00	UNSP	0.00	0.80		MEAS	1	Unspecified	WADE	QUNSP		63.7			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07227500	43	1925-12-31		Yes	TT	USGS	3.87	5.00		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		5.00			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
