#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:16:08 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07228000 Canadian Rv nr Canadian, TX
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07228000	1	1924-06-02		Yes	CCC	USGS	3.18	1.16		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		1.16			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	2	1924-07-31		Yes	TT	USGS	2.88	2.00		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		2.00			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	3	1924-08-05		Yes	CCE/TT	USGS	4.63	1.00		0.00		UNSP	-0.04	1.20		MEAS	1	Unspecified	WADE	QUNSP		1.00	3.99	533	2.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	4	1924-08-21		Yes	TT	USGS	4.18	330.0		0.00		UNSP	-0.04			MEAS	1	Unspecified	WADE	QUNSP		330.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	5	1924-10-23		Yes	CCC	USGS	4.35	386.0		0.00		UNSP	0.00	2.00		MEAS	1	Unspecified	WADE	QUNSP		386.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	6	1925-01-07		Yes	CCC	USGS	4.42	264.0		0.00		UNSP	0.00	4.70		MEAS	1	Unspecified	WADE	QUNSP		264.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	7	1925-01-08		Yes	CCC	USGS	4.60	360.0		0.00		UNSP	0.00	1.70		MEAS	1	Unspecified	WADE	QUNSP		360.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	8	1925-03-05		Yes	MR	USGS	4.35	24.8		0.00		UNSP	0.00	0.80		MEAS	1	Unspecified	WADE	QUNSP		24.8	50.0	35.0	0.710	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	9	1925-03-17		Yes	MR	USGS	4.18	6.00		0.00		UNSP	-0.01	0.80		MEAS	1	Unspecified	WADE	QUNSP		6.00	16.0	11.0	0.550	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	10	1925-04-09		Yes	MR	USGS	4.62	2.00		0.00		UNSP	0.01	0.50		MEAS	1	Unspecified	WADE	QUNSP		2.00	16.0	13.0	0.150	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	11	1925-04-30		Yes	MR	USGS	4.72	1.70		0.00		UNSP	0.00	0.30		MEAS	1	Unspecified	WADE	QUNSP		1.70	13.0	2.80	0.600	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	12	1925-05-13		Yes	MR	USGS	5.08	3660		0.00		UNSP	-0.14	2.10		MEAS	1	Unspecified	WADE	QUNSP		3660			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	13	1925-05-14		Yes	MR	USGS	4.56	2.00		0.00		UNSP	-0.04	2.20		MEAS	1	Unspecified	WADE	QUNSP		2.00			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	14	1925-06-03		Yes	MR	USGS	3.92	232.0		0.00		UNSP	0.00	1.40		MEAS	1	Unspecified	WADE	QUNSP		232.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	15	1925-06-23		Yes	MR	USGS	3.40	1.00		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		1.00			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	16	1925-06-24		Yes	MR	USGS	4.68	786.0		0.00		UNSP	-0.12	1.50		MEAS	1	Unspecified	WADE	QUNSP		786.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	17	1925-07-15		Yes	MR	USGS	3.62	1.00		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		1.00			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	19	1925-08-22		Yes	MR	USGS	3.89	60.6		0.00		UNSP	-0.02	0.80		MEAS	1	Unspecified	WADE	QUNSP		60.6	85.0	55.5	1.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	18	1925-09-25		Yes	MR	USGS	4.96	4380		0.00		UNSP	-0.01	1.70		MEAS	1	Unspecified	WADE	QUNSP		4380			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	20	1938-04-02		Yes	WHG/WCD	USGS	4.37	48.3		0.200	15.0	GOOD	0.00	0.40		MEAS	1	Unspecified	WADE	QUNSP		48.3	102	38.4	1.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	27	1938-04-18		Yes	WHG	USGS	6.48	14.0		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		14.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	29	1938-04-19		Yes	WHG	USGS	4.89	737.0		0.470	38.0	EXCL	-0.04	1.10		MEAS	1	Unspecified	WADE	QUNSP		737.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	21	1938-04-28		Yes	WHG/WCD	USGS	4.57	203.0		0.380	29.0	UNSP	-0.01	0.70		MEAS	1	Unspecified	WADE	QUNSP		203.0	52.0	68.9	2.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	22	1938-04-29		Yes	WHG/WCD	USGS	4.45	149.0		0.410	31.0	UNSP	0.00	0.60		MEAS	1	Unspecified	WADE	QUNSP		149.0	64.0	55.4	2.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	23	1938-05-05		Yes	WHG	USGS	5.16	961.0		0.270	24.0	POOR	-0.02	1.40		MEAS	1	Unspecified	WADE	QUNSP		961.0	380	529	1.82	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07228000	24	1938-05-06		Yes	WHG	USGS	4.40	191.0		0.540	40.0	GOOD	-0.02	0.60		MEAS	1	Unspecified	WADE	QUNSP		191.0	99.0	76.0	2.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
